#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1184|SZUA-1184_00001	K08307	[EC:4.2.2.-]	mltD, dniR	membrane-bound lytic murein transglycosylase D	05E9H@bactNOG,0QHZG@gproNOG,16Q6H@proNOG,COG0741@NOG	Lytic Murein transglycosylase			SZUA-1184_1:c(1414..3030)	Membrane-bound lytic murein transglycosylase D	K08307	K08307		K08307	K08309
Candidatus_bacterium_SZUA-1184|SZUA-1184_00028					0XV77@NOG,arCOG10375@arNOG	Cyclic phosphodiesterase-like protein			SZUA-1184_4:c(10318..10815)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00029	K01256	[EC:3.4.11.2]	pepN	aminopeptidase N	05CD8@bactNOG,153X9@plaNOG,COG0308@NOG	Peptidase M1 membrane alanine aminopeptidase			SZUA-1184_4:c(10822..12873)	Aminopeptidase N	K01256	K01256		K01256	K13721
Candidatus_bacterium_SZUA-1184|SZUA-1184_00030					08QKU@bactNOG,09CGK@bctoNOG,0XR0H@NOG				SZUA-1184_5:25..2526	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00031	K20932	[EC:1.7.2.7]	K20932	hydrazine synthase subunit	00I71@actNOG,05C3V@bactNOG,COG3391@NOG	YVTN family beta-propeller repeat protein			SZUA-1184_6:640..1740	Virginiamycin B lyase	K20932				K20932
Candidatus_bacterium_SZUA-1184|SZUA-1184_00032	K01834	[EC:5.4.2.11]	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	05DKJ@bactNOG,0CZHS@chlNOG,COG0588@NOG	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)			SZUA-1184_6:c(1749..2495)	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	K01834	K01834	K01834	K01834	K01834
Candidatus_bacterium_SZUA-1184|SZUA-1184_00033									SZUA-1184_6:2580..3149	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00034	K18707	[EC:2.8.4.5]	mtaB	threonylcarbamoyladenosine tRNA methylthiotransferase MtaB	05CIW@bactNOG,09A1G@bctoNOG,0FV5B@cytNOG,COG0621@NOG	MiaB-like tRNA modifying enzyme			SZUA-1184_7:4..405	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB	K18707	K18707		K18707	K18707
Candidatus_bacterium_SZUA-1184|SZUA-1184_00035	K13051	[EC:3.4.19.5]	iaaA, ASRGL1	beta-aspartyl-peptidase (threonine type)	05D44@bactNOG,099MC@bctoNOG,0P7CE@flaNOG,COG1446@NOG	asparaginase			SZUA-1184_7:468..1427	Isoaspartyl peptidase	K13051	K13051		K13051	K13051
Candidatus_bacterium_SZUA-1184|SZUA-1184_00036	K00281	[EC:1.4.4.2]	GLDC, gcvP	glycine dehydrogenase	05CBI@bactNOG,COG0403@NOG,COG1003@NOG	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor			SZUA-1184_7:c(1424..4264)	Glycine dehydrogenase (decarboxylating)	K00281	K00281	K00281	K00281	K00283
Candidatus_bacterium_SZUA-1184|SZUA-1184_00037					066N6@bactNOG,0NUBH@firmNOG,1294V@NOG	Abortive infection protein			SZUA-1184_7:c(4290..7610)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00038					05CDD@bactNOG,09AT7@bctoNOG,0P7WA@flaNOG,COG3176@NOG	Phospholipid glycerol acyltransferase			SZUA-1184_7:7900..8766	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00039									SZUA-1184_8:c(338..625)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00040									SZUA-1184_8:c(650..922)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00041					08K67@bactNOG,0QQ5R@gproNOG,0YP2W@NOG,170Y7@proNOG	repeat-containing protein			SZUA-1184_8:c(919..2403)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00042					05ID2@bactNOG,09G1C@bctoNOG,0FZI7@cytNOG,11PNP@NOG				SZUA-1184_8:c(2558..3208)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00043									SZUA-1184_8:c(3312..3743)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00044	K05515	[EC:3.4.16.4]	mrdA	penicillin-binding protein 2	05CJN@bactNOG,0CZ52@chlNOG,COG0768@NOG	penicillin-binding protein 2 (EC 2.4.1.129)			SZUA-1184_9:c(231..2003)	Peptidoglycan D,D-transpeptidase MrdA	K05515	K05515		K05515	K21468
Candidatus_bacterium_SZUA-1184|SZUA-1184_00045									SZUA-1184_9:c(1996..2478)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00046	K03570		mreC	rod shape-determining protein MreC	05N3I@bactNOG,0ENXG@cloNOG,0NGKS@firmNOG,COG1792@NOG	Involved in formation and maintenance of cell shape (By similarity)			SZUA-1184_9:c(2480..3268)	Cell shape-determining protein MreC	K03570	K03570		K03570	K03570
Candidatus_bacterium_SZUA-1184|SZUA-1184_00047	K03569		mreB	rod shape-determining protein MreB and related proteins	05DFF@bactNOG,099NV@bctoNOG,COG1077@NOG	Cell shape determining protein, MreB Mrl family			SZUA-1184_9:c(3281..3439)	Rod shape-determining protein MreB	K03569	K03569		K03569	K03569
Candidatus_bacterium_SZUA-1184|SZUA-1184_00048	K07460		yraN	putative endonuclease	080R2@bactNOG,09HZP@bctoNOG,0PAV0@flaNOG,COG0792@NOG	UPF0102 protein			SZUA-1184_10:52..501	hypothetical protein	K07460	K07460		K07460	K07460
Candidatus_bacterium_SZUA-1184|SZUA-1184_00049	K03100	[EC:3.4.21.89]	lepB	signal peptidase I	07QJY@bactNOG,0CZKB@chlNOG,COG0681@NOG	Signal peptidase I			SZUA-1184_10:547..1503	Signal peptidase I	K03100	K03100		K03100	K03100
Candidatus_bacterium_SZUA-1184|SZUA-1184_00050									SZUA-1184_10:1602..2336	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00051									SZUA-1184_11:21..425	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00052									SZUA-1184_11:790..963	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00053									SZUA-1184_11:982..1134	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00054									SZUA-1184_11:2833..3003	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00055	K21929	[EC:3.2.2.27]	udg	uracil-DNA glycosylase	01VU1@aproNOG,05E50@bactNOG,178QR@proNOG,COG1573@NOG	Uracil-DNA glycosylase			SZUA-1184_12:c(233..928)	Type-5 uracil-DNA glycosylase	K21929	K21929		K02334	K21929
Candidatus_bacterium_SZUA-1184|SZUA-1184_00056	K03770	[EC:5.2.1.8]	ppiD	peptidyl-prolyl cis-trans isomerase D	07S5S@bactNOG,COG0760@NOG	Peptidyl-prolyl cis-trans isomerase			SZUA-1184_12:1038..2882	Foldase protein PrsA 1	K03770	K03770		K03769	K07533
Candidatus_bacterium_SZUA-1184|SZUA-1184_00057	K01969	[EC:6.4.1.4]	E6.4.1.4B	3-methylcrotonyl-CoA carboxylase beta subunit	07QX3@bactNOG,0D1F0@chloNOG,0D65F@chlorNOG,COG4799@NOG	propionyl-CoA carboxylase			SZUA-1184_12:2972..4573	Methylmalonyl-CoA carboxyltransferase 12S subunit	K01969	K01969		K01969	K19312
Candidatus_bacterium_SZUA-1184|SZUA-1184_00058	K15280		SLC35C2	solute carrier family 35, member C2	05FUE@bactNOG,COG0697@NOG	integral membrane protein			SZUA-1184_12:4673..5524	putative cystine transporter YijE	K15280				K15280
Candidatus_bacterium_SZUA-1184|SZUA-1184_00059									SZUA-1184_13:c(76..1644)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00060					08X6K@bactNOG,11MG6@NOG				SZUA-1184_13:c(1669..2598)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00061					08CCC@bactNOG,0XRZ9@NOG,16T4S@proNOG	dehydrogenase, reductase			SZUA-1184_14:c(335..1120)	Oxidoreductase UcpA					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00062	K01733	[EC:4.2.3.1]	thrC	threonine synthase	0038Q@aciNOG,07R3C@bactNOG,COG0498@NOG	Threonine synthase			SZUA-1184_14:c(1253..2299)	Threonine synthase	K01733	K01733		K01733	K15527
Candidatus_bacterium_SZUA-1184|SZUA-1184_00063	K00003	[EC:1.1.1.3]	E1.1.1.3	homoserine dehydrogenase	05D6E@bactNOG,COG0460@NOG	homoserine dehydrogenase			SZUA-1184_14:c(2497..3171)	Homoserine dehydrogenase	K00003	K00003		K00003	K12525
Candidatus_bacterium_SZUA-1184|SZUA-1184_00064	K00331	[EC:1.6.5.3]	nuoB	NADH-quinone oxidoreductase subunit B	05ES3@bactNOG,099Z3@bctoNOG,0FVZQ@cytNOG,COG0377@NOG	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be a menaquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)			SZUA-1184_15:c(635..1126)	NADH-quinone oxidoreductase subunit B	K00331	K00331		K00331	K13380
Candidatus_bacterium_SZUA-1184|SZUA-1184_00065	K00330	[EC:1.6.5.3]	nuoA	NADH-quinone oxidoreductase subunit A	05KWU@bactNOG,0CZTI@chlNOG,COG0838@NOG	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be a menaquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)			SZUA-1184_15:c(1113..1547)	NAD(P)H-quinone oxidoreductase subunit 3	K00330	K00330	K05574	K00330	K05574
Candidatus_bacterium_SZUA-1184|SZUA-1184_00066	K00318	[EC:1.5.-.-]	PRODH	proline dehydrogenase	00D88@actNOG,062BK@bactNOG,COG0506@NOG	Proline dehydrogenase			SZUA-1184_15:1708..2577	Proline dehydrogenase 1	K00318	K00318		K00249	K18318
Candidatus_bacterium_SZUA-1184|SZUA-1184_00067	K06929		K06929	uncharacterized protein	05K4P@bactNOG,0GE7V@delNOG,0HFQB@dproNOG,17GT1@proNOG,COG1832@NOG	CoA-binding domain protein			SZUA-1184_15:2574..2969	putative protein YccU	K06929	K06929		K06929	K06929
Candidatus_bacterium_SZUA-1184|SZUA-1184_00068					0XNSG@NOG				SZUA-1184_15:c(3020..3904)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00069									SZUA-1184_15:4106..4207	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00070					05FEX@bactNOG,09BV2@bctoNOG,0XQRE@NOG	ABC transporter			SZUA-1184_15:4204..4488	Choline transport ATP-binding protein OpuBA					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00071									SZUA-1184_15:c(5135..5698)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00072	K05996	[EC:3.4.17.18]	cpt	carboxypeptidase T	00C7U@actNOG,084S8@bactNOG,COG2866@NOG	Peptidase M14, carboxypeptidase A			SZUA-1184_16:c(695..3043)	Zinc carboxypeptidase	K05996			K05996	K14054
Candidatus_bacterium_SZUA-1184|SZUA-1184_00073	K01077	[EC:3.1.3.1]	E3.1.3.1, phoA, phoB	alkaline phosphatase	COG1785@NOG	alkaline phosphatase			SZUA-1184_16:c(3065..6091)	hypothetical protein	K01077			K01077	K01077
Candidatus_bacterium_SZUA-1184|SZUA-1184_00074									SZUA-1184_16:c(6101..7117)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00075									SZUA-1184_16:c(7104..8144)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00076									SZUA-1184_16:c(8141..9016)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00077					05GM3@bactNOG,0R37E@gproNOG,11S3Q@NOG,181XX@proNOG				SZUA-1184_16:c(8994..10124)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00078	K22116		capC, pgsC	gamma-polyglutamate biosynthesis protein CapC	05Z8W@bactNOG,0R6U2@gproNOG,127MY@NOG,189IC@proNOG	Capsule biosynthesis protein CapC			SZUA-1184_16:c(10117..10560)	Capsule biosynthesis protein CapC	K22116	K22116	K22116		
Candidatus_bacterium_SZUA-1184|SZUA-1184_00079	K01932	[EC:6.3.2.-]	capB, pgsB	gamma-polyglutamate synthase	05N98@bactNOG,0R0IZ@gproNOG,0ZVH3@NOG,173QU@proNOG	Capsule biosynthesis protein			SZUA-1184_16:c(10553..11734)	Capsule biosynthesis protein CapB	K01932	K01932	K01932		
Candidatus_bacterium_SZUA-1184|SZUA-1184_00080	K08589	[EC:3.4.22.37]	rgpA_B	gingipain R	08MCP@bactNOG,09HP6@bctoNOG,10H6N@NOG	arginine-specific cysteine proteinase			SZUA-1184_16:c(11741..15340)	Gingipain R2	K08589			K08589	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00081	K02654	[EC:3.4.23.43][EC:2.1.1.-]	pilD, pppA	leader peptidase (prepilin peptidase) / N-methyltransferase	05EHH@bactNOG,0GDIP@delNOG,0HEAQ@dproNOG,16R1H@proNOG,COG1989@NOG	Cleaves type-4 fimbrial leader sequence and methylates the N-terminal (generally Phe) residue (By similarity)			SZUA-1184_16:c(15360..16118)	Type 4 prepilin-like proteins leader peptide-processing enzyme	K02654	K02654		K02236	K10966
Candidatus_bacterium_SZUA-1184|SZUA-1184_00082	K02653		pilC	type IV pilus assembly protein PilC	05D7Q@bactNOG,0GBRJ@delNOG,0HCTU@dproNOG,16PNG@proNOG,COG1459@NOG	Type II secretion system			SZUA-1184_16:c(16118..17365)	Type II secretion system protein F	K02653	K02653		K02455	K12278
Candidatus_bacterium_SZUA-1184|SZUA-1184_00083	K02652		pilB	type IV pilus assembly protein PilB	07QHF@bactNOG,0GBIF@delNOG,0HCPE@dproNOG,16Q1A@proNOG,COG2804@NOG	type II secretion system protein E			SZUA-1184_16:c(17365..19089)	Type II secretion system protein E	K02652	K02652		K02243	K12276
Candidatus_bacterium_SZUA-1184|SZUA-1184_00084									SZUA-1184_16:c(19093..20085)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00085	K02078		acpP	acyl carrier protein	04WII@bacNOG,05VNB@bactNOG,0NNHP@firmNOG,COG0236@NOG	Carrier of the growing fatty acid chain in fatty acid biosynthesis (By similarity)			SZUA-1184_17:c(1100..1330)	Acyl carrier protein	K02078	K02078	K02078	K02078	K21790
Candidatus_bacterium_SZUA-1184|SZUA-1184_00086	K00059	[EC:1.1.1.100]	fabG	3-oxoacyl-[acyl-carrier protein] reductase	04TM0@bacNOG,05CHR@bactNOG,0ND4W@firmNOG,0XNW1@NOG	reductase			SZUA-1184_17:c(1356..2099)	3-oxoacyl-[acyl-carrier-protein] reductase FabG	K00059	K00059		K00059	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00087	K00645	[EC:2.3.1.39]	fabD	[acyl-carrier-protein] S-malonyltransferase	05CJF@bactNOG,099R0@bctoNOG,COG0331@NOG	malonyl CoA-acyl carrier protein transacylase			SZUA-1184_17:c(2092..3018)	Malonyl CoA-acyl carrier protein transacylase	K00645	K00645		K00645	K21381
Candidatus_bacterium_SZUA-1184|SZUA-1184_00088	K00648	[EC:2.3.1.180]	fabH	3-oxoacyl-[acyl-carrier-protein] synthase III	05CCZ@bactNOG,0CZB7@chlNOG,COG0332@NOG	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids (By similarity)			SZUA-1184_17:c(3021..3515)	3-oxoacyl-[acyl-carrier-protein] synthase 3	K00648	K00648		K00648	K21788
Candidatus_bacterium_SZUA-1184|SZUA-1184_00089					07KF3@bactNOG,09SJR@bctoNOG,11IYI@NOG				SZUA-1184_18:57..356	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00090					0XRDS@NOG,arCOG02559@arNOG	Inherit from COG: pullulanase			SZUA-1184_18:404..2944	Protease 1					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00091					08T1X@bactNOG,0XRDS@NOG	regulatory protein FlaEY			SZUA-1184_18:2960..4369	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00092									SZUA-1184_18:4457..4651	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00093					07YGU@bactNOG,0CY0H@chlaNOG,11HKG@NOG				SZUA-1184_18:4745..5956	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00094	K14189	[EC:1.-.-.-]	dltE	uncharacterized oxidoreductase	05K0K@bactNOG,0QUCJ@gproNOG,11N9W@NOG,1779D@proNOG	short-chain dehydrogenase reductase			SZUA-1184_18:6044..6214	hypothetical protein	K14189			K14189	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00095					05R19@bactNOG,099UQ@bctoNOG,0XP2F@NOG	tonB-dependent Receptor			SZUA-1184_19:1145..3580	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00096									SZUA-1184_19:3580..4503	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00097	K01142	[EC:3.1.11.2]	E3.1.11.2, xthA	exodeoxyribonuclease III	0KRMU@eurNOG,0WRN9@metNOG,COG0708@NOG,arCOG02207@arNOG	exodeoxyribonuclease III			SZUA-1184_19:4566..5330	Exodeoxyribonuclease	K01142	K01142		K01142	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00098	K21469	[EC:3.4.16.4]	pbp4b	serine-type D-Ala-D-Ala carboxypeptidase	01S15@aproNOG,07S1E@bactNOG,16T62@proNOG,COG1680@NOG	beta-lactamase			SZUA-1184_19:5348..6607	hypothetical protein	K21469				K21469
Candidatus_bacterium_SZUA-1184|SZUA-1184_00099									SZUA-1184_19:6658..6822	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00100	K11690		dctM	C4-dicarboxylate transporter, DctM subunit	05CG6@bactNOG,0GBED@delNOG,0HCVQ@dproNOG,16PBP@proNOG,COG1593@NOG	TRAP dicarboxylate transporter, DctM subunit			SZUA-1184_20:c(1101..2924)	C4-dicarboxylate TRAP transporter large permease protein DctM	K11690			K11690	K21393
Candidatus_bacterium_SZUA-1184|SZUA-1184_00101	K21395		yiaO	TRAP-type transport system periplasmic protein	07V5Z@bactNOG,0GFH0@delNOG,0HG8T@dproNOG,17ATP@proNOG,COG1638@NOG	TRAP dicarboxylate transporter subunit DctP			SZUA-1184_20:c(2948..3934)	Solute-binding protein	K21395				K21395
Candidatus_bacterium_SZUA-1184|SZUA-1184_00102					08R9H@bactNOG,11FQA@NOG				SZUA-1184_20:c(3935..4678)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00103	K00600	[EC:2.1.2.1]	glyA, SHMT	glycine hydroxymethyltransferase	05C65@bactNOG,0CZ3A@chlNOG,COG0112@NOG	Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism (By similarity)			SZUA-1184_20:c(4828..6132)	Serine hydroxymethyltransferase	K00600	K00600		K00600	K00600
Candidatus_bacterium_SZUA-1184|SZUA-1184_00104					05TGX@bactNOG,0D08M@chlNOG,121AB@NOG	TPR			SZUA-1184_20:c(6146..7420)	Beta-barrel assembly-enhancing protease					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00105					08Q6S@bactNOG,099FY@bctoNOG,0P7NY@flaNOG,0XR5T@NOG	membrane			SZUA-1184_20:c(7420..8706)	hypothetical protein					
