#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00001	K01939	[EC:6.3.4.4]	purA, ADSS	adenylosuccinate synthase	05C91@bactNOG,0GAN7@delNOG,0I2ZP@eproNOG,16PIX@proNOG,COG0104@NOG	Plays an important role in the de novo pathway of purine nucleotide biosynthesis			SZUA-1327_1:634..1896	Adenylosuccinate synthetase	K01939	K01939	K01939	K01939	K01939
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00023	K00943	[EC:2.7.4.9]	tmk, DTYMK	dTMP kinase	08ZMD@bactNOG,0GEJN@delNOG,0I3WZ@eproNOG,16QJR@proNOG,COG0125@NOG	Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis (By similarity)			SZUA-1327_6:3141..3734	Thymidylate kinase	K00943	K00943		K00943	K00943
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00024	K01151	[EC:3.1.21.2]	nfo	deoxyribonuclease IV	05EFU@bactNOG,0GBDA@delNOG,0I32K@eproNOG,16QRW@proNOG,COG0648@NOG	Endonuclease IV plays a role in DNA repair. It cleaves phosphodiester bonds at apurinic or apyrimidinic sites (AP sites) to produce new 5'-ends that are base-free deoxyribose 5-phosphate residues. It preferentially attacks modified AP sites created by bleomycin and neocarzinostatin (By similarity)			SZUA-1327_6:3731..4576	Endonuclease 4	K01151	K01151	K01151	K01151	K01151
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00025	K02518		infA	translation initiation factor IF-1	05K9U@bactNOG,0GFSK@delNOG,0I460@eproNOG,17FET@proNOG,COG0361@NOG	however, it seems to stimulate more or less all the activities of the other two initiation factors, IF-2 and IF-3 (By similarity)			SZUA-1327_6:c(4584..4802)	Translation initiation factor IF-1	K02518	K02518	K02518	K02518	K03236
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00026	K00330	[EC:1.6.5.3]	nuoA	NADH-quinone oxidoreductase subunit A	05KWU@bactNOG,0GDWE@delNOG,0I3N7@eproNOG,17C6J@proNOG,COG0838@NOG	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain (By similarity)			SZUA-1327_7:1149..1538	NAD(P)H-quinone oxidoreductase subunit 3	K00330	K00330		K00330	K05574
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00027	K00331	[EC:1.6.5.3]	nuoB	NADH-quinone oxidoreductase subunit B	05ES3@bactNOG,0GB5E@delNOG,0I2Q2@eproNOG,16PW9@proNOG,COG0377@NOG	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)			SZUA-1327_7:1520..2035	NADH-quinone oxidoreductase subunit 6	K00331	K00331	K00331	K00331	K13380
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00028	K00332	[EC:1.6.5.3]	nuoC	NADH-quinone oxidoreductase subunit C	05CYU@bactNOG,0GFVR@delNOG,0I2ZV@eproNOG,16SWQ@proNOG,COG0852@NOG	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain (By similarity)			SZUA-1327_7:2036..2851	NADH-quinone oxidoreductase chain 5	K00332	K00332		K00332	K13380
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00029	K00333	[EC:1.6.5.3]	nuoD	NADH-quinone oxidoreductase subunit D	05CQV@bactNOG,0GB5W@delNOG,0I2RD@eproNOG,16PYU@proNOG,COG0649@NOG	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)			SZUA-1327_7:2851..4086	NADH-quinone oxidoreductase subunit D	K00333	K00333	K00333	K00333	K13380
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00030					06YHS@bactNOG,09PC4@bctoNOG,0YUB1@NOG				SZUA-1327_7:4129..4818	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00031	K00334	[EC:1.6.5.3]	nuoE	NADH-quinone oxidoreductase subunit E	05W8E@bactNOG,0GGXI@delNOG,0I4A0@eproNOG,121T3@NOG,17JU6@proNOG	Oxidoreductase			SZUA-1327_7:4805..5056	hypothetical protein	K00334			K00334	
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00032	K15022	[EC:1.17.1.10]	fdhB	formate dehydrogenase (NADP+) beta subunit	05BZ8@bactNOG,0GAPS@delNOG,0I2VI@eproNOG,18A4V@proNOG,COG0493@NOG,COG1894@NOG	fad-dependent pyridine nucleotide-disulfide oxidoreductase			SZUA-1327_7:5069..7105	NADPH-Fe(3+) oxidoreductase subunit beta	K15022	K15022		K00266	K18331
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00033									SZUA-1327_8:130..1068	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00034					05MU7@bactNOG,0GFIG@delNOG,0I442@eproNOG,11VKM@NOG,17HJ6@proNOG	(Lipo)protein			SZUA-1327_8:c(1060..1572)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00035	K07151	[EC:2.4.99.18]	STT3	dolichyl-diphosphooligosaccharide---protein glycosyltransferase	07ZAZ@bactNOG,0GBS4@delNOG,0I2QN@eproNOG,16TUR@proNOG,COG1287@NOG	Oligosaccharyl transferase, STT3 subunit			SZUA-1327_8:c(1569..3755)	Undecaprenyl-diphosphooligosaccharide--protein glycotransferase	K07151	K07151		K07151	K21306
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00036	K02067		mlaD, linM	phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	07PE3@bactNOG,0GEJH@delNOG,0I35U@eproNOG,177TN@proNOG,COG1463@NOG	mce related protein			SZUA-1327_8:3853..5223	hypothetical protein	K02067	K02067		K02067	K02067
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00037	K07100		K07100	putative phosphoribosyl transferase	08V4Y@bactNOG,0GEJX@delNOG,0I3UW@eproNOG,17DMA@proNOG,COG1926@NOG	Phosphoribosyl transferase domain			SZUA-1327_8:5224..5820	hypothetical protein	K07100			K07100	K07100
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00038									SZUA-1327_9:59..262	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00039	K07491		K07491	putative transposase	08QRM@bactNOG,0YZA7@NOG	SapC family			SZUA-1327_9:271..972	hypothetical protein	K07491			K07491	
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00040	K09860		K09860	uncharacterized protein	08Y7S@bactNOG,0GDZU@delNOG,0I3P8@eproNOG,17B8A@proNOG,COG3018@NOG	lipoprotein			SZUA-1327_9:1037..1549	hypothetical protein	K09860			K09860	K09860
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00041									SZUA-1327_9:1553..1729	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00042									SZUA-1327_9:1747..4845	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00043									SZUA-1327_10:22..228	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00044					08WVN@bactNOG,0GEGF@delNOG,0I3MF@eproNOG,11KFM@NOG,17B5N@proNOG	Outer membrane efflux protein			SZUA-1327_10:c(247..1416)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00045					05PA0@bactNOG,0GG3D@delNOG,0I452@eproNOG,11X2A@NOG,17I3I@proNOG				SZUA-1327_10:c(1413..2138)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00046	K21134		triC	multidrug efflux pump	05BZS@bactNOG,0GAR9@delNOG,0I2P3@eproNOG,16PBH@proNOG,COG0841@NOG	acriflavin resistance protein			SZUA-1327_10:c(2148..5228)	Swarming motility protein SwrC	K21134				K21134
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00047	K03517	[EC:2.5.1.72]	nadA	quinolinate synthase	05D0I@bactNOG,0GB00@delNOG,0I2WP@eproNOG,16T75@proNOG,COG0379@NOG	Catalyzes the condensation of iminoaspartate with dihydroxyacetone phosphate to form quinolinate (By similarity)			SZUA-1327_10:c(5279..6286)	Quinolinate synthase A	K03517	K03517	K03517	K03517	K03517
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00048	K04077		groEL, HSPD1	chaperonin GroEL	05CJ9@bactNOG,0GANF@delNOG,0I2K8@eproNOG,16QCK@proNOG,COG0459@NOG	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)			SZUA-1327_10:c(6543..8168)	60 kDa chaperonin	K04077	K04077	K04077	K04077	K04077
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00049	K00694	[EC:2.4.1.12]	bcsA	cellulose synthase (UDP-forming)	02FZR@aquNOG,05CND@bactNOG,COG1215@NOG	glycosyl transferase family 2			SZUA-1327_11:66..2477	Cellulose synthase catalytic subunit [UDP-forming]	K00694	K00694	K00694	K00694	K21305
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00050	K02881		RP-L18, MRPL18, rplR	large subunit ribosomal protein L18	05K4C@bactNOG,0GFJB@delNOG,0I42V@eproNOG,17FS3@proNOG,COG0256@NOG	This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance (By similarity)			SZUA-1327_12:99..332	50S ribosomal protein L18	K02881	K02881		K02881	K02932
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00051	K02988		RP-S5, MRPS5, rpsE	small subunit ribosomal protein S5	08RA9@bactNOG,0GDD9@delNOG,0I3GT@eproNOG,16QB5@proNOG,COG0098@NOG	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body (By similarity)			SZUA-1327_12:342..785	30S ribosomal protein S5	K02988	K02988	K02988	K02988	K02988
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00052	K02876		RP-L15, MRPL15, rplO	large subunit ribosomal protein L15	08UZ0@bactNOG,0GETP@delNOG,0I3UJ@eproNOG,17CQT@proNOG,COG0200@NOG	50S ribosomal protein L15			SZUA-1327_12:789..1196	50S ribosomal protein L15	K02876	K02876	K02876	K02876	K02900
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00053	K03076		secY	preprotein translocase subunit SecY	05CGG@bactNOG,0GAQS@delNOG,0I2KT@eproNOG,16PR3@proNOG,COG0201@NOG	The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently (By similarity)			SZUA-1327_12:1199..2458	Protein translocase subunit SecY	K03076	K03076		K03076	K03076
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00054	K01265	[EC:3.4.11.18]	map	methionyl aminopeptidase	05CA1@bactNOG,0GAPK@delNOG,0I2MG@eproNOG,16PNP@proNOG,COG0024@NOG	Removes the N-terminal methionine from nascent proteins (By similarity)			SZUA-1327_12:2458..3216	Methionine aminopeptidase 1	K01265	K01265	K01265	K01265	K14813
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00055	K06178	[EC:5.4.99.22]	rluB	23S rRNA pseudouridine2605 synthase	05FE9@bactNOG,0GBIH@delNOG,0I2WI@eproNOG,16PVT@proNOG,COG1187@NOG	Pseudouridine synthase			SZUA-1327_13:c(321..1070)	Ribosomal large subunit pseudouridine synthase B	K06178	K06178		K06178	K06183
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00056	K00076	[EC:1.1.1.159]	hdhA	7-alpha-hydroxysteroid dehydrogenase	05CSJ@bactNOG,0GAQ2@delNOG,0I2N3@eproNOG,16PM1@proNOG,COG0623@NOG	7-alpha-hydroxysteroid dehydrogenase			SZUA-1327_13:c(1071..1835)	Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	K00076	K00076	K00076	K00076	K11611
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00057	K01714	[EC:4.3.3.7]	dapA	4-hydroxy-tetrahydrodipicolinate synthase	05CDP@bactNOG,0GBNF@delNOG,0I2GY@eproNOG,16PWN@proNOG,COG0329@NOG	Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA) (By similarity)			SZUA-1327_13:c(1835..2722)	4-hydroxy-tetrahydrodipicolinate synthase	K01714	K01714	K01714	K01714	K21062
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00058	K00694	[EC:2.4.1.12]	bcsA	cellulose synthase (UDP-forming)	02FZR@aquNOG,05CND@bactNOG,COG1215@NOG	glycosyl transferase family 2			SZUA-1327_13:2805..5216	Cellulose synthase catalytic subunit [UDP-forming]	K00694	K00694	K00694	K00694	K21305
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00061	K18696	[EC:3.1.4.46]	GDE1	glycerophosphodiester phosphodiesterase	05JXB@bactNOG,0GIXW@delNOG,0I4NB@eproNOG,16XSH@proNOG,COG0666@NOG	Ankyrin repeat			SZUA-1327_14:307..855	Phosphocholine transferase AnkX	K18696				K18696
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00062	K14489	[EC:2.7.13.3]	AHK2_3_4	arabidopsis histidine kinase 2/3/4 (cytokinin receptor)	05BZU@bactNOG,0GAXM@delNOG,0I360@eproNOG,0XNMH@NOG,16PBK@proNOG	Histidine kinase			SZUA-1327_14:c(846..3149)	Signal transduction histidine-protein kinase BarA	K14489		K14489	K03407	
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00063	K01465	[EC:3.5.2.3]	URA4, pyrC	dihydroorotase	05CD3@bactNOG,0GB5C@delNOG,0I3M7@eproNOG,16PSG@proNOG,COG0044@NOG	Dihydroorotase			SZUA-1327_14:c(3191..4207)	Dihydroorotase	K01465	K01465		K01465	K01466
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00064	K02557		motB	chemotaxis protein MotB	08SUJ@bactNOG,0GFHG@delNOG,0I433@eproNOG,178ZQ@proNOG,COG2885@NOG	chemotaxis protein MotB			SZUA-1327_14:4264..5025	hypothetical protein	K02557			K02557	K21218
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00065					05ZY7@bactNOG,0GHN9@delNOG,0I5T1@eproNOG,128KQ@NOG,16X8A@proNOG	Nucleotidyltransferase domain			SZUA-1327_14:5022..5318	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00066					05SIY@bactNOG,0GFSQ@delNOG,0I4RK@eproNOG,120II@NOG,17QPW@proNOG				SZUA-1327_14:5323..5757	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00067									SZUA-1327_14:5754..6449	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00068	K07806	[EC:2.6.1.87]	arnB, pmrH	UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase	05CF4@bactNOG,0QN02@gproNOG,16QUR@proNOG,COG0399@NOG	Catalyzes the conversion of UDP-4-keto-arabinose (UDP- Ara4O) to UDP-4-amino-4-deoxy-L-arabinose (UDP-L-Ara4N). The modified arabinose is attached to lipid A and is required for resistance to polymyxin and cationic antimicrobial peptides (By similarity)			SZUA-1327_14:6454..7572	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase	K07806			K07806	K21337
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00069	K06168	[EC:2.8.4.3]	miaB	tRNA-2-methylthio-N6-dimethylallyladenosine synthase	05CIW@bactNOG,0GAZ9@delNOG,0I2WB@eproNOG,16RHH@proNOG,COG0621@NOG	MiaB-like tRNA modifying enzyme			SZUA-1327_15:c(1166..2407)	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB	K06168			K06168	K18707
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00070	K00820	[EC:2.6.1.16]	glmS, GFPT	glucosamine---fructose-6-phosphate aminotransferase (isomerizing)	05C46@bactNOG,0GAY7@delNOG,0I33D@eproNOG,16PFR@proNOG,COG0449@NOG	Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source (By similarity)			SZUA-1327_15:2498..4315	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	K00820	K00820	K00820	K00820	K00820
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00071									SZUA-1327_15:c(4354..5565)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00072									SZUA-1327_16:c(105..497)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00073					06C3K@bactNOG,0GIV8@delNOG,0I4ST@eproNOG,0Y52B@NOG,17SFM@proNOG				SZUA-1327_16:c(501..1430)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00074					07334@bactNOG,0GNT9@delNOG,0I5KY@eproNOG,0Z52A@NOG,187IU@proNOG				SZUA-1327_16:c(1433..2368)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00075	K03657	[EC:3.6.4.12]	uvrD, pcrA	DNA helicase II / ATP-dependent DNA helicase PcrA	07PJ9@bactNOG,0GBP3@delNOG,0I37I@eproNOG,174FG@proNOG,COG0210@NOG	helicase			SZUA-1327_16:2417..4471	Putative ATP-dependent DNA helicase YjcD	K03657	K03657	K03657	K03657	K03658
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00076									SZUA-1327_16:4519..5655	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00077	K00059	[EC:1.1.1.100]	fabG	3-oxoacyl-[acyl-carrier protein] reductase	05CHR@bactNOG,0GAWM@delNOG,0I2NU@eproNOG,0XNW1@NOG,16QA8@proNOG	reductase (EC 1.1.1.100)			SZUA-1327_16:5736..6479	3-oxoacyl-[acyl-carrier-protein] reductase FabG	K00059	K00059	K00059	K00059	
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00078	K09792		K09792	uncharacterized protein	08Z2G@bactNOG,0GDIJ@delNOG,0I3HQ@eproNOG,17CM8@proNOG,COG2836@NOG	integral membrane protein			SZUA-1327_16:6480..7217	hypothetical protein	K09792	K09792	K09792	K09792	K09792
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00079	K03977		engA, der	GTPase	05DKZ@bactNOG,0GAPY@delNOG,0I2S1@eproNOG,16PU4@proNOG,COG1160@NOG	GTPase that plays an essential role in the late steps of ribosome biogenesis (By similarity)			SZUA-1327_16:7214..8566	GTPase Der	K03977	K03977	K03977	K00058	K03977
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00080	K02243		comGA	competence protein ComGA	07QHF@bactNOG,0GBIF@delNOG,0I2KD@eproNOG,16Q1A@proNOG,COG2804@NOG	type II secretion system protein E			SZUA-1327_16:8559..10259	Type II secretion system protein E	K02243			K02243	K12276
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00081	K00652	[EC:2.3.1.47]	bioF	8-amino-7-oxononanoate synthase	07EEK@bactNOG,0GB6W@delNOG,0I2JR@eproNOG,16R8V@proNOG,COG0156@NOG	8-amino-7-oxononanoate synthase			SZUA-1327_16:c(10239..11342)	8-amino-7-oxononanoate synthase	K00652	K00652		K00639	K21792
