#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00001					05PN5@bactNOG,0FMVY@cyaNOG,11YV8@NOG	Aldolase_II			SZUA-1433_1:82..522	Methylthioribulose-1-phosphate dehydratase					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00016	K02036	[EC:3.6.3.27]	pstB	phosphate transport system ATP-binding protein	05BZY@bactNOG,0GAQD@delNOG,0I3AQ@eproNOG,16PBQ@proNOG,COG1117@NOG	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system (By similarity)			SZUA-1433_4:2111..2902	Phosphate import ATP-binding protein PstB	K02036	K02036		K02036	K02036
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00017	K02039		phoU	phosphate transport system protein	08T8C@bactNOG,0GDAF@delNOG,0I3GZ@eproNOG,11HVW@NOG,16VRT@proNOG	phosphate transport system			SZUA-1433_4:2902..3567	hypothetical protein	K02039	K02039		K02039	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00018	K07657		phoB	two-component system, OmpR family, phosphate regulon response regulator PhoB	05DPZ@bactNOG,0GDB2@delNOG,0I3BR@eproNOG,16PT0@proNOG,COG0745@NOG	regulator			SZUA-1433_4:3567..4238	Transcriptional regulatory protein WalR	K07657			K07657	K21603
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00019					05BZU@bactNOG,0GCJ1@delNOG,0I2K0@eproNOG,0XNMH@NOG,16Q12@proNOG	Histidine kinase			SZUA-1433_4:4232..5623	Alkaline phosphatase synthesis sensor protein PhoR					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00020									SZUA-1433_4:c(5730..5921)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00021					05JNW@bactNOG,0GMCR@delNOG,11NNT@NOG,17CHF@proNOG	EamA-like transporter family			SZUA-1433_4:6065..6487	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00022	K01940	[EC:6.3.4.5]	argG, ASS1	argininosuccinate synthase	05CDH@bactNOG,0GAU7@delNOG,0I2MQ@eproNOG,16PSZ@proNOG,COG0137@NOG	Citrulline--aspartate ligase			SZUA-1433_4:c(6484..7686)	Argininosuccinate synthase	K01940	K01940		K01940	K01940
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00023	K04762		hslR	ribosome-associated heat shock protein Hsp15	0854I@bactNOG,0GGS4@delNOG,0I49T@eproNOG,17KE6@proNOG,COG1188@NOG	s4 domain protein			SZUA-1433_4:7840..8085	hypothetical protein	K04762				K04762
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00024					02GH6@aquNOG,08FEP@bactNOG,0XXGB@NOG				SZUA-1433_5:63..671	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00025	K01972	[EC:6.5.1.2]	E6.5.1.2, ligA, ligB	DNA ligase (NAD+)	05C77@bactNOG,0GAY2@delNOG,0I2GF@eproNOG,16PMQ@proNOG,COG0272@NOG	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA			SZUA-1433_6:c(189..1682)	DNA ligase	K01972	K01972		K01972	K01972
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00026	K03286		TC.OOP	OmpA-OmpF porin, OOP family	05CDV@bactNOG,09A26@bctoNOG,1AJI3@sphNOG,COG2885@NOG	OmpA MotB domain protein			SZUA-1433_7:2019..4031	putative lipoprotein YiaD	K03286			K03286	K21218
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00027	K02411		fliH	flagellar assembly protein FliH	05SUS@bactNOG,0GF6X@delNOG,0I42E@eproNOG,17HRD@proNOG,COG1317@NOG	Flagellar assembly protein			SZUA-1433_8:c(157..918)	hypothetical protein	K02411			K02411	K03223
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00028	K02410		fliG	flagellar motor switch protein FliG	05CS3@bactNOG,0GAKP@delNOG,0I2KU@eproNOG,16Q7Q@proNOG,COG1536@NOG	flagellar motor switch protein			SZUA-1433_8:c(926..1957)	Flagellar motor switch protein FliG	K02410	K02410		K02410	K02410
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00029	K02409		fliF	flagellar M-ring protein FliF	05C1F@bactNOG,0GAVK@delNOG,0I2TD@eproNOG,16PD6@proNOG,COG1766@NOG	The M ring may be actively involved in energy transduction (By similarity)			SZUA-1433_8:c(1959..3656)	Flagellar M-ring protein	K02409	K02409	K02409	K02409	K03222
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00030	K00817	[EC:2.6.1.9]	hisC	histidinol-phosphate aminotransferase	05CIH@bactNOG,0GB4P@delNOG,0I2GD@eproNOG,16QKB@proNOG,COG0079@NOG	Imidazole acetol-phosphate transaminase			SZUA-1433_8:c(3664..4767)	Histidinol-phosphate aminotransferase	K00817	K00817		K00817	K04720
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00031	K14170	[EC:5.4.99.5][EC:4.2.1.51]	pheA	chorismate mutase / prephenate dehydratase	05CQC@bactNOG,0GAVE@delNOG,0I2S5@eproNOG,16QSN@proNOG,COG0077@NOG,COG1605@NOG	Chorismate mutase prephenate dehydratase			SZUA-1433_8:c(4757..5827)	P-protein	K14170	K14170		K01713	K14187
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00032	K01586	[EC:4.1.1.20]	lysA	diaminopimelate decarboxylase	05CU5@bactNOG,0GB2U@delNOG,0I2JA@eproNOG,16PF4@proNOG,COG0019@NOG	Specifically catalyzes the decarboxylation of meso- diaminopimelate (meso-DAP) to L-lysine (By similarity)			SZUA-1433_8:c(5824..7029)	Diaminopimelate decarboxylase	K01586	K01586	K01586	K01586	K13747
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00033					06H3D@bactNOG,0Y2S0@NOG				SZUA-1433_8:c(7078..7644)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00034	K03975		dedA	membrane-associated protein	05DQR@bactNOG,0GE0W@delNOG,0I3ST@eproNOG,16S5W@proNOG,COG0586@NOG	dedA family			SZUA-1433_8:c(7645..8247)	Protein DedA	K03975			K03975	K03975
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00035	K06153	[EC:3.6.1.27]	bacA	undecaprenyl-diphosphatase	05DWR@bactNOG,0GCG0@delNOG,0I2KW@eproNOG,173U8@proNOG,COG1968@NOG	Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin (By similarity)			SZUA-1433_8:c(8258..9025)	Undecaprenyl-diphosphatase	K06153	K06153		K06153	K06153
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00036	K07043		K07043	uncharacterized protein	05MD7@bactNOG,0GGQD@delNOG,0I4GC@eproNOG,176BD@proNOG,COG1451@NOG	Protein of unknown function DUF45			SZUA-1433_8:c(9071..9637)	hypothetical protein	K07043	K07043	K07043	K07043	K07043
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00037									SZUA-1433_8:9743..10627	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00039	K06881	[EC:3.1.3.7][EC:3.1.13.3]	nrnA	bifunctional oligoribonuclease and PAP phosphatase NrnA	05DV2@bactNOG,0GBPB@delNOG,0I53E@eproNOG,16PSD@proNOG,COG0618@NOG	Inherit from proNOG: Exopolyphosphatase-related protein			SZUA-1433_8:c(11055..11999)	hypothetical protein	K06881				K06881
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00040					05BZU@bactNOG,0GBND@delNOG,0I3A1@eproNOG,0XNMH@NOG,16QKZ@proNOG	Diguanylate cyclase phosphodiesterase			SZUA-1433_8:c(12080..13936)	Cyclic di-GMP phosphodiesterase PdeB					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00041	K00925	[EC:2.7.2.1]	ackA	acetate kinase	05C6H@bactNOG,0ENWN@cloNOG,0NDCF@firmNOG,COG0282@NOG	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction (By similarity)			SZUA-1433_9:111..452	putative propionate kinase	K00925	K00925		K00925	K19697
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00042					08P3M@bactNOG,0GCEJ@delNOG,0I3DY@eproNOG,176J1@proNOG,COG0745@NOG,COG5001@NOG	response regulator receiver modulated diguanylate cyclase phosphodiesterase			SZUA-1433_9:664..1068	Transcriptional regulatory protein CusR					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00043					08RAP@bactNOG,11FS4@NOG	Ompa motb domain protein			SZUA-1433_9:c(1114..1854)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00044	K00858	[EC:2.7.1.23]	ppnK, NADK	NAD+ kinase	05F91@bactNOG,0GC5K@delNOG,0I35A@eproNOG,16QK8@proNOG,COG0061@NOG	Catalyzes the phosphorylation of NAD to NADP. Utilizes ATP and other nucleoside triphosphates as well as inorganic polyphosphate as a source of phosphorus (By similarity)			SZUA-1433_10:85..981	NAD kinase	K00858	K00858	K00858	K00858	K19386
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00045	K03631		recN	DNA repair protein RecN (Recombination protein N)	05C4F@bactNOG,0GBTK@delNOG,0I2YE@eproNOG,16PSH@proNOG,COG0497@NOG	May be involved in recombinational repair of damaged DNA (By similarity)			SZUA-1433_10:978..2513	DNA repair protein RecN	K03631	K03631		K03631	K03631
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00046									SZUA-1433_10:2517..2987	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00047	K14059		int	integrase	07R0M@bactNOG,0B9MP@bproNOG,16QPA@proNOG,COG0582@NOG	Integrase			SZUA-1433_10:3081..3437	hypothetical protein	K14059				K14059
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00048	K00611	[EC:2.1.3.3]	OTC, argF, argI	ornithine carbamoyltransferase	05DBV@bactNOG,0GBHW@delNOG,0I35C@eproNOG,16SAB@proNOG,COG0078@NOG	Reversibly catalyzes the transfer of the carbamoyl group from carbamoyl phosphate (CP) to the N(epsilon) atom of ornithine (ORN) to produce L-citrulline (By similarity)			SZUA-1433_11:13..804	Ornithine carbamoyltransferase, anabolic	K00611	K00611		K00611	K13252
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00049					05T1H@bactNOG,0GFRU@delNOG,0I496@eproNOG,11YGV@NOG,17I6V@proNOG	UPF0763 protein			SZUA-1433_11:822..1328	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00050	K02495	[EC:1.3.98.3]	hemN, hemZ	oxygen-independent coproporphyrinogen III oxidase	05D4P@bactNOG,0GAN2@delNOG,0I2JU@eproNOG,16QSX@proNOG,COG0635@NOG	Oxygen-independent coproporphyrinogen III oxidase			SZUA-1433_11:1336..2703	Oxygen-independent coproporphyrinogen III oxidase	K02495	K02495	K02495	K00228	K21936
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00051	K11473		glcF	glycolate oxidase iron-sulfur subunit	05CHG@bactNOG,0GBA5@delNOG,0I2WF@eproNOG,16QTR@proNOG,COG0247@NOG	anaerobic glycerol-3-phosphate dehydrogenase, subunit C			SZUA-1433_11:2700..3986	Lactate utilization protein A	K11473	K11473		K11473	K21834
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00052	K13292	[EC:2.-.-.-]	lgt, umpA	phosphatidylglycerol:prolipoprotein diacylglycerol transferase	05C3B@bactNOG,0GB7Z@delNOG,0I2ZC@eproNOG,16PEZ@proNOG,COG0682@NOG	Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins (By similarity)			SZUA-1433_11:3986..4825	Prolipoprotein diacylglyceryl transferase	K13292	K13292	K13292	K13292	K13292
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00053	K04656		hypF	hydrogenase maturation protein HypF	05C8H@bactNOG,0GB64@delNOG,0I2ZT@eproNOG,16RQ0@proNOG,COG0068@NOG	hydrogenase maturation protein Hypf			SZUA-1433_11:4822..6135	Carbamoyltransferase HypF	K04656	K04656		K04656	K04656
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00054	K03310		TC.AGCS	alanine or glycine:cation symporter, AGCS family	05BZG@bactNOG,0GB1R@delNOG,0I3CQ@eproNOG,16PB8@proNOG,COG1115@NOG	sodium alanine symporter			SZUA-1433_11:6132..7574	Amino-acid carrier protein AlsT	K03310	K03310		K03310	K11626
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00055	K13996	[EC:5.3.4.1]	EPS1	protein disulfide-isomerase	083CH@bactNOG,0GRWU@delNOG,0I47V@eproNOG,17KV2@proNOG,COG0526@NOG	lipoprotein			SZUA-1433_12:c(139..720)	Thiol-disulfide oxidoreductase ResA	K13996				K13996
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00056	K18682	[EC:3.1.-.-]	rny	ribonucrease Y	05E4Y@bactNOG,0GAU1@delNOG,0I31N@eproNOG,16S71@proNOG,COG1418@NOG	Endoribonuclease that initiates mRNA decay (By similarity)			SZUA-1433_12:1318..2886	Ribonuclease Y	K18682	K18682		K18682	K18682
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00057									SZUA-1433_12:2955..3371	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00058	K00937	[EC:2.7.4.1]	ppk	polyphosphate kinase	05CUU@bactNOG,0GASC@delNOG,0I2MS@eproNOG,16Q66@proNOG,COG0855@NOG	Catalyzes the reversible transfer of the terminal phosphate of ATP to form a long-chain polyphosphate (polyP) (By similarity)			SZUA-1433_13:26..1180	Polyphosphate kinase	K00937	K00937		K00937	K00937
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00059	K08279		caiE	carnitine operon protein CaiE	08Z0R@bactNOG,0GF0A@delNOG,0I3KG@eproNOG,179PA@proNOG,COG0663@NOG	Transferase			SZUA-1433_13:1177..1701	Protein YrdA	K08279				K08279
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00060	K17218	[EC:1.8.5.4]	sqr	sulfide:quinone oxidoreductase	07RSJ@bactNOG,0GBA9@delNOG,0I33R@eproNOG,16UUM@proNOG,COG0446@NOG	Sulfide-quinone reductase			SZUA-1433_13:1805..3280	Sulfide-quinone reductase	K17218	K17218		K17218	K21833
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00061					06CQB@bactNOG,0GIFP@delNOG,0I4N1@eproNOG,0Y49M@NOG,17W2U@proNOG				SZUA-1433_13:3340..3534	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00062	K02342	[EC:2.7.7.7]	dnaQ	DNA polymerase III subunit epsilon	07ZBF@bactNOG,0GEA4@delNOG,0I3NF@eproNOG,16W0G@proNOG,COG0847@NOG	DNA polymerase III subunit epsilon			SZUA-1433_13:c(3636..4421)	DNA polymerase III PolC-type	K02342	K02342	K02342	K02342	K18327
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00063	K01817	[EC:5.3.1.24]	trpF	phosphoribosylanthranilate isomerase	08ZGB@bactNOG,0GEPF@delNOG,0I3M2@eproNOG,17BIG@proNOG,COG0135@NOG	isomerase (EC 5.3.1.24)			SZUA-1433_13:c(4393..5004)	N-(5'-phosphoribosyl)anthranilate isomerase	K01817	K01817		K01817	K16187
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00064	K01783	[EC:5.1.3.1]	rpe, RPE	ribulose-phosphate 3-epimerase	05DJV@bactNOG,0GBWJ@delNOG,0I2X4@eproNOG,16PI5@proNOG,COG0036@NOG	Ribulose-phosphate 3-epimerase			SZUA-1433_13:c(5001..5642)	Ribulose-phosphate 3-epimerase	K01783	K01783		K01783	K17195
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00065	K19342		nosL	copper chaperone NosL	084CF@bactNOG,0GHBA@delNOG,0I4FB@eproNOG,0ZXNH@NOG,17K4P@proNOG	NosL			SZUA-1433_14:c(514..969)	hypothetical protein	K19342			K19342	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00066	K01990		ABC-2.A	ABC-2 type transport system ATP-binding protein	08IQ2@bactNOG,0GSZ1@delNOG,0I6AU@eproNOG,172W1@proNOG,COG1131@NOG	abc transporter atp-binding protein			SZUA-1433_14:c(956..1594)	ABC transporter ATP-binding protein NatA	K01990	K01990		K01990	K21397
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00067	K02574		napH	ferredoxin-type protein NapH	05GXZ@bactNOG,0GBRB@delNOG,0I2XT@eproNOG,16VNE@proNOG,COG0348@NOG	Ferredoxin-type protein, NapH MauN family			SZUA-1433_14:c(1591..2517)	Ferredoxin-type protein NapH	K02574	K02574		K02574	K21559
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00068					06DDQ@bactNOG,0GG51@delNOG,0I444@eproNOG,0YKZ1@NOG,17W48@proNOG	Cytochrome c			SZUA-1433_14:c(2619..3164)	Cytochrome c-553					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00069					06302@bactNOG,0GFQ5@delNOG,0I400@eproNOG,1290T@NOG,17P4Y@proNOG				SZUA-1433_14:c(3157..3786)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00070	K02573		napG	ferredoxin-type protein NapG	08UYD@bactNOG,0GE8N@delNOG,0I3Q9@eproNOG,17A44@proNOG,COG1145@NOG	4Fe-4S ferredoxin			SZUA-1433_14:c(3790..4575)	Ferredoxin-type protein NapG	K02573	K02573		K02573	K16950
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00071	K07218		nosD	nitrous oxidase accessory protein	05DH4@bactNOG,0GAKT@delNOG,0I2IF@eproNOG,16R28@proNOG,COG3420@NOG	Nitrous oxidase accessory protein			SZUA-1433_14:c(4572..4964)	putative ABC transporter binding protein NosD	K07218	K07218		K07218	K07218
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00072	K21603		ftcR	two-component system, OmpR family, flagellar system response regulator FtcR	08S90@bactNOG,COG0745@NOG	response regulator			SZUA-1433_15:c(1072..1728)	Sensory transduction protein regX3	K21603				K21603
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00073	K10716		kch, trkA, mthK, pch	voltage-gated potassium channel	05MY9@bactNOG,122M1@NOG,17HEY@proNOG	TrkA-N domain protein			SZUA-1433_16:3..518	hypothetical protein	K10716	K10716			
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00074	K00057	[EC:1.1.1.94]	gpsA	glycerol-3-phosphate dehydrogenase (NAD(P)+)	05CSF@bactNOG,0GAWP@delNOG,0I321@eproNOG,16QXB@proNOG,COG0240@NOG	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase			SZUA-1433_16:515..1402	Glycerol-3-phosphate dehydrogenase [NAD(P)+]	K00057	K00057	K00057	K00057	K00057
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00075	K11065	[EC:1.11.1.15]	tpx	thiol peroxidase, atypical 2-Cys peroxiredoxin					SZUA-1433_16:c(1505..1726)	thiol peroxidase	K11065	K11065			
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00076	K11065	[EC:1.11.1.15]	tpx	thiol peroxidase, atypical 2-Cys peroxiredoxin	08V1J@bactNOG,0ETBM@cloNOG,0NI32@firmNOG,COG2077@NOG	Has antioxidant activity. Could remove peroxides or H(2)O(2) (By similarity)			SZUA-1433_16:c(1747..1977)	Thiol peroxidase	K11065	K11065		K11065	K11065
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00077	K05592	[EC:3.6.4.13]	deaD, cshA	ATP-dependent RNA helicase DeaD	05C1J@bactNOG,0GAIK@delNOG,0I2U0@eproNOG,16PDE@proNOG,COG0513@NOG	atp-dependent rna helicase			SZUA-1433_16:2531..4021	DEAD-box ATP-dependent RNA helicase RhpA	K05592	K05592	K14811	K05592	K18692
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00078	K00674	[EC:2.3.1.117]	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	05EJ3@bactNOG,0GAQU@delNOG,0I2M6@eproNOG,16Q1E@proNOG,COG2171@NOG	Catalyzes the conversion of the cyclic tetrahydrodipicolinate (THDP) into the acyclic N-succinyl-L-2- amino-6-oxopimelate using succinyl-CoA (By similarity)			SZUA-1433_16:4025..5230	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	K00674	K00674		K00674	K05822
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00079									SZUA-1433_16:5274..6134	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00080									SZUA-1433_16:6138..6335	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00081	K00239	[EC:1.3.5.1][EC:1.3.5.4]	sdhA, frdA	succinate dehydrogenase / fumarate reductase, flavoprotein subunit	05C00@bactNOG,0GBPR@delNOG,0I2MK@eproNOG,16QPK@proNOG,COG1053@NOG	fumarate reductase, flavoprotein subunit			SZUA-1433_17:298..2010	Succinate dehydrogenase flavoprotein subunit	K00239	K00239		K00239	K18556
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00082	K00240	[EC:1.3.5.1][EC:1.3.5.4]	sdhB, frdB	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	05E33@bactNOG,0GB1S@delNOG,0I2IS@eproNOG,16R1C@proNOG,COG0479@NOG	fumarate reductase iron-sulfur			SZUA-1433_17:2020..3009	Fumarate reductase iron-sulfur subunit	K00240	K00240		K00239	K18557
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00083	K00241		sdhC, frdC	succinate dehydrogenase / fumarate reductase, cytochrome b subunit	086B8@bactNOG,0GAX8@delNOG,0I2X7@eproNOG,17534@proNOG,COG2048@NOG	subunit C (EC			SZUA-1433_17:3006..3884	8-methylmenaquinol:fumarate reductase membrane anchor subunit	K00241	K00241		K00241	K18928
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00084	K21377	[EC:2.1.1.302]	aziB2	3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase	05TG6@bactNOG,0GF0H@delNOG,0I3VD@eproNOG,17GIB@proNOG,COG0500@NOG	methyltransferase			SZUA-1433_18:c(455..1141)	Ubiquinone biosynthesis O-methyltransferase	K21377				K21377
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00085									SZUA-1433_18:c(1141..1539)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00086									SZUA-1433_18:1595..1972	hypothetical protein					
