#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_sp_SZUA-1058|SZUA-1058_00001	K05592	[EC:3.6.4.13]	deaD, cshA	ATP-dependent RNA helicase DeaD	05C1J@bactNOG,0QI2F@gproNOG,16PDE@proNOG,COG0513@NOG	ATP-dependent RNA helicase			SZUA-1058_1:54..1805	ATP-dependent RNA helicase DeaD	K05592	K05592	K05592	K05592	K18692
Candidatus_sp_SZUA-1058|SZUA-1058_00015	K15736	[EC:1.1.3.-]	lhgO	L-2-hydroxyglutarate oxidase	05D5U@bactNOG,0QIFQ@gproNOG,16SND@proNOG,COG0579@NOG	Hydroxyglutarate oxidase			SZUA-1058_7:135..1337	L-2-hydroxyglutarate oxidase LhgO	K15736	K15736	K15736	K00109	K15736
Candidatus_sp_SZUA-1058|SZUA-1058_00016	K01951	[EC:6.3.5.2]	guaA, GMPS	GMP synthase (glutamine-hydrolysing)	08UHN@bactNOG,0QRKH@gproNOG,170FY@proNOG,COG0518@NOG	glutamine amidotransferase			SZUA-1058_7:c(1334..2050)	GMP synthase [glutamine-hydrolyzing]	K01951			K01951	K01951
Candidatus_sp_SZUA-1058|SZUA-1058_00017	K01480	[EC:3.5.3.11]	speB	agmatinase	COG0010@NOG	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines			SZUA-1058_7:c(2071..2502)	Agmatinase	K01480	K01480		K01480	K19723
Candidatus_sp_SZUA-1058|SZUA-1058_00018									SZUA-1058_8:640..861	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00019	K02427	[EC:2.1.1.166]	rlmE, rrmJ, ftsJ	23S rRNA (uridine2552-2'-O)-methyltransferase	05F7M@bactNOG,0QJ7F@gproNOG,16QAC@proNOG,COG0293@NOG	Specifically methylates the uridine in position 2552 of 23S rRNA at the 2'-O position of the ribose in the fully assembled 50S ribosomal subunit (By similarity)			SZUA-1058_8:1763..2380	Ribosomal RNA large subunit methyltransferase E	K02427	K02427		K02427	K15508
Candidatus_sp_SZUA-1058|SZUA-1058_00020	K02523	[EC:2.5.1.90]	ispB	octaprenyl-diphosphate synthase	05EAH@bactNOG,0QIFR@gproNOG,16SC4@proNOG,COG0142@NOG	octaprenyl-diphosphate synthase			SZUA-1058_8:2387..3358	Octaprenyl diphosphate synthase	K02523	K02523		K02523	K21275
Candidatus_sp_SZUA-1058|SZUA-1058_00021	K00927	[EC:2.7.2.3]	PGK, pgk	phosphoglycerate kinase	05BZA@bactNOG,0GAIS@delNOG,0HBSC@dproNOG,16PB3@proNOG,COG0126@NOG	phosphoglycerate kinase			SZUA-1058_9:100..1659	Bifunctional PGK/TIM	K00927	K00927		K00927	K15330
Candidatus_sp_SZUA-1058|SZUA-1058_00022									SZUA-1058_9:c(1614..2111)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00023	K09780		K09780	uncharacterized protein	05K9H@bactNOG,0QTPK@gproNOG,17FE5@proNOG,COG2350@NOG	YciI-like protein			SZUA-1058_10:c(491..790)	Protein YciI	K09780	K09780	K09780	K05527	K09780
Candidatus_sp_SZUA-1058|SZUA-1058_00024	K00215	[EC:1.17.1.8]	dapB	4-hydroxy-tetrahydrodipicolinate reductase	05DUK@bactNOG,0QIKH@gproNOG,16RQV@proNOG,COG0289@NOG	Catalyzes the conversion of 4-hydroxy- tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate (By similarity)			SZUA-1058_10:c(801..1532)	4-hydroxy-tetrahydrodipicolinate reductase	K00215	K00215		K00215	K00215
Candidatus_sp_SZUA-1058|SZUA-1058_00025	K01627	[EC:2.5.1.55]	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)	05CXR@bactNOG,0QIXG@gproNOG,16PEJ@proNOG,COG2877@NOG	Phospho-2-dehydro-3-deoxyoctonate aldolase			SZUA-1058_10:c(1525..2364)	2-dehydro-3-deoxyphosphooctonate aldolase	K01627	K01627		K01627	K01627
Candidatus_sp_SZUA-1058|SZUA-1058_00026	K12339	[EC:2.5.1.47]	cysM	cysteine synthase B	05C6T@bactNOG,0QII0@gproNOG,16Q08@proNOG,COG0031@NOG	Cysteine synthase			SZUA-1058_11:c(317..1216)	Cysteine synthase B	K12339	K12339		K01697	K21949
Candidatus_sp_SZUA-1058|SZUA-1058_00027	K01733	[EC:4.2.3.1]	thrC	threonine synthase	07R5I@bactNOG,0R8E6@gproNOG,16USF@proNOG,COG0498@NOG	Catalyzes the gamma-elimination of phosphate from L- phosphohomoserine and the beta-addition of water to produce L- threonine (By similarity)			SZUA-1058_11:c(1257..2324)	Threonine synthase	K01733	K01733	K01733	K01733	K15527
Candidatus_sp_SZUA-1058|SZUA-1058_00028	K00003	[EC:1.1.1.3]	E1.1.1.3	homoserine dehydrogenase	05D6E@bactNOG,0QJIR@gproNOG,16Q19@proNOG,COG0460@NOG	homoserine dehydrogenase			SZUA-1058_11:c(2341..3618)	Homoserine dehydrogenase	K00003	K00003		K00003	K12525
Candidatus_sp_SZUA-1058|SZUA-1058_00029	K00135	[EC:1.2.1.16][EC:1.2.1.79][EC:1.2.1.20]	gabD	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	05C26@bactNOG,0QHQJ@gproNOG,16PDZ@proNOG,COG1012@NOG	dehydrogenase			SZUA-1058_11:c(3743..4777)	Glutarate-semialdehyde dehydrogenase DavD	K00135	K00135		K00135	K21802
Candidatus_sp_SZUA-1058|SZUA-1058_00031	K00859	[EC:2.7.1.24]	coaE	dephospho-CoA kinase	08ZQD@bactNOG,0QR54@gproNOG,179UJ@proNOG,COG0237@NOG	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A (By similarity)			SZUA-1058_12:236..850	Dephospho-CoA kinase	K00859	K00859		K00859	K00859
Candidatus_sp_SZUA-1058|SZUA-1058_00032	K02004		ABC.CD.P	putative ABC transport system permease protein	01QD6@aproNOG,05CV6@bactNOG,16PJY@proNOG,COG3127@NOG	ABC transporter (permease)			SZUA-1058_12:c(888..2174)	hypothetical protein	K02004	K02004		K02004	K02004
Candidatus_sp_SZUA-1058|SZUA-1058_00033	K18697	[EC:3.1.3.27]	pgpC	phosphatidylglycerophosphatase C	08RXW@bactNOG,0QQ5V@gproNOG,178RA@proNOG,COG0560@NOG	HAD-superfamily subfamily IB hydrolase			SZUA-1058_15:66..479	Phosphoserine phosphatase SerB1	K18697				K18697
Candidatus_sp_SZUA-1058|SZUA-1058_00034	K04085	[EC:2.8.1.-]	tusA, sirA	tRNA 2-thiouridine synthesizing protein A	05VFE@bactNOG,0R8PV@gproNOG,16WVX@proNOG,COG0425@NOG	SirA-like protein			SZUA-1058_15:c(546..770)	Sulfur carrier protein TusA	K04085			K04085	K04085
Candidatus_sp_SZUA-1058|SZUA-1058_00035	K07112		K07112	uncharacterized protein	05KFG@bactNOG,0QTM0@gproNOG,17FMM@proNOG,COG2391@NOG	YeeE YedE family protein			SZUA-1058_15:c(817..1245)	hypothetical protein	K07112	K07112		K07112	K07112
Candidatus_sp_SZUA-1058|SZUA-1058_00036	K07112		K07112	uncharacterized protein	02D0A@aproNOG,0842Q@bactNOG,16X2Q@proNOG,COG2391@NOG	Pfam:DUF395			SZUA-1058_15:c(1242..1673)	hypothetical protein	K07112	K07112		K07112	K07112
Candidatus_sp_SZUA-1058|SZUA-1058_00037	K01807	[EC:5.3.1.6]	rpiA	ribose 5-phosphate isomerase A	05E66@bactNOG,0QI2P@gproNOG,16QKR@proNOG,COG0120@NOG	phosphoriboisomerase A			SZUA-1058_15:c(1858..2523)	Ribose-5-phosphate isomerase A	K01807	K01807		K00851	K01807
Candidatus_sp_SZUA-1058|SZUA-1058_00038	K02428	[EC:3.6.1.66]	rdgB	XTP/dITP diphosphohydrolase	08V82@bactNOG,0QJT6@gproNOG,16S67@proNOG,COG0127@NOG	Pyrophosphatase that hydrolyzes non-canonical purine nucleotides such as XTP and ITP dITP to their respective monophosphate derivatives. Might exclude non-canonical purines from DNA precursor pool, thus preventing their incorporation into DNA and avoiding chromosomal lesions (By similarity)			SZUA-1058_15:2560..3147	dITP/XTP pyrophosphatase	K02428	K02428		K02428	K02428
Candidatus_sp_SZUA-1058|SZUA-1058_00039	K02495	[EC:1.3.98.3]	hemN, hemZ	oxygen-independent coproporphyrinogen III oxidase	05CSA@bactNOG,0QJ3W@gproNOG,16Q82@proNOG,COG0635@NOG	coproporphyrinogen III oxidase			SZUA-1058_15:3149..4273	Oxygen-independent coproporphyrinogen-III oxidase-like protein	K02495			K02495	K21936
Candidatus_sp_SZUA-1058|SZUA-1058_00040					08VYW@bactNOG,0R37Z@gproNOG,11K79@NOG,17AZT@proNOG				SZUA-1058_15:4359..4793	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00041									SZUA-1058_16:22..231	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00042					03S7N@ascNOG,0IY1Z@euNOG,0PP8H@fuNOG,11PMU@NOG,13RQU@opiNOG	ethanolamine utilization protein (EutQ)			SZUA-1058_16:c(228..575)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00043	K14083	[EC:2.1.1.250]	mttB	trimethylamine---corrinoid protein Co-methyltransferase	01V66@aproNOG,05F5V@bactNOG,1746S@proNOG,COG5598@NOG	trimethylamine methyltransferase family protein			SZUA-1058_16:772..2313	Glycine betaine methyltransferase	K14083	K14083		K14083	K14083
Candidatus_sp_SZUA-1058|SZUA-1058_00044	K17735	[EC:1.1.1.108]	lcdH, cdhA	carnitine 3-dehydrogenase	05F35@bactNOG,0QKEP@gproNOG,16SUP@proNOG,COG0824@NOG,COG1250@NOG	Catalyzes the NAD( )-dependent oxidation of L-carnitine to 3-dehydrocarnitine (By similarity)			SZUA-1058_16:c(2310..2711)	L-carnitine dehydrogenase	K17735	K17735		K17735	K18612
Candidatus_sp_SZUA-1058|SZUA-1058_00045	K06217		phoH, phoL	phosphate starvation-inducible protein PhoH and related proteins	05C9A@bactNOG,0QIGA@gproNOG,16Q7B@proNOG,COG1702@NOG	PhoH family			SZUA-1058_17:1..915	PhoH-like protein	K06217	K06217	K06217	K06217	K06217
Candidatus_sp_SZUA-1058|SZUA-1058_00046	K00566	[EC:2.8.1.13]	mnmA, trmU	tRNA-uridine 2-sulfurtransferase	05CCJ@bactNOG,0QHU5@gproNOG,16R40@proNOG,COG0482@NOG	Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34 (By similarity)			SZUA-1058_17:915..2006	tRNA-specific 2-thiouridylase MnmA	K00566	K00566		K00566	K21027
Candidatus_sp_SZUA-1058|SZUA-1058_00047	K21821	[EC:1.13.11.48]	hod	3-hydroxy-2-methylquinolin-4-one 2,4-dioxygenase	01XXU@aproNOG,064SK@bactNOG,16SHN@proNOG,COG0596@NOG	Alpha beta hydrolase			SZUA-1058_18:99..887	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase	K21821				K21821
Candidatus_sp_SZUA-1058|SZUA-1058_00048	K05350	[EC:3.2.1.21]	bglB	beta-glucosidase	05CS2@bactNOG,0QJM7@gproNOG,16Q2D@proNOG,COG2723@NOG	beta-glucosidase EC 3.2.1.21			SZUA-1058_19:73..1185	Beta-glucosidase A	K05350	K05350		K05350	K20852
Candidatus_sp_SZUA-1058|SZUA-1058_00049	K18478	[EC:2.7.1.184]	yihV	sulfofructose kinase	08MGF@bactNOG,0QMH6@gproNOG,0YU6C@NOG,174EF@proNOG	Sugar Kinase			SZUA-1058_20:11..922	Sulfofructose kinase	K18478	K18478	K18478	K00846	
Candidatus_sp_SZUA-1058|SZUA-1058_00050	K00817	[EC:2.6.1.9]	hisC	histidinol-phosphate aminotransferase	05CIH@bactNOG,0QJU4@gproNOG,16QKB@proNOG,COG0079@NOG	imidazole acetol-phosphate transaminase			SZUA-1058_21:c(13..1074)	Histidinol-phosphate aminotransferase 2	K00817	K00817		K00817	K04720
Candidatus_sp_SZUA-1058|SZUA-1058_00051	K00941	[EC:2.7.1.49][EC:2.7.4.7]	thiD	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	05DWF@bactNOG,0QHSH@gproNOG,16RGN@proNOG,COG0351@NOG	Phosphomethylpyrimidine kinase			SZUA-1058_21:c(1071..1850)	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	K00941	K00941		K00941	K21219
Candidatus_sp_SZUA-1058|SZUA-1058_00052	K03673		dsbA	thiol:disulfide interchange protein DsbA	08Z33@bactNOG,0R8J7@gproNOG,17C8A@proNOG,COG0526@NOG	Thiol disulfide Interchange Protein			SZUA-1058_21:c(1854..2258)	Thiol:disulfide interchange protein DsbA	K03673	K03673		K03673	K13996
Candidatus_sp_SZUA-1058|SZUA-1058_00053	K01696	[EC:4.2.1.20]	trpB	tryptophan synthase beta chain	05CG0@bactNOG,0QIIF@gproNOG,16PN7@proNOG,COG0133@NOG	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine (By similarity)			SZUA-1058_22:36..1166	Tryptophan synthase beta chain	K01696	K01696		K01696	K16187
Candidatus_sp_SZUA-1058|SZUA-1058_00054	K04782	[EC:4.2.99.21]	pchB	isochorismate pyruvate lyase	08176@bactNOG,09GAB@bctoNOG,0FXSX@cytNOG,COG0251@NOG	endoribonuclease L-PSP			SZUA-1058_23:c(21..1472)	Protein tas	K04782			K04782	K09022
Candidatus_sp_SZUA-1058|SZUA-1058_00055	K03294		TC.APA	basic amino acid/polyamine antiporter, APA family	07THB@bactNOG,09CM4@bctoNOG,0FW3B@cytNOG,COG0531@NOG	amino acid			SZUA-1058_23:c(1475..2947)	Arginine/agmatine antiporter	K03294			K03294	K20971
Candidatus_sp_SZUA-1058|SZUA-1058_00056	K01468	[EC:3.5.2.7]	hutI, AMDHD1	imidazolonepropionase	07UZB@bactNOG,COG1228@NOG	amidohydrolase			SZUA-1058_24:70..1161	hypothetical protein	K01468				K01468
Candidatus_sp_SZUA-1058|SZUA-1058_00057	K12941		abgB	aminobenzoyl-glutamate utilization protein B	07SEZ@bactNOG,09B6Z@bctoNOG,1AHE2@sphNOG,COG1473@NOG	K12941 aminobenzoyl-glutamate utilization protein B			SZUA-1058_24:c(1183..2496)	p-aminobenzoyl-glutamate hydrolase subunit B	K12941	K12941		K12941	K21613
Candidatus_sp_SZUA-1058|SZUA-1058_00058	K03628		rho	transcription termination factor Rho	05C4P@bactNOG,0QJPU@gproNOG,16PGC@proNOG,COG1158@NOG	Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA-dependent ATPase activity, and release of the mRNA from the DNA template (By similarity)			SZUA-1058_25:c(881..2143)	Transcription termination factor Rho	K03628	K03628		K03628	K03628
Candidatus_sp_SZUA-1058|SZUA-1058_00059	K03671		trxA	thioredoxin 1	05K63@bactNOG,0QS7H@gproNOG,17FGI@proNOG,COG0526@NOG	Thioredoxin			SZUA-1058_25:c(2267..2593)	Thioredoxin 1	K03671	K03671		K03671	K13996
Candidatus_sp_SZUA-1058|SZUA-1058_00060									SZUA-1058_26:c(248..703)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00061	K01698	[EC:4.2.1.24]	hemB, ALAD	porphobilinogen synthase	05D52@bactNOG,0QJ3H@gproNOG,16PKY@proNOG,COG0113@NOG	delta-aminolevulinic acid dehydratase			SZUA-1058_26:c(765..1754)	Delta-aminolevulinic acid dehydratase	K01698	K01698	K01698	K01698	K01698
Candidatus_sp_SZUA-1058|SZUA-1058_00062	K03147	[EC:4.1.99.17]	thiC	phosphomethylpyrimidine synthase	05CBF@bactNOG,0QIKG@gproNOG,16Q2G@proNOG,COG0422@NOG	Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction (By similarity)			SZUA-1058_26:1793..3661	Phosphomethylpyrimidine synthase	K03147	K03147		K03147	K03147
Candidatus_sp_SZUA-1058|SZUA-1058_00063	K02527	[EC:2.4.99.12][EC:2.4.99.13][EC:2.4.99.14][EC:2.4.99.15]	kdtA, waaA	3-deoxy-D-manno-octulosonic-acid transferase	05D8A@bactNOG,0QIGJ@gproNOG,16Q3U@proNOG,COG1519@NOG	3-Deoxy-D-manno-octulosonic-acid transferase			SZUA-1058_26:c(3680..4939)	3-deoxy-D-manno-octulosonic acid transferase	K02527	K02527		K02527	K02527
Candidatus_sp_SZUA-1058|SZUA-1058_00064	K03979	[EC:3.6.5.-]	obgE, cgtA	GTPase	05C9R@bactNOG,0QI1P@gproNOG,16QDE@proNOG,COG0536@NOG	An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate. It may play a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control (By similarity)			SZUA-1058_26:5176..6192	GTPase Obg/CgtA	K03979	K03979		K03979	K03979
Candidatus_sp_SZUA-1058|SZUA-1058_00065	K00931	[EC:2.7.2.11]	proB	glutamate 5-kinase	05CGT@bactNOG,0QIM6@gproNOG,16PXA@proNOG,COG0263@NOG	Catalyzes the transfer of a phosphate group to glutamate to form glutamate 5-phosphate which rapidly cyclizes to 5- oxoproline (By similarity)			SZUA-1058_26:6182..6952	Glutamate 5-kinase	K00931	K00931		K00931	K00931
Candidatus_sp_SZUA-1058|SZUA-1058_00066	K00950	[EC:2.7.6.3]	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	05K8U@bactNOG,0QS91@gproNOG,17FWJ@proNOG,COG0801@NOG	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase			SZUA-1058_26:6946..7419	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	K00950	K00950		K00950	K13941
Candidatus_sp_SZUA-1058|SZUA-1058_00067	K01695	[EC:4.2.1.20]	trpA	tryptophan synthase alpha chain	05F6H@bactNOG,0QIQB@gproNOG,16Q50@proNOG,COG0159@NOG	The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate (By similarity)			SZUA-1058_27:c(558..1358)	Tryptophan synthase alpha chain	K01695	K01695		K00571	K01695
Candidatus_sp_SZUA-1058|SZUA-1058_00068	K01599	[EC:4.1.1.37]	hemE, UROD	uroporphyrinogen decarboxylase	05CFZ@bactNOG,0QISB@gproNOG,16QGF@proNOG,COG0407@NOG	Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III (By similarity)			SZUA-1058_27:c(1442..2488)	Uroporphyrinogen decarboxylase	K01599	K01599		K01599	K14082
Candidatus_sp_SZUA-1058|SZUA-1058_00069	K02909		RP-L31, rpmE	large subunit ribosomal protein L31	05VFB@bactNOG,0QVKH@gproNOG,17JSP@proNOG,COG0254@NOG	Binds the 23S rRNA (By similarity)			SZUA-1058_27:c(2599..2811)	50S ribosomal protein L31	K02909	K02909	K02909	K02909	K02909
Candidatus_sp_SZUA-1058|SZUA-1058_00070					0684Y@bactNOG,17RGQ@proNOG,COG5007@NOG	BolA-like protein			SZUA-1058_27:c(3011..3238)	Acid stress protein IbaG					
Candidatus_sp_SZUA-1058|SZUA-1058_00071	K03306		TC.PIT	inorganic phosphate transporter, PiT family	05CJ3@bactNOG,0QHYK@gproNOG,16PY3@proNOG,COG0306@NOG	phosphate transporter			SZUA-1058_27:c(3287..4555)	Sulfate permease CysP	K03306	K03306		K03306	K16331
Candidatus_sp_SZUA-1058|SZUA-1058_00072	K07220		K07220	uncharacterized protein	07IX6@bactNOG,0QJI2@gproNOG,1716G@proNOG,COG1392@NOG	phosphate transport regulator			SZUA-1058_27:c(4572..4919)	hypothetical protein	K07220	K07220		K07220	K07220
Candidatus_sp_SZUA-1058|SZUA-1058_00073	K00560	[EC:2.1.1.45]	thyA, TYMS	thymidylate synthase	05C0V@bactNOG,0QI3X@gproNOG,16R55@proNOG,COG0207@NOG	Provides the sole de novo source of dTMP for DNA biosynthesis (By similarity)			SZUA-1058_28:100..627	Thymidylate synthase	K00560	K00560		K00560	K00560
Candidatus_sp_SZUA-1058|SZUA-1058_00074	K03685	[EC:3.1.26.3]	rnc, DROSHA, RNT1	ribonuclease III	08ZBM@bactNOG,0QHV5@gproNOG,16Q36@proNOG,COG0571@NOG	Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Also processes some mRNAs, and tRNAs when they are encoded in the rRNA operon (By similarity)			SZUA-1058_28:634..1299	Ribonuclease 3	K03685	K03685		K03685	K03685
Candidatus_sp_SZUA-1058|SZUA-1058_00075	K03595		era, ERAL1	GTPase	05CWT@bactNOG,0QJ6V@gproNOG,16PRE@proNOG,COG1159@NOG	An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism (By similarity)			SZUA-1058_28:1296..2180	GTPase Era	K03595	K03595		K03595	K03595
Candidatus_sp_SZUA-1058|SZUA-1058_00076	K03584		recO	DNA repair protein RecO (recombination protein O)	071DT@bactNOG,0QIIM@gproNOG,16PV2@proNOG,COG1381@NOG	Involved in DNA repair and RecF pathway recombination (By similarity)			SZUA-1058_28:2173..2859	DNA repair protein RecO	K03584	K03584		K03584	K03584
Candidatus_sp_SZUA-1058|SZUA-1058_00077	K03474	[EC:2.6.99.2]	pdxJ	pyridoxine 5-phosphate synthase	05CSZ@bactNOG,0QJ0T@gproNOG,16QC3@proNOG,COG0854@NOG	Catalyzes the complicated ring closure reaction between the two acyclic compounds 1-deoxy-D-xylulose-5-phosphate (DXP) and 3-amino-2-oxopropyl phosphate (1-amino-acetone-3-phosphate or AAP) to form pyridoxine 5'-phosphate (PNP) and inorganic phosphate (By similarity)			SZUA-1058_28:2869..3600	Pyridoxine 5'-phosphate synthase	K03474	K03474		K03474	K03474
Candidatus_sp_SZUA-1058|SZUA-1058_00078	K01997		livH	branched-chain amino acid transport system permease protein	01R01@aproNOG,05HAI@bactNOG,16TAV@proNOG,COG0559@NOG	Branched-chain amino acid ABC transporter (Permease protein)			SZUA-1058_29:126..518	High-affinity branched-chain amino acid transport system permease protein LivH	K01997			K01997	K11960
