#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00001	K03892		arsR	ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor	00P00@actNOG,05NK3@bactNOG,COG0640@NOG	transcriptional regulator, ArsR family			SZUA-1093_1:1101..1487	HTH-type transcriptional repressor CzrA	K03892			K03892	K22043
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00012	K01992		ABC-2.P	ABC-2 type transport system permease protein	07XWW@bactNOG,0D2EB@chloNOG,0G7EU@dehNOG,COG0842@NOG	ABC transporter, permease protein			SZUA-1093_1:c(6778..7857)	putative multidrug ABC transporter permease YbhR	K01992	K01992		K01992	K21397
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00013	K01990		ABC-2.A	ABC-2 type transport system ATP-binding protein	00DUJ@actNOG,05DA5@bactNOG,COG1131@NOG	abc transporter			SZUA-1093_1:c(7913..8845)	Fluoroquinolones export ATP-binding protein	K01990	K01990	K01990	K01990	K21397
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00014					08RFF@bactNOG,0QZ90@gproNOG,17BYX@proNOG,COG4636@NOG	Pfam:DUF820			SZUA-1093_1:c(8838..9392)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00015									SZUA-1093_1:c(9402..9914)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00016					08YYJ@bactNOG,0R2C5@gproNOG,11N41@NOG,17C4B@proNOG				SZUA-1093_1:10162..10317	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00017					01Y22@aproNOG,08YYJ@bactNOG,11N41@NOG,17C4B@proNOG	SnoaL-like polyketide cyclase			SZUA-1093_1:10318..10575	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00018	K00147	[EC:1.2.1.41]	proA	glutamate-5-semialdehyde dehydrogenase	05C2S@bactNOG,0D1RE@chloNOG,0G6S2@dehNOG,COG0014@NOG	Catalyzes the NADPH dependent reduction of L-gamma- glutamyl 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5-carboxylate (By similarity)			SZUA-1093_1:c(10751..12025)	Gamma-glutamyl phosphate reductase	K00147	K00147	K00147	K00147	K00147
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00019	K00931	[EC:2.7.2.11]	proB	glutamate 5-kinase	05CGT@bactNOG,0D1K3@chloNOG,0G73I@dehNOG,COG0263@NOG	Catalyzes the transfer of a phosphate group to glutamate to form glutamate 5-phosphate which rapidly cyclizes to 5- oxoproline (By similarity)			SZUA-1093_1:c(12129..13337)	Glutamate 5-kinase	K00931	K00931		K00931	K00931
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00020	K03979	[EC:3.6.5.-]	obgE, cgtA	GTPase	05C9R@bactNOG,0D1PX@chloNOG,0D77N@chlorNOG,COG0536@NOG	An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate (By similarity). It may play a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control			SZUA-1093_1:13768..15051	GTPase Obg	K03979	K03979		K03979	K03979
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00021	K00969	[EC:2.7.7.18]	nadD	nicotinate-nucleotide adenylyltransferase	08Z1W@bactNOG,0D2HQ@chloNOG,0G79V@dehNOG,COG1057@NOG	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD) (By similarity)			SZUA-1093_1:15042..15683	putative nicotinate-nucleotide adenylyltransferase	K00969	K00969	K00969	K00969	K00969
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00022									SZUA-1093_1:15781..15966	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00023					06IK7@bactNOG,0Y55S@NOG	Uncharacterised ArCR, COG2043			SZUA-1093_1:15967..16674	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00024	K03564	[EC:1.11.1.15]	BCP, PRXQ, DOT5	peroxiredoxin Q/BCP					SZUA-1093_1:16840..17037	hypothetical protein	K03564	K03564			
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00025					05PUJ@bactNOG,11Y4J@NOG	alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen			SZUA-1093_1:17200..17523	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00026					07SEH@bactNOG,0D49G@chloNOG,0XVSZ@NOG	fatty acid desaturase			SZUA-1093_1:18268..19380	NADPH-dependent stearoyl-CoA 9-desaturase					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00027	K21469	[EC:3.4.16.4]	pbp4b	serine-type D-Ala-D-Ala carboxypeptidase	01VYQ@aproNOG,05I6J@bactNOG,178SA@proNOG,COG1680@NOG	Beta-lactamase			SZUA-1093_1:c(19431..20468)	hypothetical protein	K21469				K21469
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00028									SZUA-1093_1:c(20496..20723)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00029									SZUA-1093_1:c(20842..20985)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00030	K01266	[EC:3.4.11.19]	dmpA, dap	D-aminopeptidase	05KXX@bactNOG,16QNJ@proNOG,COG3191@NOG	peptidase s58 dmpa			SZUA-1093_2:516..1586	putative aminopeptidase	K01266			K01266	K20750
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00031					05R6S@bactNOG,0D2J9@chloNOG,0G788@dehNOG,COG5495@NOG	Domain of unknown function (DUF2520)			SZUA-1093_2:1590..2495	Pyrroline-5-carboxylate reductase					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00032	K00606	[EC:2.1.2.11]	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	05CCG@bactNOG,0D1K7@chloNOG,0G6TW@dehNOG,COG0413@NOG	Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is tranferred onto alpha-ketoisovalerate to form ketopantoate (By similarity)			SZUA-1093_2:2550..3398	3-methyl-2-oxobutanoate hydroxymethyltransferase	K00606	K00606	K00606	K00606	K00606
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00033	K01426	[EC:3.5.1.4]	E3.5.1.4, amiE	amidase	01S9S@aproNOG,05DV0@bactNOG,16T78@proNOG,COG0154@NOG	amidase EC 3.5.1.4			SZUA-1093_2:3612..5036	Acylamidase	K01426	K01426		K01426	K21801
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00034									SZUA-1093_2:5134..5676	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00035									SZUA-1093_2:5673..6023	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00036	K17758	[EC:4.2.1.136]	nnr	ADP-dependent NAD(P)H-hydrate dehydratase	08570@bactNOG,12882@NOG	YjeF-related protein N-terminus			SZUA-1093_2:c(5959..6375)	NAD(P)H-hydrate epimerase	K17758			K17758	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00037	K02510	[EC:4.1.2.52]	hpaI, hpcH	4-hydroxy-2-oxoheptanedioate aldolase	05CNV@bactNOG,1C8VD@synNOG,COG3836@NOG	aldolase			SZUA-1093_2:c(6397..7146)	4-hydroxy-2-oxo-heptane-1,7-dioate aldolase	K02510	K02510		K01630	K12660
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00038					08ZCC@bactNOG,0F2N7@cloNOG,0P0KF@firmNOG,11NN1@NOG				SZUA-1093_2:7332..7808	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00039	K01259	[EC:3.4.11.5]	pip	proline iminopeptidase	05V80@bactNOG,COG0596@NOG	alpha beta hydrolase fold			SZUA-1093_2:8282..9124	3-oxoadipate enol-lactonase 2	K01259			K01259	K21821
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00040					0KSJ0@eurNOG,0WRHW@metNOG,10MMY@NOG,arCOG10131@arNOG				SZUA-1093_2:c(10267..11589)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00041									SZUA-1093_2:c(11620..11907)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00042	K00983	[EC:2.7.7.43]	neuA	N-acylneuraminate cytidylyltransferase	08WZB@bactNOG,17IA2@proNOG,COG1083@NOG	Acylneuraminate cytidylyltransferase			SZUA-1093_2:c(12124..12903)	hypothetical protein	K00983			K00983	K18431
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00043	K00681	[EC:2.3.2.2][EC:3.4.19.13]	ggt	gamma-glutamyltranspeptidase / glutathione hydrolase	05CFB@bactNOG,COG0405@NOG	Gamma-glutamyltranspeptidase (EC 2.3.2.2)			SZUA-1093_2:c(12947..14728)	Glutathione hydrolase-like YwrD proenzyme	K00681	K00681		K00681	K00681
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00044									SZUA-1093_2:14915..15118	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00045									SZUA-1093_2:15266..15373	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00046					07KR0@bactNOG,0Z6HJ@NOG	AvrBs3 and PthA family of transcription activator-like effector proteins			SZUA-1093_3:21..632	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00047									SZUA-1093_3:695..859	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00048									SZUA-1093_3:c(1407..2024)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00049	K01784	[EC:5.1.3.2]	galE, GALE	UDP-glucose 4-epimerase	08IAJ@bactNOG,1DM65@verNOG,1DPM0@verrNOG,COG0451@NOG	Polysaccharide biosynthesis protein			SZUA-1093_3:2695..3666	UDP-glucose 4-epimerase	K01784			K01784	K22025
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00050	K01426	[EC:3.5.1.4]	E3.5.1.4, amiE	amidase	01U3Q@aproNOG,05C3P@bactNOG,16PTH@proNOG,COG0154@NOG	amidase EC 3.5.1.4			SZUA-1093_3:c(3756..5315)	Amidase	K01426	K01426		K01426	K21801
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00051	K00303	[EC:1.5.3.1]	soxB	sarcosine oxidase, subunit beta	08IQ5@bactNOG,COG0665@NOG	fad dependent oxidoreductase			SZUA-1093_4:1018..2178	4-methylaminobutanoate oxidase (formaldehyde-forming)	K00303			K00303	K21061
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00052	K09022	[EC:3.5.99.10]	ridA, tdcF, RIDA	2-iminobutanoate/2-iminopropanoate deaminase	08ZCE@bactNOG,0D3CQ@chloNOG,COG0251@NOG	Inherit from bactNOG: endoribonuclease L-psp			SZUA-1093_4:c(2180..2647)	hypothetical protein	K09022				K09022
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00053									SZUA-1093_5:219..668	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00054									SZUA-1093_5:782..970	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00055	K02996		RP-S9, MRPS9, rpsI	small subunit ribosomal protein S9	08UJD@bactNOG,0ESEA@cloNOG,0NI53@firmNOG,COG0103@NOG	30S ribosomal protein S9			SZUA-1093_5:c(1327..1734)	30S ribosomal protein S9	K02996	K02996		K02996	K02996
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00056	K02871		RP-L13, MRPL13, rplM	large subunit ribosomal protein L13	08UM5@bactNOG,1CGFJ@therNOG,COG0102@NOG	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly (By similarity)			SZUA-1093_5:c(1748..2185)	50S ribosomal protein L13	K02871	K02871	K02871	K02871	K02872
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00057	K06173	[EC:5.4.99.12]	truA, PUS1	tRNA pseudouridine38-40 synthase	05DI7@bactNOG,0EPNA@cloNOG,0NEAB@firmNOG,COG0101@NOG	Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs (By similarity)			SZUA-1093_5:c(2175..2513)	tRNA pseudouridine synthase A	K06173	K06173		K06173	K15452
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00058	K02879		RP-L17, MRPL17, rplQ	large subunit ribosomal protein L17	08ZT0@bactNOG,0GEQY@delNOG,0HFIS@dproNOG,179QI@proNOG,COG0203@NOG	50S ribosomal protein L17			SZUA-1093_5:c(2969..3322)	50S ribosomal protein L17	K02879	K02879	K02879	K02879	K02879
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00059	K03040	[EC:2.7.7.6]	rpoA	DNA-directed RNA polymerase subunit alpha	05CTF@bactNOG,0D1GX@chloNOG,COG0202@NOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1093_5:c(3335..4390)	DNA-directed RNA polymerase subunit alpha	K03040	K03040		K03040	K03047
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00060	K02986		RP-S4, rpsD	small subunit ribosomal protein S4	05G6W@bactNOG,0EPMF@cloNOG,0ND8R@firmNOG,COG0522@NOG	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit (By similarity)			SZUA-1093_5:c(4416..5051)	30S ribosomal protein S4	K02986	K02986		K02986	K02997
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00061									SZUA-1093_5:c(5098..5886)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00062									SZUA-1093_6:1611..2264	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00063	K20882	[EC:2.8.3.24]	hadA	(R)-2-hydroxy-4-methylpentanoate CoA-transferase	00W37@actNOG,08MXC@bactNOG,COG1804@NOG	CoA-transferase family III			SZUA-1093_7:c(156..2600)	CoA-transferase/lyase DddD	K20882				K20882
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00064	K07095		K07095	uncharacterized protein	0KT3M@eurNOG,0WRWF@metNOG,COG0622@NOG,arCOG01141@arNOG	phosphodiesterase, mj0936 family			SZUA-1093_7:c(2760..3350)	Putative metallophosphoesterase MG207	K07095	K07095		K07095	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00065	K03649	[EC:3.2.2.28]	mug	double-stranded uracil-DNA glycosylase	08VCA@bactNOG,COG3663@NOG	G U mismatch-specific DNA glycosylase			SZUA-1093_7:3476..4024	G/U mismatch-specific DNA glycosylase	K03649	K03649	K20813	K03649	K20813
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00066	K01975	[EC:3.1.4.58]	thpR	RNA 2',3'-cyclic 3'-phosphodiesterase	05M7V@bactNOG,0D2T7@chloNOG,0G7AJ@dehNOG,COG1514@NOG	2-5 RNA ligase			SZUA-1093_7:4021..4605	RNA 2',3'-cyclic phosphodiesterase	K01975	K01975		K01975	K01975
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00067									SZUA-1093_7:c(4613..4909)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00068	K01714	[EC:4.3.3.7]	dapA	4-hydroxy-tetrahydrodipicolinate synthase	00BQN@actNOG,05CDP@bactNOG,COG0329@NOG	Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA) (By similarity)			SZUA-1093_8:471..1415	4-hydroxy-tetrahydrodipicolinate synthase	K01714	K01714		K01714	K21062
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00069					0KWUK@eurNOG,0WNWP@methaNOG,0XSQC@NOG,arCOG03561@arNOG,arCOG03611@arNOG	NHL repeat			SZUA-1093_8:c(1488..2519)	Serine/threonine-protein kinase PknD					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00070					07MZC@bactNOG,16TDW@proNOG,COG5267@NOG	Protein of unknown function (DUF1800)			SZUA-1093_8:c(2571..4004)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00071	K03556		malT	LuxR family transcriptional regulator, maltose regulon positive regulatory protein	061ZR@bactNOG,COG2909@NOG	Transcriptional regulator			SZUA-1093_8:c(4076..4510)	hypothetical protein	K03556	K03556		K03556	K21748
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00072					05D74@bactNOG,0GEZD@delNOG,0HG1K@dproNOG,0XVV6@NOG,175ZT@proNOG	hydrolase			SZUA-1093_8:4681..5655	Epoxide hydrolase A					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00073	K02510	[EC:4.1.2.52]	hpaI, hpcH	4-hydroxy-2-oxoheptanedioate aldolase	022BW@aproNOG,08YQD@bactNOG,17AV7@proNOG,COG3836@NOG	Aldolase			SZUA-1093_8:5841..6734	hypothetical protein	K02510			K02510	K12660
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00074									SZUA-1093_8:c(6839..7012)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00075	K16844	[EC:1.1.1.338]	comC	(2R)-3-sulfolactate dehydrogenase (NADP+)	05DG4@bactNOG,09C85@bctoNOG,0FVAY@cytNOG,COG2055@NOG	Malate dehydrogenase			SZUA-1093_8:7363..8439	putative oxidoreductase YjmC	K16844				K16844
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00076	K21835	[EC:1.1.98.5]	adf	secondary-alcohol dehydrogenase (coenzyme-F420)	00J9A@actNOG,08M8W@bactNOG,COG2141@NOG	Luciferase-like protein			SZUA-1093_8:8500..9576	Alkanal monooxygenase alpha chain	K21835				K21835
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00077									SZUA-1093_8:9623..10591	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00078	K01104	[EC:3.1.3.48]	E3.1.3.48	protein-tyrosine phosphatase	00NAR@actNOG,05M2Z@bactNOG,COG2365@NOG	protein tyrosine serine phosphatase			SZUA-1093_8:c(10616..11368)	Tyrosine-protein phosphatase	K01104			K01104	K18046
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00079	K00059	[EC:1.1.1.100]	fabG	3-oxoacyl-[acyl-carrier protein] reductase	05RGH@bactNOG,0D2A9@chloNOG,COG1028@NOG	Short-chain dehydrogenase reductase SDR			SZUA-1093_8:c(11458..12249)	(S)-1-Phenylethanol dehydrogenase	K00059	K00059		K00059	K21883
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00080	K01684	[EC:4.2.1.6]	dgoD	galactonate dehydratase	COG4948@NOG	mandelate racemase muconate lactonizing			SZUA-1093_8:c(12353..13495)	D-galactonate dehydratase	K01684	K01684		K01684	K21624
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00081	K01684	[EC:4.2.1.6]	dgoD	galactonate dehydratase	COG4948@NOG	mandelate racemase muconate lactonizing			SZUA-1093_8:c(13531..14676)	D-galactonate dehydratase	K01684	K01684		K01684	K21624
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00082									SZUA-1093_8:c(14801..14899)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00083	K02035		ABC.PE.S	peptide/nickel transport system substrate-binding protein					SZUA-1093_9:30..1340	hypothetical protein	K02035	K02035			
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00084	K02033		ABC.PE.P	peptide/nickel transport system permease protein	04RM5@bacNOG,05CJM@bactNOG,0NDD4@firmNOG,COG0601@NOG	ABC transporter (Permease			SZUA-1093_9:1455..2402	Dipeptide transport system permease protein DppB	K02033	K02033		K02033	K19227
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00085	K02034		ABC.PE.P1	peptide/nickel transport system permease protein	02DIY@aproNOG,05C2T@bactNOG,16RC6@proNOG,COG1173@NOG	)-transport system			SZUA-1093_9:2412..3392	Glutathione transport system permease protein GsiD	K02034	K02034		K02034	K19228
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00086									SZUA-1093_9:3590..3970	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00087									SZUA-1093_9:c(4128..4316)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00088	K01042	[EC:2.9.1.1]	selA	L-seryl-tRNA(Ser) seleniumtransferase	0KU5Z@eurNOG,0RGJC@halNOG,COG1921@NOG,arCOG07389@arNOG	L-seryl-tRNA selenium transferase			SZUA-1093_9:4592..5722	D-glucosaminate-6-phosphate ammonia lyase	K01042	K01042		K01042	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00089	K01246	[EC:3.2.2.20]	tag	DNA-3-methyladenine glycosylase I	08R3E@bactNOG,0GD9A@delNOG,0HEB3@dproNOG,177Q7@proNOG,COG2818@NOG	DNA-3-methyladenine glycosylase i			SZUA-1093_9:c(5772..6344)	DNA-3-methyladenine glycosylase 1	K01246	K01246		K01246	K01246
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00090	K00108	[EC:1.1.99.1]	betA, CHDH	choline dehydrogenase	00CMY@actNOG,05CZ6@bactNOG,COG2303@NOG	Choline dehydrogenase			SZUA-1093_9:6492..8039	Oxygen-dependent choline dehydrogenase	K00108	K00108		K00108	K21166
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00091	K00108	[EC:1.1.99.1]	betA, CHDH	choline dehydrogenase	00CMY@actNOG,05CZ6@bactNOG,COG2303@NOG	Choline dehydrogenase			SZUA-1093_9:8064..9584	Oxygen-dependent choline dehydrogenase	K00108			K00108	K21166
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00092									SZUA-1093_9:9678..9809	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00093					01QSU@aproNOG,05CD6@bactNOG,0XNWK@NOG,16PSM@proNOG	Protein of unknown function (DUF3179)			SZUA-1093_9:9832..10503	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00094	K06864		larE	pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase	05DVM@bactNOG,0D24H@chloNOG,COG1606@NOG	Asparagine synthase			SZUA-1093_10:c(584..1450)	Pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase	K06864	K06864	K06864	K06864	K06864
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00095					08M16@bactNOG,0F3HV@cloNOG,0P16A@firmNOG,0YNUQ@NOG	Male sterility protein			SZUA-1093_10:c(1551..2429)	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00096									SZUA-1093_10:c(2426..2773)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00097	K07138		K07138	uncharacterized protein	05E44@bactNOG,1C8KB@synNOG,COG2768@NOG	4Fe-4S ferredoxin iron-sulfur binding domain protein			SZUA-1093_10:c(2890..4311)	hypothetical protein	K07138	K07138		K07138	K07138
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00098					01QU0@aproNOG,05CZY@bactNOG,0XPD7@NOG,16QGS@proNOG				SZUA-1093_10:4485..5147	Virginiamycin B lyase					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00099	K18235	[EC:4.2.99.-]	vgb	virginiamycin B lyase	00E68@actNOG,05F9V@bactNOG,COG4257@NOG	Inactivates the type B streptogramin antibiotics by linearizing the lactone ring at the ester linkage, generating a free phenylglycine carboxylate and converting the threonyl moiety into 2-amino-butenoic acid (By similarity)			SZUA-1093_10:5258..5914	Virginiamycin B lyase	K18235			K18235	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00100									SZUA-1093_10:c(5917..6579)	hypothetical protein					
