#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00001	K00344	[EC:1.6.5.5]	qor, CRYZ	NADPH2:quinone reductase	05EE6@bactNOG,0D4HV@chloNOG,COG0604@NOG	Alcohol dehydrogenase zinc-binding domain protein			SZUA-1128_1:c(145..1113)	Quinone oxidoreductase 1	K00344	K00344		K00344	K21839
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00025					01SP0@aproNOG,05EN7@bactNOG,0Z5CX@NOG,174TT@proNOG	Major facilitator superfamily			SZUA-1128_10:c(5..1312)	putative MFS-type transporter YhjX					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00026									SZUA-1128_10:c(1989..2411)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00027									SZUA-1128_11:c(194..346)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00028					05N5D@bactNOG,0D3AB@chloNOG,COG3877@NOG	Protein of unknown function (DUF2089)			SZUA-1128_11:c(343..705)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00029	K09162	[EC:1.13.11.49]	cld	chlorite dismutase	07JTW@bactNOG,COG3253@NOG	chlorite dismutase			SZUA-1128_11:982..1677	hypothetical protein	K09162			K09162	K09162
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00030	K01681	[EC:4.2.1.3]	ACO, acnA	aconitate hydratase	1CBBF@thaNOG,COG1048@NOG,arCOG01697@arNOG	aconitate hydratase			SZUA-1128_11:c(1780..4056)	Aconitate hydratase A	K01681	K01681	K01681	K01681	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00031	K00528	[EC:1.18.1.2][EC:1.19.1.1]	fpr	ferredoxin/flavodoxin---NADP+ reductase	08Z4U@bactNOG,COG1146@NOG	Ferredoxin			SZUA-1128_11:c(4204..4473)	Ferredoxin 7Fe	K00528			K00528	K20449
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00032	K03718		asnC	Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA	08UNB@bactNOG,0D52K@chloNOG,COG1522@NOG	transcriptional regulator, AsnC family			SZUA-1128_11:c(4674..5114)	Regulatory protein AsnC	K03718	K03718		K03718	K15782
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00033									SZUA-1128_11:c(5178..5348)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00034									SZUA-1128_12:866..1357	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00035									SZUA-1128_13:c(67..906)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00036	K00549	[EC:2.1.1.14]	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	00C7D@actNOG,07QYE@bactNOG,COG0620@NOG	Catalyzes the transfer of a methyl group from 5- methyltetrahydrofolate to homocysteine resulting in methionine formation (By similarity)			SZUA-1128_13:c(998..2032)	2-hydroxypropyl-CoM lyase	K00549	K00549		K00549	K00549
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00037	K02341	[EC:2.7.7.7]	holB	DNA polymerase III subunit delta'	05FA2@bactNOG,0D2BH@chloNOG,COG0470@NOG	DNA polymerase III, delta prime subunit			SZUA-1128_14:20..394	hypothetical protein	K02341			K02341	K04801
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00038	K07451	[EC:3.1.21.-]	mcrA	5-methylcytosine-specific restriction enzyme A	05Q8M@bactNOG,0D2P5@chloNOG,0D6N0@chlorNOG,COG1403@NOG	HNH endonuclease			SZUA-1128_14:c(595..1200)	hypothetical protein	K07451				K07451
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00039									SZUA-1128_14:c(1485..1955)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00040	K19302	[EC:3.6.1.27]	bcrC	undecaprenyl-diphosphatase	00KJR@actNOG,082I8@bactNOG,COG0671@NOG	acidPPc			SZUA-1128_14:c(2105..2497)	Phosphatidylglycerophosphatase B	K19302	K19302		K19302	K19803
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00041									SZUA-1128_15:286..597	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00044									SZUA-1128_15:1794..2102	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00045	K19577		ydhP	MFS transporter, DHA1 family, inner membrane transport protein	00RFF@actNOG,07XZQ@bactNOG,COG2814@NOG	Major Facilitator Superfamily			SZUA-1128_15:2099..2998	Putative transporter AraJ	K19577			K19577	K19646
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00046	K05808		yhbH	putative sigma-54 modulation protein	07ZI3@bactNOG,0D2YT@chloNOG,0G7E6@dehNOG,COG1544@NOG	Ribosomal subunit interface protein			SZUA-1128_16:c(58..438)	Ribosome hibernation promotion factor	K05808			K05808	K05809
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00047	K09147		K09147	uncharacterized protein	0KTYR@eurNOG,COG2410@NOG,arCOG04409@arNOG	Protein of unknown function (DUF429)			SZUA-1128_16:c(688..1323)	hypothetical protein	K09147			K09147	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00048	K07588	[EC:2.7.-.-]	argK	LAO/AO transport system kinase	05DJT@bactNOG,0EPX4@cloNOG,0NEBG@firmNOG,COG1703@NOG	Lao ao transport system ATPase			SZUA-1128_16:c(1435..2415)	GTPase ArgK	K07588	K07588		K07588	K11942
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00049									SZUA-1128_17:56..496	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00050					05SGK@bactNOG,0NWY2@firmNOG,COG4102@NOG	Protein of unknown function (DUF1501)			SZUA-1128_17:c(937..2073)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00051					COG5267@NOG	Protein of unknown function (DUF1800)			SZUA-1128_17:c(2133..3536)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00052	K01338	[EC:3.4.21.53]	lon	ATP-dependent Lon protease	05DAN@bactNOG,0GB18@delNOG,0HBWW@dproNOG,16SV8@proNOG,COG1067@NOG	Peptidase S16, lon domain protein			SZUA-1128_18:50..931	Lon protease	K01338			K01338	K04770
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00053					08W19@bactNOG,0D38M@chloNOG,122TR@NOG	Inherit from bactNOG: H -ATPase, subunit H			SZUA-1128_18:c(1164..1592)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00054	K00954	[EC:2.7.7.3]	E2.7.7.3A, coaD, kdtB	pantetheine-phosphate adenylyltransferase	08ZEF@bactNOG,0D2NE@chloNOG,0G78X@dehNOG,COG0669@NOG	Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate (By similarity)			SZUA-1128_18:c(1722..2111)	Phosphopantetheine adenylyltransferase	K00954	K00954		K00954	K00954
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00055	K02986		RP-S4, rpsD	small subunit ribosomal protein S4	05G6W@bactNOG,0EPMF@cloNOG,0ND8R@firmNOG,COG0522@NOG	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit (By similarity)			SZUA-1128_19:c(561..1187)	30S ribosomal protein S4	K02986	K02986		K02986	K02997
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00056	K02948		RP-S11, MRPS11, rpsK	small subunit ribosomal protein S11	00IES@actNOG,08UHH@bactNOG,COG0100@NOG	Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome (By similarity)			SZUA-1128_19:c(1199..1582)	30S ribosomal protein S11	K02948	K02948		K02948	K02955
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00057	K02952		RP-S13, rpsM	small subunit ribosomal protein S13	08Z04@bactNOG,0D2G1@chloNOG,COG0099@NOG	Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits			SZUA-1128_19:c(1630..2022)	30S ribosomal protein S13	K02952	K02952		K02952	K02964
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00058	K00826	[EC:2.6.1.42]	E2.6.1.42, ilvE	branched-chain amino acid aminotransferase	COG0115@NOG	brancheD-chain amino acid aminotransferase			SZUA-1128_20:c(290..1204)	D-alanine aminotransferase	K00826	K00826		K00826	K03342
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00059					05ZUC@bactNOG,11XT1@NOG	carboxymuconolactone decarboxylase			SZUA-1128_20:c(1317..1622)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00060	K03546		sbcC, rad50	DNA repair protein SbcC/Rad50	07U3T@bactNOG,0D1PJ@chloNOG,0G6WT@dehNOG,COG0419@NOG	Inherit from chloNOG: SMC domain-containing protein			SZUA-1128_21:96..2684	Nuclease SbcCD subunit C	K03546	K03546		K03546	K19171
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00061					05GRK@bactNOG,0D4VU@chloNOG,0G7C2@dehNOG,11NHI@NOG	Acetyltransferase, GNAT family			SZUA-1128_21:2744..3226	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00062	K07005		K07005	uncharacterized protein	00K82@actNOG,0905P@bactNOG,11NHN@NOG	Pyridoxamine 5-phosphate			SZUA-1128_21:3256..3675	F420H(2)-dependent reductase	K07005			K07005	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00063	K07018		K07018	uncharacterized protein					SZUA-1128_22:70..249	hypothetical protein	K07018	K07018			
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00064									SZUA-1128_22:472..609	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00065	K03523		bioY	biotin transport system substrate-specific component	05VKD@bactNOG,COG1268@NOG	bioY protein			SZUA-1128_22:1156..1803	Biotin transporter BioY	K03523	K03523		K02014	K03523
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00066	K06919		K06919	putative DNA primase/helicase	05DKS@bactNOG,0ER8J@cloNOG,0NFI6@firmNOG,COG3378@NOG	Phage plasmid primase, P4 family			SZUA-1128_23:c(236..1093)	hypothetical protein	K06919			K06919	K06919
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00067									SZUA-1128_23:c(1199..1507)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00068									SZUA-1128_25:c(172..348)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00069	K02035		ABC.PE.S	peptide/nickel transport system substrate-binding protein	05DEF@bactNOG,0G9NT@deiNOG,COG0747@NOG	Extracellular solute-binding protein, family 5			SZUA-1128_25:c(401..2107)	Heme-binding protein A	K02035	K02035		K02035	K19226
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00070	K02034		ABC.PE.P1	peptide/nickel transport system permease protein	02DIY@aproNOG,05C2T@bactNOG,16RC6@proNOG,COG1173@NOG	)-transport system			SZUA-1128_25:c(2371..3258)	Glutathione transport system permease protein GsiD	K02034	K02034		K02034	K19228
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00071	K02033		ABC.PE.P	peptide/nickel transport system permease protein	05CJM@bactNOG,0D45Q@chloNOG,COG0601@NOG	binding-protein-dependent transport systems inner membrane component			SZUA-1128_25:c(3261..4178)	Glutathione transport system permease protein GsiC	K02033	K02033		K02033	K19227
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00072									SZUA-1128_26:c(942..1238)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00073									SZUA-1128_27:20..661	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00074	K21835	[EC:1.1.98.5]	adf	secondary-alcohol dehydrogenase (coenzyme-F420)	07YK2@bactNOG,COG2141@NOG	Luciferase-like monooxygenase			SZUA-1128_27:936..2114	Alkanal monooxygenase alpha chain	K21835				K21835
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00075	K00483	[EC:1.14.14.9]	hpaB	4-hydroxyphenylacetate 3-monooxygenase	04RQA@bacNOG,05EFA@bactNOG,0NDVV@firmNOG,COG2368@NOG	4-hydroxyphenylacetate 3-monooxygenase oxygenase			SZUA-1128_27:c(2173..2520)	4-hydroxyphenylacetate 3-monooxygenase oxygenase component	K00483	K00483		K00483	K21184
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00076					00CRC@actNOG,06T0V@bactNOG,0YIX1@NOG	Membrane			SZUA-1128_28:c(1161..2723)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00077	K09710		ybeB	ribosome-associated protein	05KEM@bactNOG,0D38J@chloNOG,COG0799@NOG	Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation (By similarity)			SZUA-1128_28:2966..3295	Ribosomal silencing factor RsfS	K09710	K09710	K09710	K09710	K09710
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00078	K00940	[EC:2.7.4.6]	ndk, NME	nucleoside-diphosphate kinase	02HJS@arcNOG,0KT13@eurNOG,COG0105@NOG,arCOG04313@arNOG	Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate (By similarity)			SZUA-1128_28:c(3352..3804)	Nucleoside diphosphate kinase	K00940	K00940		K00940	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00079	K01620	[EC:4.1.2.48]	ltaE	threonine aldolase	05C5W@bactNOG,0F4DY@cloNOG,0P2GG@firmNOG,COG2008@NOG	Aldolase			SZUA-1128_29:1..576	L-allo-threonine aldolase	K01620	K01620		K01620	K20801
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00080									SZUA-1128_29:648..815	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00081									SZUA-1128_29:876..1832	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00082					0Y1CB@NOG,arCOG05215@arNOG				SZUA-1128_30:13..384	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00083	K01802	[EC:5.2.1.8]	E5.2.1.8	peptidylprolyl isomerase	08V1T@bactNOG,0FNKB@cyaNOG,COG0545@NOG	Peptidyl-prolyl cis-trans isomerase			SZUA-1128_30:c(484..912)	FK506-binding protein	K01802			K01802	K03773
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00084									SZUA-1128_30:1053..1313	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00085					05G7J@bactNOG,0BM73@bproNOG,11RRD@NOG,17EBE@proNOG	Isochorismatase family			SZUA-1128_30:1492..2214	Maleamate amidohydrolase					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00086									SZUA-1128_30:2355..2543	30S ribosomal protein S21					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00087	K01561	[EC:3.8.1.3]	dehH	haloacetate dehalogenase	05EBM@bactNOG,0FM42@cyaNOG,COG0596@NOG	Hydrolase			SZUA-1128_31:12..560	Fluoroacetate dehalogenase	K01561	K01561		K01561	K21821
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00088					07ZXU@bactNOG,0GGPI@delNOG,0HHD0@dproNOG,16XAB@proNOG,COG2761@NOG	DsbA oxidoreductase			SZUA-1128_31:c(666..1103)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00089									SZUA-1128_31:c(1224..1460)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00090					00F55@actNOG,05F8Z@bactNOG,0XS2Y@NOG	Extradiol ring-cleavage dioxygenase, class III			SZUA-1128_31:c(1436..2503)	2,3-dihydroxyphenylpropionate/2, 3-dihydroxicinnamic acid 1,2-dioxygenase					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00091									SZUA-1128_31:c(2586..2771)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00092	K07219		K07219	putative molybdopterin biosynthesis protein	COG1910@NOG				SZUA-1128_32:8..838	hypothetical protein	K07219				K07219
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00093					01ZCR@aproNOG,05K9Z@bactNOG,11TUR@NOG,17FFP@proNOG	Conserved hypothetical protein (Lin0512_fam)			SZUA-1128_32:1057..1401	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00094	K15854	[EC:1.14.14.3]	luxB	alkanal monooxygenase beta chain	02066@aproNOG,05P87@bactNOG,120XD@NOG,17HNX@proNOG	Luciferase-like protein			SZUA-1128_33:12..1022	Limonene 1,2-monooxygenase	K15854			K15854	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00095	K07024	[EC:3.1.3.24]	SPP	sucrose-6-phosphatase&#160;	0667J@bactNOG,0FJJ2@cyaNOG,COG0561@NOG	Hydrolase			SZUA-1128_33:1133..1900	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE	K07024			K07024	K21064
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00096									SZUA-1128_34:109..795	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00097	K00759	[EC:2.4.2.7]	APRT, apt	adenine phosphoribosyltransferase	09003@bactNOG,1CGDY@therNOG,COG0503@NOG	Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis (By similarity)			SZUA-1128_34:c(953..1474)	Adenine phosphoribosyltransferase	K00759	K00759	K00759	K00759	K09685
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00098	K00330	[EC:1.6.5.3]	nuoA	NADH-quinone oxidoreductase subunit A	05KWU@bactNOG,0D2TZ@chloNOG,0D855@chlorNOG,COG0838@NOG	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)			SZUA-1128_35:c(111..494)	NAD(P)H-quinone oxidoreductase subunit 3	K00330			K00330	K05574
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00099	K07543	[EC:2.8.3.15]	bbsE	benzylsuccinate CoA-transferase BbsE subunit	00EE4@actNOG,05C04@bactNOG,COG1804@NOG	formyl-CoA transferase EC 2.8.3.16			SZUA-1128_35:786..2027	Succinyl-CoA--L-malate CoA-transferase beta subunit	K07543			K07543	K20882
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00100	K02428	[EC:3.6.1.66]	rdgB	XTP/dITP diphosphohydrolase	08V82@bactNOG,0D2GD@chloNOG,0G77B@dehNOG,COG0127@NOG	Pyrophosphatase that hydrolyzes non-canonical purine nucleotides such as XTP and ITP dITP to their respective monophosphate derivatives. Might exclude non-canonical purines from DNA precursor pool, thus preventing their incorporation into DNA and avoiding chromosomal lesions (By similarity)			SZUA-1128_35:2045..2836	dITP/XTP pyrophosphatase	K02428	K02428		K02428	K02428
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00101	K01537	[EC:3.6.3.8]	E3.6.3.8	Ca2+-transporting ATPase	05C52@bactNOG,0GAMC@delNOG,0HBVB@dproNOG,16PGS@proNOG,COG0474@NOG	ATPase, P-type (transporting), HAD superfamily, subfamily IC			SZUA-1128_36:138..380	Calcium-transporting ATPase	K01537			K01537	K14951
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00102	K07046	[EC:3.1.1.-]	K07046	L-fuconolactonase	07S7A@bactNOG,16RWY@proNOG,COG3618@NOG	amidohydrolase			SZUA-1128_36:c(805..1830)	hypothetical protein	K07046			K07046	K18982
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00103									SZUA-1128_36:c(1879..2196)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00104	K00108	[EC:1.1.99.1]	betA, CHDH	choline dehydrogenase	00CMY@actNOG,05CZ6@bactNOG,COG2303@NOG	Choline dehydrogenase			SZUA-1128_37:30..584	5-(hydroxymethyl)furfural oxidase	K00108			K00108	K21166
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00105					05Q2R@bactNOG,0QPV9@gproNOG,0XS2C@NOG,177SS@proNOG	Pfam:DUF1994			SZUA-1128_37:857..1600	hypothetical protein					
