#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00001					05GRK@bactNOG,11NHI@NOG	Gcn5-related n-acetyltransferase			SZUA-1123_1:101..577	Mycothiol acetyltransferase					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00012					088JC@bactNOG,0XSHD@NOG,1DH8B@verNOG,1DNMV@verrNOG	PQQ			SZUA-1123_1:14270..15727	Quinoprotein alcohol dehydrogenase (cytochrome c)					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00013	K07126		K07126	uncharacterized protein	05EUU@bactNOG,16RFM@proNOG,COG0790@NOG	Sel1 domain protein repeat-containing protein			SZUA-1123_1:15747..16340	Secretory immunoglobulin A-binding protein EsiB	K07126	K07126		K07126	K21217
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00014	K07047	[EC:3.5.1.91]	nfdA	N-substituted formamide deformylase	05EFZ@bactNOG,0QNMC@gproNOG,16SJR@proNOG,COG1574@NOG	amidohydrolase			SZUA-1123_1:16366..18072	N-substituted formamide deformylase	K07047			K07047	K07047
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00015	K10804	[EC:3.1.2.-][EC:3.1.1.5]	tesA	acyl-CoA thioesterase I	090N1@bactNOG,09EDX@bctoNOG,0FXV2@cytNOG,COG2755@NOG	Inherit from bctoNOG: Lipolytic protein g-D-S-l family			SZUA-1123_1:18125..18829	hypothetical protein	K10804				K10804
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00016									SZUA-1123_1:c(18977..20137)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00017					07JYP@bactNOG,0R66X@gproNOG,0ZPVF@NOG,18CWQ@proNOG				SZUA-1123_1:c(20451..20906)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00018					06QQJ@bactNOG,0YGKA@NOG,17ZTP@proNOG				SZUA-1123_1:c(20956..22095)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00019					06BGT@bactNOG,0Y273@NOG,17TZN@proNOG				SZUA-1123_1:c(22127..22966)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00020	K08307	[EC:4.2.2.-]	mltD, dniR	membrane-bound lytic murein transglycosylase D	05E9H@bactNOG,09AAM@bctoNOG,COG0741@NOG	transglycosylase			SZUA-1123_1:c(23078..23848)	putative endopeptidase p60	K08307			K08307	K08309
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00021	K07090		K07090	uncharacterized protein	05K9P@bactNOG,0QSRC@gproNOG,17CKU@proNOG,COG0730@NOG	Sulfite exporter TauE/SafE			SZUA-1123_1:c(23925..24644)	hypothetical protein	K07090	K07090		K07090	K07090
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00022	K18568	[EC:3.6.1.-]	thnR	CoA pyrophosphatase	08WN3@bactNOG,0R0CC@gproNOG,17BG1@proNOG,COG0494@NOG	Nudix hydrolase			SZUA-1123_1:24730..25425	hypothetical protein	K18568				K18568
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00023									SZUA-1123_1:25441..25611	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00024					08CCC@bactNOG,0XRZ9@NOG,16T4S@proNOG	dehydrogenase, reductase			SZUA-1123_1:c(25679..26479)	1-deoxy-11-beta-hydroxypentalenate dehydrogenase					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00025	K01692	[EC:4.2.1.17]	paaF, echA	enoyl-CoA hydratase	01SB7@aproNOG,05ZUZ@bactNOG,0XTHX@NOG,170GA@proNOG	Enoyl-CoA hydratase			SZUA-1123_1:26703..27512	Short-chain-enoyl-CoA hydratase	K01692			K01692	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00026					05U11@bactNOG,121EE@NOG,154T4@plaNOG				SZUA-1123_1:c(27539..28030)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00027					005ZZ@aciNOG,05D9A@bactNOG,0XPNR@NOG	Thiol-disulfide isomerase			SZUA-1123_1:28179..29885	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00028	K00504	[EC:1.14.17.3]	PAM, PHM	peptidylglycine monooxygenase	05F0B@bactNOG,0XSQC@NOG	NHL repeat containing protein			SZUA-1123_1:c(29971..31113)	hypothetical protein	K00504			K00504	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00029	K01736	[EC:4.2.3.5]	aroC	chorismate synthase	05D10@bactNOG,153Z5@plaNOG,COG0082@NOG	5-enolpyruvylshikimate-3-phosphate phospholyase			SZUA-1123_1:c(31150..32283)	Chorismate synthase	K01736	K01736		K01736	K01736
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00030	K07025		K07025	putative hydrolase of the HAD superfamily	00SSH@actNOG,08RXG@bactNOG,COG1011@NOG	HAD-superfamily hydrolase, subfamily IA			SZUA-1123_1:32526..33203	Alpha-D-glucose 1-phosphate phosphatase YihX	K07025			K07025	K21063
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00031									SZUA-1123_1:c(33239..33463)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00032					065IP@bactNOG,0R845@gproNOG,128EC@NOG,17NWQ@proNOG	Transglycosylase SLT domain			SZUA-1123_1:c(33624..34262)	Membrane-bound lytic murein transglycosylase F					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00033									SZUA-1123_1:c(34259..34438)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00034	K01061	[EC:3.1.1.45]	E3.1.1.45	carboxymethylenebutenolidase	0050H@aciNOG,05CDZ@bactNOG,COG0412@NOG	carboxymethylenebutenolidase (EC 3.1.1.45)			SZUA-1123_1:c(34428..35108)	Carboxymethylenebutenolidase	K01061	K01061		K01061	K01061
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00035					08H0U@bactNOG,09K9D@bctoNOG,0ZTCA@NOG				SZUA-1123_1:c(35201..36643)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00036									SZUA-1123_1:c(36654..36977)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00037					06QIE@bactNOG,0GM8R@delNOG,0HMGJ@dproNOG,0YI42@NOG,17ZPT@proNOG				SZUA-1123_1:c(37092..37943)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00038	K08178		JEN	MFS transporter, SHS family, lactate transporter	07RGD@bactNOG,0B83C@bproNOG,0ZVI6@NOG,16QVQ@proNOG	Major facilitator Superfamily			SZUA-1123_1:c(37900..39225)	Putative metabolite transport protein YjhB	K08178		K08178		
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00039									SZUA-1123_1:39586..39921	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00040									SZUA-1123_1:39937..40920	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00041	K01126	[EC:3.1.4.46]	E3.1.4.46, glpQ, ugpQ	glycerophosphoryl diester phosphodiesterase	004JS@aciNOG,08QXE@bactNOG,COG0584@NOG	glycerophosphoryl diester phosphodiesterase			SZUA-1123_1:c(40981..41979)	Glycerophosphodiester phosphodiesterase	K01126	K01126		K01126	K18696
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00042	K21478	[EC:3.5.1.-]	icaB	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase	05CQT@bactNOG,0QIZK@gproNOG,16Q67@proNOG,COG0726@NOG	Polysaccharide deacetylase			SZUA-1123_1:c(41993..42955)	Peptidoglycan deacetylase	K21478				K21478
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00043	K01303	[EC:3.4.19.1]	APEH	acylaminoacyl-peptidase	05DRY@bactNOG,COG1506@NOG	peptidase s9 prolyl oligopeptidase active site domain protein			SZUA-1123_1:c(42952..44988)	Dipeptidyl-peptidase 5	K01303		K01303	K01303	K01282
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00044	K19561	[EC:3.1.1.85]	bioJ	pimeloyl-[acyl-carrier protein] methyl ester esterase	0819P@bactNOG,155TJ@plaNOG,COG0657@NOG	alpha/beta hydrolase fold			SZUA-1123_1:c(45137..46006)	hypothetical protein	K19561				K19561
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00045	K17837	[EC:3.5.2.6]	bla2, blm, ccrA, blaB	metallo-beta-lactamase class B	01S3F@aproNOG,077BR@bactNOG,0XQNN@NOG,16SYT@proNOG	metallo-beta-lactamase family			SZUA-1123_1:c(46098..47162)	Metallo-beta-lactamase type 2	K17837			K17837	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00046									SZUA-1123_1:c(47184..47945)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00047	K00117	[EC:1.1.5.2]	gcd	quinoprotein glucose dehydrogenase	05DZG@bactNOG,16RK0@proNOG,COG4993@NOG	Dehydrogenase			SZUA-1123_1:48062..50107	Quinoprotein glucose dehydrogenase	K00117	K00117		K00117	K20937
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00048	K01239	[EC:3.2.2.1]	iunH	purine nucleosidase	005TM@aciNOG,05DU0@bactNOG,COG1957@NOG	inosine uridine-preferring nucleoside hydrolase			SZUA-1123_1:50232..51197	Pyrimidine-specific ribonucleoside hydrolase RihB	K01239			K01239	K12700
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00049	K18013	[EC:2.3.1.247]	kce	3-keto-5-aminohexanoate cleavage enzyme	01QIX@aproNOG,05DE9@bactNOG,16PM0@proNOG,COG3246@NOG	Prokaryotic protein of unknown function (DUF849)			SZUA-1123_1:c(51207..52091)	3-keto-5-aminohexanoate cleavage enzyme	K18013			K18013	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00050					01UXB@aproNOG,08MA0@bactNOG,10MMY@NOG,176PA@proNOG	Inherit from proNOG: Thiol-disulfide oxidoreductase domain protein			SZUA-1123_1:52282..53943	Thiol-disulfide oxidoreductase ResA					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00051					01ZI8@aproNOG,05NMX@bactNOG,11WTB@NOG,17HA7@proNOG				SZUA-1123_1:54239..54526	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00052					01ZI8@aproNOG,05NMX@bactNOG,11WTB@NOG,17HA7@proNOG				SZUA-1123_1:54548..54778	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00053	K03307		TC.SSS	solute:Na+ symporter, SSS family	07R7K@bactNOG,0EPR5@cloNOG,0NE51@firmNOG,COG0591@NOG	symporter			SZUA-1123_1:54927..56483	Osmoregulated proline transporter OpuE	K03307			K03307	K20989
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00054	K07516	[EC:1.1.1.35]	fadN	3-hydroxyacyl-CoA dehydrogenase	01QDJ@aproNOG,05DYT@bactNOG,16PTX@proNOG,COG1024@NOG,COG1250@NOG	3-hydroxyacyl-COA dehydrogenase			SZUA-1123_1:56604..58712	Fatty acid oxidation complex subunit alpha	K07516	K07516	K07516	K00074	K18612
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00055	K03299		TC.GNTP	gluconate:H+ symporter, GntP family	05C6Z@bactNOG,0EQVY@cloNOG,0NDDE@firmNOG,COG2610@NOG	Gluconate			SZUA-1123_1:58914..60260	Gnt-II system L-idonate transporter	K03299	K03299		K03299	K16321
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00056									SZUA-1123_1:c(60400..60834)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00057	K00117	[EC:1.1.5.2]	gcd	quinoprotein glucose dehydrogenase	05DZG@bactNOG,16RK0@proNOG,COG4993@NOG	Dehydrogenase			SZUA-1123_1:c(60881..61915)	Quinate/shikimate dehydrogenase (quinone)	K00117	K00117		K00117	K20937
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00058	K00117	[EC:1.1.5.2]	gcd	quinoprotein glucose dehydrogenase	05DZG@bactNOG,16RK0@proNOG,COG3245@NOG,COG4993@NOG	Cytochrome			SZUA-1123_1:c(61893..62792)	Quinate/shikimate dehydrogenase (quinone)	K00117	K00117		K00117	K20937
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00059	K18897	[EC:2.1.1.157]	sdmt	sarcosine/dimethylglycine N-methyltransferase	07YCH@bactNOG,0GHTP@delNOG,0HI6A@dproNOG,16T36@proNOG,COG0500@NOG	methyltransferase, type 11			SZUA-1123_1:c(62789..63637)	2-methyl-6-phytyl-1,4-hydroquinone methyltransferase	K18897			K18897	K21377
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00060					00WJ8@actNOG,08MA0@bactNOG,10MMY@NOG				SZUA-1123_1:63658..64866	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00061					05NMX@bactNOG,11WTB@NOG,17HA7@proNOG				SZUA-1123_1:65006..65317	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00062	K22373	[EC:5.1.2.1]	larA	lactate racemase	00F23@actNOG,05QUH@bactNOG,COG3875@NOG	Domain of unknown function (DUF2088)			SZUA-1123_1:65900..67174	Lactate racemase	K22373		K22373		
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00063	K21469	[EC:3.4.16.4]	pbp4b	serine-type D-Ala-D-Ala carboxypeptidase	080C3@bactNOG,09SRM@bctoNOG,0PF1Q@flaNOG,COG1680@NOG	Beta-lactamase			SZUA-1123_1:67378..68742	Penicillin-binding protein 4*	K21469				K21469
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00064	K00547	[EC:2.1.1.10]	mmuM, BHMT2	homocysteine S-methyltransferase	01UA0@aproNOG,07QK5@bactNOG,16PFP@proNOG,COG2040@NOG	homocysteine S-methyltransferase			SZUA-1123_1:68749..69666	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase	K00547			K00547	K21169
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00065	K03451		TC.BCT	betaine/carnitine transporter, BCCT family	05C94@bactNOG,0QJ6G@gproNOG,16PBM@proNOG,COG1292@NOG	transporter			SZUA-1123_1:c(69695..71194)	L-carnitine/gamma-butyrobetaine antiporter	K03451	K03451		K03451	K05245
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00066					08QC3@bactNOG,09SI9@bctoNOG,0XP7R@NOG	BNR/Asp-box repeat			SZUA-1123_1:c(71215..74259)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00067					005ZZ@aciNOG,05D9A@bactNOG,0XPNR@NOG	Thiol-disulfide isomerase			SZUA-1123_1:c(74481..75752)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00068	K00249	[EC:1.3.8.7]	ACADM, acd	acyl-CoA dehydrogenase	05C9H@bactNOG,0XNTS@NOG	acyl-CoA dehydrogenase			SZUA-1123_1:76110..77345	(R)-benzylsuccinyl-CoA dehydrogenase	K00249	K00249	K11729	K00249	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00069	K00626	[EC:2.3.1.9]	E2.3.1.9, atoB	acetyl-CoA C-acetyltransferase	01QDE@aproNOG,05CHU@bactNOG,16PGG@proNOG,COG0183@NOG	Beta-ketoadipyl CoA thiolase			SZUA-1123_1:77409..78590	3-ketoacyl-CoA thiolase	K00626	K00626		K00626	K07823
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00070	K06979		mph	macrolide phosphotransferase	0736V@bactNOG,09AR1@bctoNOG,COG3173@NOG	Aminoglycoside phosphotransferase			SZUA-1123_1:78602..79657	hypothetical protein	K06979				K06979
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00071					07NFK@bactNOG,0ZSXW@NOG,1DKU2@verNOG				SZUA-1123_1:c(79731..80063)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00072	K08081	[EC:1.1.1.206]	TR1	tropinone reductase I	01SSN@aproNOG,07ZQV@bactNOG,0XPR5@NOG,16RIR@proNOG	short-chain dehydrogenase reductase			SZUA-1123_1:c(80239..81024)	7-alpha-hydroxysteroid dehydrogenase	K08081			K08081	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00073	K01607	[EC:4.1.1.44]	pcaC	4-carboxymuconolactone decarboxylase	01YQD@aproNOG,08XJS@bactNOG,11SFK@NOG,17BX7@proNOG	carboxymuconolactone decarboxylase			SZUA-1123_1:81176..81748	hypothetical protein	K01607	K01607		K01607	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00074	K00248	[EC:1.3.8.1]	ACADS, bcd	butyryl-CoA dehydrogenase	01WRF@aproNOG,07YG3@bactNOG,1756P@proNOG,COG1960@NOG	acyl-CoA dehydrogenase			SZUA-1123_1:c(81752..82912)	Acryloyl-CoA reductase (NADH)	K00248			K00248	K22027
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00075	K01607	[EC:4.1.1.44]	pcaC	4-carboxymuconolactone decarboxylase	08UWZ@bactNOG,0BE0D@bproNOG,17A2T@proNOG,COG0599@NOG	4-carboxymuconolactone decarboxylase			SZUA-1123_1:82997..83407	hypothetical protein	K01607	K01607		K01055	K14727
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00076	K06902		UMF1	MFS transporter, UMF1 family	07T24@bactNOG,099J1@bctoNOG,COG2270@NOG	Major Facilitator Superfamily			SZUA-1123_1:c(83471..84772)	hypothetical protein	K06902	K06902		K06902	K19578
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00077	K15634	[EC:5.4.2.12]	gpmB	probable phosphoglycerate mutase	05CVJ@bactNOG,0G8JJ@deiNOG,COG0406@NOG	Phosphoglycerate mutase			SZUA-1123_1:84974..85570	Glucosyl-3-phosphoglycerate phosphatase	K15634	K15634		K02226	K20581
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00078					05ZN9@bactNOG,11SSY@NOG				SZUA-1123_1:85744..86214	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00079					07FVP@bactNOG,0Y9RY@NOG				SZUA-1123_1:c(86372..87871)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00080	K07282		capA, pgsA	gamma-polyglutamate biosynthesis protein CapA	022J2@aproNOG,05PNM@bactNOG,16RW6@proNOG,COG2843@NOG	Capsule synthesis protein			SZUA-1123_1:88152..89543	Capsule biosynthesis protein CapA	K07282			K07282	K07282
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00081									SZUA-1123_1:c(89679..90137)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00082	K19339		nosR	NosR/NirI family transcriptional regulator, nitrous oxide reductase regulator	05HEE@bactNOG,0B95J@bproNOG,16SR7@proNOG,COG0348@NOG,COG3901@NOG	FMN-binding domain protein			SZUA-1123_1:90355..90873	Electron transport complex subunit RsxG	K19339			K19339	K19343
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00083	K19339		nosR	NosR/NirI family transcriptional regulator, nitrous oxide reductase regulator	01RPI@aproNOG,05HEE@bactNOG,16SR7@proNOG,COG0348@NOG,COG3901@NOG	FMN-binding domain protein			SZUA-1123_1:90870..91883	Putative electron transport protein YccM	K19339	K19339		K19339	K19343
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00084									SZUA-1123_1:92191..92436	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00085					05DI0@bactNOG,0XNYJ@NOG	Tat (Twin-arginine translocation) pathway signal sequence domain protein			SZUA-1123_1:c(92631..93950)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00086									SZUA-1123_2:c(404..1228)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00087	K19561	[EC:3.1.1.85]	bioJ	pimeloyl-[acyl-carrier protein] methyl ester esterase	08QZM@bactNOG,0D36A@chloNOG,0D84Y@chlorNOG,COG0657@NOG	Carboxylesterase family			SZUA-1123_2:1436..2653	Carboxylesterase NlhH	K19561				K19561
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00088					05DN2@bactNOG,09EX0@bctoNOG,0XQ3J@NOG	Inherit from bactNOG: repeat protein			SZUA-1123_2:2741..4291	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00089	K00852	[EC:2.7.1.15]	rbsK, RBKS	ribokinase	08RVA@bactNOG,0QIG5@gproNOG,16PNU@proNOG,COG0524@NOG	ribokinase (EC 2.7.1.15)			SZUA-1123_2:4409..5329	Ribokinase	K00852	K00852	K00852	K00852	K21621
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00090					05PEU@bactNOG,0FPRC@cyaNOG,0XQ2H@NOG	Inherit from bactNOG: Gcn5-related n-acetyltransferase			SZUA-1123_2:c(5703..6674)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00091	K16173	[EC:1.3.99.32]	acd	glutaryl-CoA dehydrogenase (non-decarboxylating)	04T46@bacNOG,05C1G@bactNOG,0ND7R@firmNOG,COG1960@NOG	acyl-CoA dehydrogenase			SZUA-1123_2:6950..8131	Acyl-CoA dehydrogenase	K16173			K16173	K22027
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00092					05Z5Y@bactNOG,0GGV0@delNOG,0HHJQ@dproNOG,123T1@NOG,17PZK@proNOG				SZUA-1123_2:c(8225..8749)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00093					0KTU9@eurNOG,0WMN8@methaNOG,COG0432@NOG,arCOG04214@arNOG	Uncharacterised protein family UPF0047			SZUA-1123_2:8808..9224	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00094	K07263	[EC:3.4.24.-]	pqqL	zinc protease	05C1V@bactNOG,0GCK5@delNOG,0HCED@dproNOG,16RHY@proNOG,COG0612@NOG	peptidase			SZUA-1123_2:9435..10757	putative zinc protease	K07263			K07263	K07263
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00095	K07263	[EC:3.4.24.-]	pqqL	zinc protease	05C1V@bactNOG,1DJTE@verNOG,COG0612@NOG	Peptidase M16 domain protein			SZUA-1123_2:10754..12133	putative zinc protease	K07263			K07263	K07263
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00096	K00001	[EC:1.1.1.1]	E1.1.1.1, adh	alcohol dehydrogenase	05CB2@bactNOG,COG0604@NOG	alcohol dehydrogenase			SZUA-1123_2:12134..13150	Crotonyl-CoA reductase	K00001		K00001	K13955	K21839
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00097									SZUA-1123_2:13238..13441	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00098					0037F@aciNOG,08QWI@bactNOG,101T1@NOG	Uncharacterized conserved protein (DUF2048)			SZUA-1123_2:c(13530..14540)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00099	K21147	[EC:2.7.7.80][EC:2.7.7.-][EC:2.8.1.11][EC:2.8.1.-]	moeZR, moeBR	sulfur-carrier protein adenylyltransferase/sulfurtransferase	05MGE@bactNOG,0GI3R@delNOG,0HJII@dproNOG,17I4E@proNOG,COG0607@NOG	domain protein			SZUA-1123_2:14644..15108	Thiosulfate sulfurtransferase GlpE	K21147				K21147
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00100	K02433	[EC:6.3.5.6][EC:6.3.5.7]	gatA, QRSL1	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A	05C3P@bactNOG,0B83K@bproNOG,16R93@proNOG,COG0154@NOG	amidase (EC 3.5.1.4			SZUA-1123_2:c(15303..16655)	Putative amidase AmiD	K02433	K02433		K01426	K21801
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00101									SZUA-1123_2:c(16652..16849)	hypothetical protein					
