#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00001	K01265	[EC:3.4.11.18]	map	methionyl aminopeptidase	05CA1@bactNOG,0QICC@gproNOG,16PNP@proNOG,COG0024@NOG	Removes the N-terminal methionine from nascent proteins (By similarity)			SZUA-1235_1:c(428..1207)	Methionine aminopeptidase	K01265	K01265		K01265	K14813
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00012									SZUA-1235_3:2734..3588	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00013									SZUA-1235_3:3530..3685	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00014	K17222		soxA	sulfur-oxidizing protein SoxA	05QN4@bactNOG,0QJ0Q@gproNOG,0XSDE@NOG,16SPB@proNOG	Sulfur oxidation			SZUA-1235_3:c(3756..4586)	SoxAX cytochrome complex subunit A	K17222	K17222		K17222	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00015	K17227		soxZ	sulfur-oxidizing protein SoxZ	06001@bactNOG,0QWJ0@gproNOG,127MW@NOG,17NZY@proNOG	Sulfur oxidation protein			SZUA-1235_3:c(4638..4949)	hypothetical protein	K17227	K17227		K17227	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00016	K17226		soxY	sulfur-oxidizing protein SoxY	05GAC@bactNOG,0QTTR@gproNOG,17CAK@proNOG,COG5501@NOG	Sulfur oxidation protein			SZUA-1235_3:c(4984..5436)	hypothetical protein	K17226	K17226		K17226	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00017	K17223		soxX	sulfur-oxidizing protein SoxX	05WWQ@bactNOG,0D0Y5@chlNOG,12402@NOG	Sulfur oxidation			SZUA-1235_3:c(5482..5898)	hypothetical protein	K17223	K17223		K17223	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00018	K01423				05ERG@bactNOG,0QIHH@gproNOG,16Q1V@proNOG,COG4783@NOG	peptidase M48, Ste24p			SZUA-1235_3:c(6094..7545)	Beta-barrel assembly-enhancing protease	K01423	K01423			
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00019					05J03@bactNOG,0QN3K@gproNOG,0XSQB@NOG,179ZR@proNOG	VWA-like domain (DUF2201)			SZUA-1235_3:c(7593..8888)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00020	K09882	[EC:6.6.1.2]	cobS	cobaltochelatase CobS	05R55@bactNOG,0QNA1@gproNOG,16RZG@proNOG,COG0714@NOG	ATPase associated with various cellular activities			SZUA-1235_3:c(8898..9941)	hypothetical protein	K09882				K09882
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00021					06AV4@bactNOG,0QZ55@gproNOG,0Y109@NOG,17TKC@proNOG				SZUA-1235_3:10163..10360	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00022					060BD@bactNOG,0QXW6@gproNOG,11Y6U@NOG,17N5K@proNOG				SZUA-1235_3:c(10431..11000)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00023					08WAH@bactNOG,11KK3@NOG,17B8P@proNOG				SZUA-1235_3:11057..12106	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00024					08MDV@bactNOG,0QK7Z@gproNOG,0XSW6@NOG,174PA@proNOG	2OG-Fe(II) oxygenase			SZUA-1235_3:12103..12711	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00025	K00633	[EC:2.3.1.18]	lacA	galactoside O-acetyltransferase	05SUU@bactNOG,0QJWH@gproNOG,126DB@NOG,16SNN@proNOG	thioesterase domain-containing protein			SZUA-1235_3:12747..13148	Acetyltransferase	K00633			K00633	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00026									SZUA-1235_3:13145..13519	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00027					05ZGA@bactNOG,0QX68@gproNOG,127CP@NOG,17NFF@proNOG				SZUA-1235_3:c(13527..14093)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00028	K07336	[EC:1.14.11.-]	K07336	PKHD-type hydroxylase	07E2E@bactNOG,0QQB9@gproNOG,16S04@proNOG,COG3128@NOG	PKHD-type hydroxylase			SZUA-1235_3:14168..14845	PKHD-type hydroxylase	K07336	K07336		K07336	K07336
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00029					087B6@bactNOG,0GP5D@delNOG,0HP59@dproNOG,11EVQ@NOG,18BSA@proNOG	Rhodanese-like domain			SZUA-1235_3:c(15044..15451)	Sulfurtransferase					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00030					08XKQ@bactNOG,0QSVE@gproNOG,11IAD@NOG,17CPX@proNOG	Cas6 Crispr			SZUA-1235_3:c(15448..16137)	CRISPR-associated endonuclease Cas6					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00031					05MPT@bactNOG,0QV15@gproNOG,11VMK@NOG,17GKS@proNOG				SZUA-1235_3:c(16140..16856)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00032					06CR3@bactNOG,0QYIN@gproNOG,0XW0E@NOG,17RWF@proNOG				SZUA-1235_3:c(16853..17044)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00033					08RIP@bactNOG,0QRHJ@gproNOG,11G3A@NOG,17877@proNOG	taurine catabolism dioxygenase			SZUA-1235_3:c(17054..17959)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00034	K11180	[EC:1.8.99.5]	dsrA	dissimilatory sulfite reductase alpha subunit	05CY1@bactNOG,0QNI6@gproNOG,16QEI@proNOG,COG2221@NOG	sulfite reductase, dissimilatory-type alpha subunit			SZUA-1235_3:18441..19694	Sulfite reductase, dissimilatory-type subunit alpha	K11180	K11180		K11180	K21816
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00035	K11181	[EC:1.8.99.5]	dsrB	dissimilatory sulfite reductase beta subunit	05PJW@bactNOG,0QNPP@gproNOG,16TT2@proNOG,COG2221@NOG	sulfite reductase beta subunit			SZUA-1235_3:19806..20879	Sulfite reductase, dissimilatory-type subunit beta	K11181	K11181		K11181	K21816
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00036	K07235	[EC:2.8.1.-]	tusD, dsrE	tRNA 2-thiouridine synthesizing protein D	COG1553@NOG	Part of a sulfur-relay system required for 2-thiolation of 5-methylaminomethyl-2-thiouridine (mnm(5)s(2)U) at tRNA wobble positions. Accepts sulfur from TusA and transfers it in turn to TusE (By similarity)			SZUA-1235_3:20891..21283	Putative sulfurtransferase DsrE	K07235	K07235	K07235	K07235	K07235
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00037	K07236		tusC, dsrF	tRNA 2-thiouridine synthesizing protein C	08ZKU@bactNOG,0QS65@gproNOG,17D80@proNOG,COG2923@NOG	Part of a sulfur-relay system required for 2-thiolation of 5-methylaminomethyl-2-thiouridine (mnm(5)s(2)U) at tRNA wobble positions (By similarity)			SZUA-1235_3:21298..21693	Intracellular sulfur oxidation protein DsrF	K07236	K07236		K07236	K07236
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00038	K07237		tusB, dsrH	tRNA 2-thiouridine synthesizing protein B	082E1@bactNOG,0R8KA@gproNOG,122ET@NOG,16WVF@proNOG	DsrH protein			SZUA-1235_3:21705..22010	Protein TusB	K07237	K07237		K07237	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00039	K11179	[EC:2.8.1.-]	tusE, dsrC	tRNA 2-thiouridine synthesizing protein E	08Z0T@bactNOG,0QS2M@gproNOG,17CAQ@proNOG,COG2920@NOG	Part of a sulfur-relay system (By similarity)			SZUA-1235_3:22056..22388	Sulfurtransferase TusE	K11179	K11179	K11179	K11179	K11179
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00040	K00374	[EC:1.7.5.1][EC:1.7.99.-]	narI, narV	nitrate reductase gamma subunit	07EAK@bactNOG,0QM81@gproNOG,16S85@proNOG,COG2181@NOG	nitrate reductase, gamma subunit			SZUA-1235_3:22467..23249	hypothetical protein	K00374			K00374	K18500
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00041	K21834		dgcB	dimethylglycine catabolism B	07SP1@bactNOG,0QNRJ@gproNOG,16THT@proNOG,COG0247@NOG	Inherit from proNOG: reductase, iron-sulfur binding subunit			SZUA-1235_3:23252..24793	hypothetical protein	K21834				K21834
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00042	K00264	[EC:1.4.1.13][EC:1.4.1.14]	GLT1	glutamate synthase (NADPH/NADH)	0ITJR@euNOG,13G36@opiNOG,COG0493@NOG	Inherit from euNOG: Glutamate synthase			SZUA-1235_3:24841..26811	Glutamate synthase [NADPH] small chain	K00264			K00264	K20202
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00043					084QB@bactNOG,0QYY5@gproNOG,0ZXWN@NOG,16XEM@proNOG				SZUA-1235_3:26821..27336	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00044	K00184		K00184	prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit	05QA4@bactNOG,0QKUV@gproNOG,16QRY@proNOG,COG0437@NOG	Tetrathionate reductase, subunit B			SZUA-1235_3:27333..28088	Tetrathionate reductase subunit B	K00184	K00184		K00184	K21308
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00045	K00185		K00185	prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit	05F4Y@bactNOG,0QNEZ@gproNOG,0XRXW@NOG,16VM0@proNOG	Polysulphide reductase NrfD			SZUA-1235_3:28092..29303	hypothetical protein	K00185	K00185		K00185	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00046	K02224	[EC:6.3.5.9][EC:6.3.5.11]	cobB-cbiA	cobyrinic acid a,c-diamide synthase	05C0Y@bactNOG,0B8HR@bproNOG,16SF1@proNOG,COG1797@NOG	Catalyzes amidations at positions B, D, E, and G on adenosylcobyrinic A,C-diamide. NH(2) groups are provided by glutamine, and one molecule of ATP is hydrogenolyzed for each amidation (By similarity)			SZUA-1235_3:29514..30893	Cobyrinate a,c-diamide synthase	K02224	K02224		K02224	K22012
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00047	K13628		iscA	iron-sulfur cluster assembly protein	067B9@bactNOG,0QXCE@gproNOG,1299J@NOG,17P8X@proNOG	Iron-sulphur cluster biosynthesis			SZUA-1235_3:30890..31198	Iron-binding protein IscA	K13628			K13628	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00048					0906Q@bactNOG,0R125@gproNOG,11PV7@NOG,17D8F@proNOG				SZUA-1235_3:31213..32346	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00049	K00523	[EC:1.17.1.1]	ascD, ddhD, rfbI	CDP-4-dehydro-6-deoxyglucose reductase, E3	08QHY@bactNOG,0QRWK@gproNOG,16XPR@proNOG,COG0543@NOG	Ferredoxin			SZUA-1235_3:32346..33356	CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3- dehydrase reductase	K00523	K00523			K20256
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00050					07ENU@bactNOG,0ZHZ6@NOG,18A85@proNOG				SZUA-1235_3:33566..33865	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00051	K02030		ABC.PA.S	polar amino acid transport system substrate-binding protein	05BZU@bactNOG,0ENQX@cloNOG,0ND7U@firmNOG,0XNMH@NOG	Diguanylate cyclase			SZUA-1235_3:33930..35690	putative signaling protein	K02030			K02030	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00052	K05524		fdxA	ferredoxin	08Z4U@bactNOG,0QS2C@gproNOG,17CA3@proNOG,COG1146@NOG	Ferredoxin			SZUA-1235_3:c(35747..36070)	Ferredoxin 1	K05524	K05524		K05524	K20449
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00053	K03555		mutS	DNA mismatch repair protein MutS	05D86@bactNOG,0QJBY@gproNOG,16R17@proNOG,COG0249@NOG	that it carries out the mismatch recognition step. This protein has a weak ATPase activity (By similarity)			SZUA-1235_3:c(36070..38670)	DNA mismatch repair protein MutS	K03555	K03555	K03555	K03555	K03555
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00054	K14261	[EC:2.6.1.-]	alaC	alanine-synthesizing transaminase	05CHM@bactNOG,0QI54@gproNOG,16PJR@proNOG,COG0436@NOG	Aminotransferase			SZUA-1235_4:337..1530	Glutamate-pyruvate aminotransferase AlaC	K14261	K14261		K10206	K20615
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00055	K00003	[EC:1.1.1.3]	E1.1.1.3	homoserine dehydrogenase	05D6E@bactNOG,0QJIR@gproNOG,16Q19@proNOG,COG0460@NOG	homoserine dehydrogenase			SZUA-1235_4:1540..2853	Homoserine dehydrogenase	K00003	K00003		K00003	K12525
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00056					080DZ@bactNOG,0BBS2@bproNOG,179IT@proNOG,COG4255@NOG	signal peptide protein			SZUA-1235_4:2903..3973	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00057	K07462	[EC:3.1.-.-]	recJ	single-stranded-DNA-specific exonuclease	05C2R@bactNOG,0QIS0@gproNOG,16Q5C@proNOG,COG0608@NOG	single-stranded-DNA-specific exonuclease RecJ			SZUA-1235_4:3990..5717	Single-stranded-DNA-specific exonuclease RecJ	K07462	K07462	K07462	K07462	K07462
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00058	K02836		prfB	peptide chain release factor 2	05CG1@bactNOG,0QHXW@gproNOG,16PKF@proNOG,COG1186@NOG	Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA (By similarity)			SZUA-1235_4:5841..6905	Peptide chain release factor RF2	K02836	K02836	K02836	K02836	K15034
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00059	K04567	[EC:6.1.1.6]	KARS, lysS	lysyl-tRNA synthetase, class II	05CRK@bactNOG,0QIWM@gproNOG,16Q73@proNOG,COG1190@NOG	lysyl-tRNA synthetase			SZUA-1235_4:7027..8511	Lysine--tRNA ligase	K04567	K04567	K04567	K01874	K04567
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00060	K07052		K07052	uncharacterized protein	06DCX@bactNOG,0QYE6@gproNOG,0Y5BI@NOG,17V4C@proNOG	Abortive infection protein			SZUA-1235_4:8516..8944	hypothetical protein	K07052	K07052		K07052	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00061	K13924	[EC:2.1.1.80][EC:3.1.1.61]	cheBR	two-component system, chemotaxis family, CheB/CheR fusion protein	05BZU@bactNOG,0QIG1@gproNOG,16PBJ@proNOG,COG2199@NOG,COG2200@NOG	Diguanylate cyclase phosphodiesterase			SZUA-1235_4:c(9153..11393)	Cyclic di-GMP phosphodiesterase PdeB	K13924			K13924	K21973
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00062									SZUA-1235_4:c(11393..11602)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00063									SZUA-1235_4:c(11602..11832)	Putative sulfur carrier protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00064	K06980		ygfZ	tRNA-modifying protein YgfZ	06XY2@bactNOG,0QKJE@gproNOG,16TNF@proNOG,COG0354@NOG	Folate-binding protein involved in regulating the level of ATP-DnaA and in the modification of some tRNAs. It is probably a key factor in regulatory networks that act via tRNA modification, such as initiation of chromosomal replication (By similarity)			SZUA-1235_4:c(12009..12998)	tRNA-modifying protein YgfZ	K06980	K06980		K06980	K06980
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00065	K00241		sdhC, frdC	succinate dehydrogenase / fumarate reductase, cytochrome b subunit	08UTY@bactNOG,0QR9A@gproNOG,17A1W@proNOG,COG2009@NOG	Succinate dehydrogenase, cytochrome b556 subunit			SZUA-1235_4:13160..13540	Succinate dehydrogenase cytochrome b556 subunit	K00241	K00241		K00241	K00241
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00066	K00242		sdhD, frdD	succinate dehydrogenase / fumarate reductase, membrane anchor subunit	069QF@bactNOG,0QZ6H@gproNOG,0XUF4@NOG,17SW1@proNOG	succinate dehydrogenase, hydrophobic membrane anchor protein			SZUA-1235_4:13537..13869	Succinate dehydrogenase hydrophobic membrane anchor subunit	K00242	K00242		K00242	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00067	K00239	[EC:1.3.5.1][EC:1.3.5.4]	sdhA, frdA	succinate dehydrogenase / fumarate reductase, flavoprotein subunit	05C00@bactNOG,0QIMQ@gproNOG,16QPK@proNOG,COG1053@NOG	succinate dehydrogenase, flavoprotein subunit			SZUA-1235_4:13866..15626	Succinate dehydrogenase flavoprotein subunit	K00239	K00239		K00239	K18556
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00068	K00240	[EC:1.3.5.1][EC:1.3.5.4]	sdhB, frdB	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	05E33@bactNOG,0B8HM@bproNOG,16R1C@proNOG,COG0479@NOG	succinate dehydrogenase			SZUA-1235_4:15636..16331	Succinate dehydrogenase iron-sulfur subunit	K00240	K00240	K00240	K00239	K18557
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00069	K06801		CDH9	cadherin 9, type 2, T1-cadherin					SZUA-1235_4:16385..16585	FAD assembly factor SdhE	K06801	K06801			
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00070					08WZH@bactNOG,0BA96@bproNOG,0ZF1K@NOG,16VF9@proNOG	Peptidase family M48			SZUA-1235_4:16639..17712	Metalloprotease LoiP					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00071									SZUA-1235_4:17755..18276	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00072	K00278	[EC:1.4.3.16]	nadB	L-aspartate oxidase	08IYU@bactNOG,0RAVQ@gproNOG,1731R@proNOG,COG0029@NOG	l-aspartate oxidase			SZUA-1235_4:c(18389..20038)	L-aspartate oxidase	K00278	K00278		K00278	K00278
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00073	K03088		rpoE	RNA polymerase sigma-70 factor, ECF subfamily	05EMN@bactNOG,0QJ4Q@gproNOG,16Q9K@proNOG,COG1595@NOG	RNA polymerase sigma factor			SZUA-1235_4:20311..20898	ECF RNA polymerase sigma-E factor	K03088	K03088	K03088	K03088	K03088
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00074									SZUA-1235_5:68..205	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00075	K03596		lepA	GTP-binding protein LepA	05C4S@bactNOG,0QIQS@gproNOG,16PGF@proNOG,COG0481@NOG	Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back- translocation proceeds from a post-translocation (POST) complex to a pre-translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP-dependent manner (By similarity)			SZUA-1235_5:365..2161	Elongation factor 4	K03596	K03596	K03596	K03596	K03596
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00076	K03100	[EC:3.4.21.89]	lepB	signal peptidase I	05C3F@bactNOG,0QHXI@gproNOG,16PF2@proNOG,COG0681@NOG	Signal peptidase I			SZUA-1235_5:2175..2954	Signal peptidase I	K03100	K03100	K03100	K03100	K03100
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00077					060YM@bactNOG,0QX42@gproNOG,12BHA@NOG,17M0B@proNOG				SZUA-1235_5:2987..3364	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00078	K03685	[EC:3.1.26.3]	rnc, DROSHA, RNT1	ribonuclease III	08ZBM@bactNOG,0QHV5@gproNOG,16Q36@proNOG,COG0571@NOG	Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Also processes some mRNAs, and tRNAs when they are encoded in the rRNA operon (By similarity)			SZUA-1235_5:3361..4050	Ribonuclease 3	K03685	K03685		K03685	K03685
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00079	K03595		era, ERAL1	GTPase	05CWT@bactNOG,0QJ6V@gproNOG,16PRE@proNOG,COG1159@NOG	An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism (By similarity)			SZUA-1235_5:4043..4927	GTPase Era	K03595	K03595		K03595	K03595
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00080	K03584		recO	DNA repair protein RecO (recombination protein O)	071DT@bactNOG,0QIIM@gproNOG,16PV2@proNOG,COG1381@NOG	Involved in DNA repair and RecF pathway recombination (By similarity)			SZUA-1235_5:4928..5635	DNA repair protein RecO	K03584	K03584		K03584	K03584
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00081	K03474	[EC:2.6.99.2]	pdxJ	pyridoxine 5-phosphate synthase	05CSZ@bactNOG,0QJ0T@gproNOG,16QC3@proNOG,COG0854@NOG	Catalyzes the complicated ring closure reaction between the two acyclic compounds 1-deoxy-D-xylulose-5-phosphate (DXP) and 3-amino-2-oxopropyl phosphate (1-amino-acetone-3-phosphate or AAP) to form pyridoxine 5'-phosphate (PNP) and inorganic phosphate (By similarity)			SZUA-1235_5:5642..6373	Pyridoxine 5'-phosphate synthase	K03474	K03474	K03474	K03474	K03474
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00082									SZUA-1235_5:c(6445..6666)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00083					08KTY@bactNOG,0QMIX@gproNOG,176EJ@proNOG,COG1639@NOG	signal transduction protein			SZUA-1235_5:6879..7778	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00084	K01897	[EC:6.2.1.3]	ACSL, fadD	long-chain acyl-CoA synthetase	08IQE@bactNOG,0RAT3@gproNOG,172WK@proNOG,COG1022@NOG	Amp-dependent synthetase and ligase			SZUA-1235_5:c(7793..9628)	Long-chain-fatty-acid--CoA ligase FadD15	K01897	K01897		K01897	K01897
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00085	K01782	[EC:1.1.1.35][EC:4.2.1.17][EC:5.1.2.3]	fadJ	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase	05DYT@bactNOG,0QIEA@gproNOG,16PTX@proNOG,COG1024@NOG,COG1250@NOG	Catalyzes the formation of a hydroxyacyl-CoA by addition of water on enoyl-CoA. Also exhibits 3-hydroxyacyl-CoA epimerase and 3-hydroxyacyl-CoA dehydrogenase activities (By similarity)			SZUA-1235_5:c(9573..11606)	Fatty acid oxidation complex subunit alpha	K01782	K01782		K00074	K18612
