#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00001	K01622	[EC:4.1.2.13][EC:3.1.3.11]	K01622	fructose 1,6-bisphosphate aldolase/phosphatase	02F0N@aquNOG,07NFR@bactNOG,COG1980@NOG	Fructose-1,6-bisphosphatase			SZUA-1519_1:c(9..1154)	Fructose-1,6-bisphosphate aldolase/phosphatase	K01622	K01622		K01622	K01622
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00017	K01056	[EC:3.1.1.29]	PTH1, pth, spoVC	peptidyl-tRNA hydrolase, PTH1 family	02EWZ@aquNOG,08ZPD@bactNOG,COG0193@NOG	The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis (By similarity)			SZUA-1519_2:c(10001..10570)	Peptidyl-tRNA hydrolase	K01056	K01056		K01056	K01056
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00018	K03215	[EC:2.1.1.190]	rumA	23S rRNA (uracil1939-C5)-methyltransferase	02EQG@aquNOG,05BZT@bactNOG,COG2265@NOG	RNA methyltransferase, TrmA family			SZUA-1519_2:c(10563..11891)	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	K03215	K03215		K00557	K15331
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00019	K11473		glcF	glycolate oxidase iron-sulfur subunit	02EQ9@aquNOG,05CHG@bactNOG,COG0247@NOG	oxido reductase iron sulfur protein			SZUA-1519_3:935..2215	Lactate utilization protein A	K11473	K11473		K11473	K21834
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00021	K11065	[EC:1.11.1.15]	tpx	thiol peroxidase, atypical 2-Cys peroxiredoxin	02F26@aquNOG,08V1J@bactNOG,COG2077@NOG	Has antioxidant activity. Could remove peroxides or H(2)O(2) (By similarity)			SZUA-1519_3:2432..2944	Thiol peroxidase	K11065	K11065		K11065	K11065
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00022	K21137		triB	membrane fusion protein, multidrug efflux system	02FU9@aquNOG,08XHH@bactNOG,COG0845@NOG	Efflux transporter, RND family, MFP subunit			SZUA-1519_3:3076..4185	Macrolide export protein MacA	K21137				K21137
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00023	K05592	[EC:3.6.4.13]	deaD, cshA	ATP-dependent RNA helicase DeaD	02F1M@aquNOG,05C1J@bactNOG,COG0513@NOG	Dead deah box helicase domain protein			SZUA-1519_3:c(4220..5386)	DEAD-box ATP-dependent RNA helicase CshA	K05592	K05592	K13025	K05592	K18692
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00024	K06204		dksA	DnaK suppressor protein	02FT1@aquNOG,05NHS@bactNOG,COG1734@NOG	Transcriptional regulator, TraR DksA family			SZUA-1519_3:c(5508..5942)	General stress protein 16O	K06204			K06204	K06204
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00025	K07027		K07027	glycosyltransferase 2 family protein	02FNS@aquNOG,05ISR@bactNOG,COG0392@NOG	Uncharacterised protein family (UPF0104)			SZUA-1519_3:6080..6871	hypothetical protein	K07027	K07027		K07027	K20468
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00026	K18707	[EC:2.8.4.5]	mtaB	threonylcarbamoyladenosine tRNA methylthiotransferase MtaB	02EKP@aquNOG,05CIW@bactNOG,COG0621@NOG	MiaB-like tRNA modifying enzyme			SZUA-1519_3:c(6855..8108)	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB	K18707	K18707		K18707	K18707
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00027	K13993		HSP20	HSP20 family protein	02FJG@aquNOG,07ZGY@bactNOG,COG0071@NOG	Heat shock protein			SZUA-1519_3:8243..8689	Spore protein SP21	K13993	K13993		K13993	K13993
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00028	K03789	[EC:2.3.1.266]	rimI	[ribosomal protein S18]-alanine N-acetyltransferase	COG0456@NOG	acetyltransferase			SZUA-1519_3:c(8679..9104)	Ribosomal-protein-alanine acetyltransferase	K03789	K03789		K03789	K20794
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00030	K02412	[EC:3.6.3.14]	fliI	flagellum-specific ATP synthase	02GTX@aquNOG,08JIR@bactNOG,COG1157@NOG	ATPase, FliI			SZUA-1519_3:9283..10578	putative ATP synthase YscN	K02412	K02412		K02412	K03224
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00031	K02389		flgD	flagellar basal-body rod modification protein FlgD	02G0T@aquNOG,0647E@bactNOG,COG1843@NOG	flagellar hook			SZUA-1519_3:10579..11196	hypothetical protein	K02389	K02389		K02389	K02389
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00032	K07131		K07131	uncharacterized protein	02FUR@aquNOG,08ZEK@bactNOG,COG2018@NOG	Roadblock LC7 family protein			SZUA-1519_3:11219..11575	hypothetical protein	K07131	K07131		K07131	K07131
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00033	K03074		secF	preprotein translocase subunit SecF	02EY8@aquNOG,07X8G@bactNOG,COG0341@NOG	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)			SZUA-1519_3:c(11572..12438)	Protein translocase subunit SecF	K03074	K03074		K03074	K12257
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00034	K07037		K07037	uncharacterized protein	05CTJ@bactNOG,0ENMX@cloNOG,0NE9S@firmNOG,COG1480@NOG	7TM receptor with intracellular metal dependent phosphohydrolase			SZUA-1519_3:c(12463..13845)	Cyclic-di-AMP phosphodiesterase PgpH	K07037	K07037		K07037	K07037
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00035	K06217		phoH, phoL	phosphate starvation-inducible protein PhoH and related proteins	02EUH@aquNOG,05C9A@bactNOG,COG1702@NOG	PhoH family			SZUA-1519_3:c(13808..14824)	PhoH-like protein	K06217	K06217	K06217	K06217	K06217
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00036	K06200		cstA	carbon starvation protein	05D22@bactNOG,0EQC5@cloNOG,0NDV6@firmNOG,COG1966@NOG	Carbon starvation protein			SZUA-1519_3:14968..16749	Pyruvate/proton symporter BtsT	K06200	K06200		K06200	K06200
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00037	K02527	[EC:2.4.99.12][EC:2.4.99.13][EC:2.4.99.14][EC:2.4.99.15]	kdtA, waaA	3-deoxy-D-manno-octulosonic-acid transferase	02F9P@aquNOG,05D8A@bactNOG,COG1519@NOG	Three-deoxy-D-manno-octulosonic-acid transferase domain-containing protein			SZUA-1519_3:16763..17833	3-deoxy-D-manno-octulosonic acid transferase	K02527	K02527		K02527	K02527
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00038	K02518		infA	translation initiation factor IF-1	02FRU@aquNOG,05K9U@bactNOG,COG0361@NOG	however, it seems to stimulate more or less all the activities of the other two initiation factors, IF-2 and IF-3 (By similarity)			SZUA-1519_3:c(17830..18072)	Translation initiation factor IF-1	K02518	K02518		K02518	K03236
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00039	K02469	[EC:5.99.1.3]	gyrA	DNA gyrase subunit A	02EN7@aquNOG,05C24@bactNOG,COG0188@NOG	ec 5.99.1.3			SZUA-1519_3:c(18184..20508)	Type 2 topoisomerase subunit A	K02469	K02469		K02469	K03164
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00040	K11754	[EC:6.3.2.12][EC:6.3.2.17]	folC	dihydrofolate synthase / folylpolyglutamate synthase	02ETU@aquNOG,05DPM@bactNOG,COG0285@NOG	FolC bifunctional protein			SZUA-1519_3:20581..21816	Folylpolyglutamate synthase	K11754	K11754	K11754	K01495	K20457
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00041	K00797	[EC:2.5.1.16]	speE, SRM	spermidine synthase	02F5Q@aquNOG,05CCX@bactNOG,COG0421@NOG	Catalyzes the production of spermidine from putrescine and decarboxylated S-adenosylmethionine (dcSAM), which serves as an aminopropyl donor (By similarity)			SZUA-1519_3:c(21811..22653)	Polyamine aminopropyltransferase	K00797	K00797	K00797	K00797	K00802
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00042	K01251	[EC:3.3.1.1]	E3.3.1.1, ahcY	adenosylhomocysteinase	02ERS@aquNOG,05C3E@bactNOG,COG0499@NOG	May play a key role in the regulation of the intracellular concentration of adenosylhomocysteine (By similarity)			SZUA-1519_3:22701..23957	Adenosylhomocysteinase	K01251	K01251		K01251	K01251
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00043	K06923		K06923	uncharacterized protein	02FGF@aquNOG,0627K@bactNOG,COG2607@NOG	Protein of unknown function (DUF815)			SZUA-1519_3:23995..24750	hypothetical protein	K06923	K06923		K06923	K06923
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00044	K01810	[EC:5.3.1.9]	GPI, pgi	glucose-6-phosphate isomerase	02FAB@aquNOG,05C89@bactNOG,COG0166@NOG	glucose-6-phosphate isomerase			SZUA-1519_3:c(24686..25918)	Glucose-6-phosphate isomerase	K01810	K01810		K01810	K15916
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00045									SZUA-1519_3:c(25950..26276)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00046	K00773	[EC:2.4.2.29]	tgt, QTRT1	queuine tRNA-ribosyltransferase	02ETV@aquNOG,05C6U@bactNOG,COG0343@NOG	Exchanges the guanine residue with 7-aminomethyl-7- deazaguanine in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). After this exchange, a cyclopentendiol moiety is attached to the 7-aminomethyl group of 7-deazaguanine, resulting in the hypermodified nucleoside queuosine (Q) (7-(((4,5-cis- dihydroxy-2-cyclopenten-1-yl)amino)methyl)-7-deazaguanosine) (By similarity)			SZUA-1519_3:26352..27506	Queuine tRNA-ribosyltransferase	K00773	K00773		K00773	K18779
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00047	K03924	[EC:3.6.3.-]	moxR	MoxR-like ATPase	05C7R@bactNOG,COG0714@NOG	Atpase associated with various cellular activities aaa_3			SZUA-1519_3:c(27503..28405)	hypothetical protein	K03924	K03924		K03924	K09882
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00048	K11755	[EC:3.6.1.31][EC:3.5.4.19]	hisIE	phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase	02FEG@aquNOG,05K8F@bactNOG,COG0139@NOG,COG0140@NOG	histidine biosynthesis bifunctional protein			SZUA-1519_3:28428..29045	Phosphoribosyl-AMP cyclohydrolase	K11755	K11755		K01496	K14152
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00049	K00556	[EC:2.1.1.34]	trmH	tRNA (guanosine-2'-O-)-methyltransferase	05FE8@bactNOG,COG0566@NOG	tRNA (Guanosine-2'-O-)-methyltransferase			SZUA-1519_3:c(29070..29723)	tRNA (guanosine(18)-2'-O)-methyltransferase	K00556	K00556		K00556	K21514
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00050	K06173	[EC:5.4.99.12]	truA, PUS1	tRNA pseudouridine38-40 synthase	02FEQ@aquNOG,05DI7@bactNOG,COG0101@NOG	Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs (By similarity)			SZUA-1519_4:88..684	tRNA pseudouridine synthase A	K06173	K06173		K06173	K15452
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00051					05BZU@bactNOG,0XNMH@NOG	Histidine kinase			SZUA-1519_4:742..1791	Diguanylate cyclase DgcM					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00052	K01956	[EC:6.3.5.5]	carA, CPA1	carbamoyl-phosphate synthase small subunit	02ETZ@aquNOG,05C1M@bactNOG,COG0505@NOG	Carbamoyl-phosphate synthetase glutamine chain			SZUA-1519_4:c(1805..2929)	Carbamoyl-phosphate synthase small chain	K01956	K01956		K01956	K01956
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00053	K21586	[EC:2.4.1.343]	wclR	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol alpha-1,3-galactosyltransferase	02EZY@aquNOG,07V7C@bactNOG,COG0438@NOG	glycosyl transferase group 1			SZUA-1519_4:c(2947..4056)	N-acetyl-alpha-D-glucosaminyl L-malate synthase	K21586				K21586
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00054	K03210		yajC	preprotein translocase subunit YajC	02FTM@aquNOG,05VIE@bactNOG,COG1862@NOG	Preprotein translocase YajC subunit			SZUA-1519_4:c(4053..4346)	Sec translocon accessory complex subunit YajC	K03210	K03210		K03210	K03210
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00055	K00134	[EC:1.2.1.12]	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase	02EM8@aquNOG,05C17@bactNOG,COG0057@NOG	Glyceraldehyde-3-phosphate dehydrogenase, type I			SZUA-1519_4:c(4360..5454)	Glyceraldehyde-3-phosphate dehydrogenase	K00134	K00134	K00134	K00134	K03472
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00056	K01772	[EC:4.99.1.1][EC:4.99.1.9]	hemH, FECH	protoporphyrin/coproporphyrin ferrochelatase	02F2A@aquNOG,05CFX@bactNOG,COG0276@NOG	Catalyzes the ferrous insertion into protoporphyrin IX (By similarity)			SZUA-1519_4:5471..6382	Ferrochelatase	K01772	K01772		K01772	K01772
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00057	K01925	[EC:6.3.2.9]	murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase	02F1H@aquNOG,05DMZ@bactNOG,COG0771@NOG	Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA) (By similarity)			SZUA-1519_4:c(6379..7611)	UDP-N-acetylmuramoylalanine--D-glutamate ligase	K01925	K01925		K01925	K01925
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00058	K03531		ftsZ	cell division protein FtsZ	02ENS@aquNOG,05CDK@bactNOG,COG0206@NOG	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity (By similarity)			SZUA-1519_4:c(7623..8729)	Cell division protein FtsZ	K03531	K03531		K03531	K03531
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00059	K03590		ftsA	cell division protein FtsA	02ERD@aquNOG,05CIT@bactNOG,COG0849@NOG	This protein may be involved in anomalous filament growth. May be a component of the septum (By similarity)			SZUA-1519_4:c(8731..10110)	Cell division protein FtsA	K03590	K03590		K03590	K03590
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00060									SZUA-1519_4:c(10103..10837)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00061	K01921	[EC:6.3.2.4]	ddl	D-alanine-D-alanine ligase	02ENA@aquNOG,05CPF@bactNOG,COG1181@NOG	Cell wall formation (By similarity)			SZUA-1519_4:c(10845..11723)	D-alanine--D-alanine ligase	K01921	K01921		K00075	K18856
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00062									SZUA-1519_4:c(11741..12205)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00063					07QAQ@bactNOG,0G6K3@defNOG,0ZV3M@NOG				SZUA-1519_4:c(12171..12632)	Fimbrial protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00064	K04085	[EC:2.8.1.-]	tusA, sirA	tRNA 2-thiouridine synthesizing protein A	08EQK@bactNOG,0GSH4@delNOG,0HRZN@dproNOG,17143@proNOG,COG0446@NOG,COG0607@NOG	pyridine nucleotide-disulfide oxidoreductase			SZUA-1519_4:c(12669..13070)	Sulfurtransferase	K04085			K04085	K21147
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00065					0885K@bactNOG,0ZYWD@NOG	Protein of unknown function (DUF2905)			SZUA-1519_4:13162..13392	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00066	K05919	[EC:1.15.1.2]	dfx	superoxide reductase	02FGB@aquNOG,0898J@bactNOG,11M3D@NOG	Desulfoferrodoxin, ferrous iron-binding region			SZUA-1519_4:13478..13885	Putative superoxide reductase	K05919	K05919		K05919	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00067	K06890		K06890	uncharacterized protein					SZUA-1519_4:13989..14714	hypothetical protein	K06890	K06890			
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00068	K09698	[EC:6.1.1.24]	gltX	nondiscriminating glutamyl-tRNA synthetase	02EV0@aquNOG,05C20@bactNOG,COG0008@NOG	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)			SZUA-1519_4:14814..16283	Glutamate--tRNA ligase	K09698	K09698	K01885	K01885	K09698
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00069									SZUA-1519_4:16295..17155	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00070	K11785	[EC:1.14.-.-]	mqnD	1,4-dihydroxy-6-naphthoate synthase	02EQ4@aquNOG,05E63@bactNOG,COG2107@NOG	Pfam:DUF178			SZUA-1519_4:c(17152..17997)	1,4-dihydroxy-6-naphtoate synthase	K11785	K11785	K07083	K07083	K11785
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00071	K01889	[EC:6.1.1.20]	FARSA, pheS	phenylalanyl-tRNA synthetase alpha chain	02EQS@aquNOG,05CSS@bactNOG,COG0016@NOG	Phenylalanyl-tRNA synthetase alpha subunit			SZUA-1519_4:18031..19056	Phenylalanine--tRNA ligase alpha subunit	K01889	K01889	K01889	K01889	K01889
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00072	K07090		K07090	uncharacterized protein	0KU0Q@eurNOG,1CE7D@thermNOG,COG0730@NOG,arCOG02050@arNOG	Sulfite exporter TauE/SafE			SZUA-1519_4:19082..19837	hypothetical protein	K07090	K07090		K07090	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00073	K20469		K20469	putative heme transporter	02FE4@aquNOG,05F4G@bactNOG,COG0628@NOG	Domain of unknown function DUF20			SZUA-1519_4:19851..20939	Putative transport protein	K20469				K20469
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00074	K10773	[EC:4.2.99.18]	NTH	endonuclease III	02FB4@aquNOG,08RDM@bactNOG,COG0177@NOG	DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18)			SZUA-1519_4:20947..21594	Ultraviolet N-glycosylase/AP lyase	K10773	K10773		K10773	K10773
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00075	K06881	[EC:3.1.3.7][EC:3.1.13.3]	nrnA	bifunctional oligoribonuclease and PAP phosphatase NrnA	02F13@aquNOG,05SFS@bactNOG,COG0618@NOG	phosphoesterase RecJ domain protein			SZUA-1519_4:21649..22629	Bifunctional oligoribonuclease and PAP phosphatase NrnA	K06881	K06881		K06881	K06881
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00076	K00980	[EC:2.7.7.39]	tagD	glycerol-3-phosphate cytidylyltransferase	02FHT@aquNOG,05DW0@bactNOG,COG2870@NOG	Catalyzes the ADP transfer to D-glycero-D-manno-heptose 1-phosphate, yielding ADP-D,D-heptose (By similarity)			SZUA-1519_4:22633..23109	D-beta-D-heptose 1-phosphate adenylyltransferase	K00980			K00980	K21345
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00077									SZUA-1519_4:c(23160..23657)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00078	K00528	[EC:1.18.1.2][EC:1.19.1.1]	fpr	ferredoxin/flavodoxin---NADP+ reductase	02FQE@aquNOG,081NT@bactNOG,COG0543@NOG	cluster binding domain protein			SZUA-1519_4:23734..24633	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit	K00528	K00528		K00528	K20256
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00079	K00266	[EC:1.4.1.13][EC:1.4.1.14]	gltD	glutamate synthase (NADPH/NADH) small chain	02EJG@aquNOG,07QZ5@bactNOG,COG0493@NOG	glutamate synthase (NADPH), homotetrameric			SZUA-1519_4:24656..26116	Glutamate synthase [NADPH] small chain	K00266	K00266		K00266	K20202
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00080	K00786	[EC:2.4.-.-]	E2.4.-.-	glycosyltransferase	02F6K@aquNOG,07G9V@bactNOG,COG1807@NOG	glycosyl transferase family 39			SZUA-1519_4:c(26129..27658)	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase	K00786			K00786	K07264
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00081	K03076		secY	preprotein translocase subunit SecY	02ENE@aquNOG,05CGG@bactNOG,COG0201@NOG	The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently (By similarity)			SZUA-1519_4:c(27671..28954)	Protein translocase subunit SecY	K03076	K03076	K03076	K03076	K03076
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00082	K03524	[EC:6.3.4.15]	birA	BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase	02F3U@aquNOG,05HJX@bactNOG,COG0340@NOG	biotin acetyl-CoA-carboxylase ligase			SZUA-1519_4:c(28969..29694)	Bifunctional ligase/repressor BirA	K03524	K03524		K03524	K03524
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00083	K13590	[EC:2.7.7.65]	dgcB	diguanylate cyclase	02FE8@aquNOG,05BZU@bactNOG,0XNMH@NOG	Diguanylate cyclase			SZUA-1519_4:c(29757..30611)	Response regulator PleD	K13590			K13590	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00084					02G0N@aquNOG,05BZU@bactNOG,0XNMH@NOG	Diguanylate cyclase			SZUA-1519_4:c(30639..31256)	Diguanylate cyclase DosC					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00085	K10302		FBXO22	F-box protein 22	02GQA@aquNOG,08C5W@bactNOG,COG3287@NOG	FIST N domain			SZUA-1519_4:c(31253..32416)	hypothetical protein	K10302	K10302			K20964
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00086	K00995	[EC:2.7.8.5]	pgsA, PGS1	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase	02FJ3@aquNOG,08VTU@bactNOG,COG0558@NOG	CDP-alcohol phosphatidyltransferase			SZUA-1519_4:32494..33072	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	K00995	K00995		K00995	K17884
