#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00001	K00288	[EC:1.5.1.5][EC:3.5.4.9][EC:6.3.4.3]	MTHFD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase	05CKU@bactNOG,0D1VH@chloNOG,COG2759@NOG	Formate--tetrahydrofolate ligase (EC 6.3.4.3)			SZUA-1494_1:5..1879	Formate--tetrahydrofolate ligase	K00288	K00288		K00288	K01938
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00021	K01768	[EC:4.6.1.1]	E4.6.1.1	adenylate cyclase	05F8J@bactNOG,COG2114@NOG	Adenylate Guanylate cyclase			SZUA-1494_10:c(2605..4716)	Adenylate cyclase 2	K01768	K01768		K01768	K05345
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00022	K06442	[EC:2.1.1.226][EC:2.1.1.227]	tlyA	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase					SZUA-1494_10:c(4803..4994)	hypothetical protein	K06442	K06442			
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00023									SZUA-1494_11:c(75..581)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00024									SZUA-1494_11:c(828..1736)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00025									SZUA-1494_11:c(1763..2413)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00026					0KVKU@eurNOG,0RG8H@halNOG,COG5340@NOG,arCOG04793@arNOG	Inherit from arCOG: cobyrinic Acid a,c-diamide synthase			SZUA-1494_11:2473..3303	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00027	K09607	[EC:3.4.24.-]	ina	immune inhibitor A	07ZQD@bactNOG,0D26W@chloNOG,COG4412@NOG	Immune inhibitor A peptidase M6			SZUA-1494_12:c(100..2181)	Pre-pro-metalloprotease PrtV	K09607		K09607		K13276
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00028	K06928	[EC:3.6.1.15]	NTPCR	nucleoside-triphosphatase	05Q33@bactNOG,1CHRD@therNOG,COG1618@NOG	Has nucleotide phosphatase activity towards ATP, GTP, CTP, TTP and UTP. May hydrolyze nucleoside diphosphates with lower efficiency (By similarity)			SZUA-1494_12:c(2171..2731)	Nucleoside-triphosphatase THEP1	K06928	K06928	K06928	K06928	K06928
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00029	K00790	[EC:2.5.1.7]	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	05CDF@bactNOG,0D1A6@chloNOG,COG0766@NOG	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine (By similarity)			SZUA-1494_12:c(2737..4005)	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	K00790	K00790	K00790	K00790	K00790
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00030									SZUA-1494_13:181..828	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00031					07AGJ@bactNOG,0D5G2@chloNOG,0Z5X3@NOG				SZUA-1494_13:c(974..1843)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00032	K01953	[EC:6.3.5.4]	asnB, ASNS	asparagine synthase (glutamine-hydrolysing)	05CAQ@bactNOG,0D1R9@chloNOG,0D7U2@chlorNOG,COG0367@NOG	Asparagine synthetase			SZUA-1494_14:25..1998	Asparagine synthetase [glutamine-hydrolyzing] 1	K01953	K01953	K01953	K01953	K18582
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00033	K20904	[EC:4.2.1.167]	hgdB	(R)-2-hydroxyglutaryl-CoA dehydratase subunit beta	05CMH@bactNOG,0EPDH@cloNOG,0NDUI@firmNOG,COG1775@NOG	(De)hydratase			SZUA-1494_15:9..1241	(R)-2-hydroxyisocaproyl-CoA dehydratase alpha subunit	K20904				K20904
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00034	K02486	[EC:2.7.13.3]	K02486	two-component system, sensor kinase	05ECG@bactNOG,0GGGC@delNOG,0HHB0@dproNOG,0XPBE@NOG,16QED@proNOG	GAF domain			SZUA-1494_15:1352..2722	Sensor protein ZraS	K02486		K02486	K01768	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00035	K06959		tex	protein Tex	05BZM@bactNOG,0ENN0@cloNOG,0ND4U@firmNOG,COG2183@NOG	Domain protein			SZUA-1494_15:c(2754..4757)	Protein YhgF	K06959	K06959	K06959	K06959	K06959
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00036	K01872	[EC:6.1.1.7]	AARS, alaS	alanyl-tRNA synthetase	06ZHN@bactNOG,0EQ1U@cloNOG,0NEGR@firmNOG,COG2872@NOG	Threonine alanine tRNA ligase second additional domain protein			SZUA-1494_16:c(39..1277)	Alanine--tRNA ligase	K01872	K01872	K01872	K01872	K07050
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00037					0908M@bactNOG,11V8F@NOG	cytochrome c biogenesis			SZUA-1494_16:c(1274..3232)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00038	K00761	[EC:2.4.2.9]	upp, UPRT	uracil phosphoribosyltransferase	05CZ5@bactNOG,0D1XB@chloNOG,COG0035@NOG	Catalyzes the conversion of uracil and 5-phospho-alpha- D-ribose 1-diphosphate (PRPP) to UMP and diphosphate (By similarity)			SZUA-1494_17:69..695	Uracil phosphoribosyltransferase	K00761	K00761	K00761	K00761	K00761
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00039									SZUA-1494_17:c(1276..1494)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00040	K02355		fusA, GFM, EFG	elongation factor G	05CEJ@bactNOG,0D1CU@chloNOG,COG0480@NOG	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)			SZUA-1494_18:220..2295	Elongation factor G	K02355	K02355		K02355	K18220
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00041					07HX2@bactNOG,100WZ@NOG				SZUA-1494_18:c(2348..2563)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00042	K21586	[EC:2.4.1.343]	wclR	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol alpha-1,3-galactosyltransferase	05ZJ0@bactNOG,0D2GZ@chloNOG,COG0438@NOG	glycosyl transferase group 1			SZUA-1494_19:27..839	Phosphatidyl-myo-inositol mannosyltransferase	K21586				K21586
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00043	K17763		rsbR	rsbT co-antagonist protein RsbR	05BZU@bactNOG,0XNMH@NOG	Histidine kinase			SZUA-1494_20:2..1105	RsbT co-antagonist protein RsbRA	K17763	K17763			
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00044	K20978		hsbA	HptB-dependent secretion and biofilm anti anti-sigma factor	07HMJ@bactNOG,0D4UT@chloNOG,0D8C9@chlorNOG,COG1366@NOG	Anti-sigma-factor antagonist			SZUA-1494_20:1199..2836	RsbT co-antagonist protein RsbRA	K20978				K20978
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00045	K17763		rsbR	rsbT co-antagonist protein RsbR	05BZU@bactNOG,0XNMH@NOG	Histidine kinase			SZUA-1494_20:2863..3927	RsbT co-antagonist protein RsbRA	K17763	K17763			
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00046	K17763		rsbR	rsbT co-antagonist protein RsbR	COG1366@NOG	stage II sporulation protein			SZUA-1494_20:3990..5090	RsbT co-antagonist protein RsbRA	K17763	K17763			K20978
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00047	K17763		rsbR	rsbT co-antagonist protein RsbR	08K8H@bactNOG,0ZZ22@NOG	sensor protein			SZUA-1494_20:5182..6855	RsbT co-antagonist protein RsbRA	K17763	K17763			
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00048	K01840	[EC:5.4.2.8]	manB	phosphomannomutase	05D6M@bactNOG,0D3YJ@chloNOG,COG1109@NOG	Phosphoglucomutase/phosphomannomutase, C-terminal domain			SZUA-1494_21:27..1457	Phosphoglucomutase	K01840			K01840	K16881
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00049	K04488		iscU, nifU	nitrogen fixation protein NifU and related proteins	08UNV@bactNOG,0ESH9@cloNOG,0NJAM@firmNOG,COG0822@NOG	feS cluster assembly scaffold protein NifU			SZUA-1494_22:13..411	Iron-sulfur cluster assembly scaffold protein IscU	K04488	K04488		K04488	K13819
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00050	K00566	[EC:2.8.1.13]	mnmA, trmU	tRNA-uridine 2-sulfurtransferase	05CCJ@bactNOG,0D1I4@chloNOG,COG0482@NOG	Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34 (By similarity)			SZUA-1494_22:515..1645	tRNA-specific 2-thiouridylase MnmA	K00566	K00566	K00566	K00566	K21027
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00051					08P6X@bactNOG,0D1QJ@chloNOG,10BQ3@NOG				SZUA-1494_23:c(339..2180)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00052	K01834	[EC:5.4.2.11]	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	0KRJY@eurNOG,1CE4K@thermNOG,COG0668@NOG,arCOG01568@arNOG	Mechanosensitive ion channel			SZUA-1494_24:26..811	Small-conductance mechanosensitive channel	K01834			K01834	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00053	K19659	[EC:4.2.1.119]	phaJ	enoyl-CoA hydratase	05DJG@bactNOG,0GA5X@deiNOG,COG2030@NOG	MaoC like domain			SZUA-1494_24:901..1368	Bifunctional protein PaaZ	K19659				K19659
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00054	K04043		dnaK, HSPA9	molecular chaperone DnaK	05CFG@bactNOG,0D1IH@chloNOG,COG0443@NOG	Acts as a chaperone (By similarity)			SZUA-1494_24:c(1476..2162)	Chaperone protein DnaK	K04043	K04043		K04043	K04046
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00055	K01040	[EC:2.8.3.12]	gctB	glutaconate CoA-transferase, subunit B	COG1788@NOG	Key enzyme for ketone body catabolism. Transfers the CoA moiety from succinate to acetoacetate. Formation of the enzyme-CoA intermediate proceeds via an unstable anhydride species formed between the carboxylate groups of the enzyme and substrate (By similarity)			SZUA-1494_25:c(570..1424)	3-oxoadipate CoA-transferase subunit B	K01040	K01040		K01028	K01034
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00056	K01039	[EC:2.8.3.12]	gctA	glutaconate CoA-transferase, subunit A	05DMN@bactNOG,173SP@proNOG,COG1788@NOG	coenzyme A transferase			SZUA-1494_25:c(1472..2266)	3-oxoadipate CoA-transferase subunit A	K01039	K01039		K01039	K01034
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00057	K07025		K07025	putative hydrolase of the HAD superfamily	07I2D@bactNOG,0GGKG@delNOG,0HGQ5@dproNOG,175R4@proNOG,COG1011@NOG	Pyrimidine 5'-nucleotidase			SZUA-1494_25:c(2270..2911)	Phosphoglycolate phosphatase	K07025	K07025	K07025	K07025	K21063
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00058	K00626	[EC:2.3.1.9]	E2.3.1.9, atoB	acetyl-CoA C-acetyltransferase	05CHU@bactNOG,0ENVD@cloNOG,0ND51@firmNOG,COG0183@NOG	Acetyl-CoA acetyltransferase			SZUA-1494_25:c(2908..4089)	Acetyl-CoA acetyltransferase	K00626	K00626		K00626	K07823
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00059					07I1Q@bactNOG,0ZMJF@NOG	Metallo-beta-lactamase superfamily			SZUA-1494_25:c(4086..4862)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00060	K01881	[EC:6.1.1.15]	PARS, proS	prolyl-tRNA synthetase	05C90@bactNOG,0D1HD@chloNOG,0G6SC@dehNOG,COG0442@NOG	Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS (By similarity)			SZUA-1494_25:c(5206..6909)	Proline--tRNA ligase	K01881	K01881		K01881	K01881
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00061	K03074		secF	preprotein translocase subunit SecF	07WK9@bactNOG,0D1N7@chloNOG,0D73X@chlorNOG,COG0341@NOG	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)			SZUA-1494_25:c(6969..7838)	Protein translocase subunit SecF	K03074	K03074		K03074	K12257
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00062	K03466		ftsK, spoIIIE	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	07QZI@bactNOG,0D19X@chloNOG,0D6CH@chlorNOG,COG1674@NOG	Cell divisionFtsK SpoIIIE			SZUA-1494_26:15..1493	DNA translocase SpoIIIE	K03466	K03466		K03466	K03466
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00063	K04763		xerD	integrase/recombinase XerD	COG4974@NOG	Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules. The XerC-XerD complex is essential to convert dimers of the bacterial chromosome into monomers to permit their segregation at cell division. It also contributes to the segregational stability of plasmids (By similarity)			SZUA-1494_27:197..1240	Tyrosine recombinase XerD	K04763	K04763		K03733	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00064					05QC3@bactNOG,0GFMU@delNOG,0HGI0@dproNOG,11VVH@NOG,17GXX@proNOG	Response regulator receiver domain			SZUA-1494_27:c(1247..1816)	Response regulator MprA					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00065									SZUA-1494_28:8..217	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00066									SZUA-1494_28:168..1040	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00067					05KVT@bactNOG,0D4U4@chloNOG,0D8BE@chlorNOG,11UID@NOG				SZUA-1494_28:1041..1523	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00068	K04069	[EC:1.97.1.4]	pflA, pflC, pflE	pyruvate formate lyase activating enzyme	07R69@bactNOG,0EPM8@cloNOG,0NFJN@firmNOG,COG1180@NOG	radical SAM domain protein			SZUA-1494_29:c(48..1277)	Pyruvate formate-lyase 1-activating enzyme	K04069	K04069		K04069	K20037
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00069					08K5J@bactNOG,0D20K@chloNOG,0YK02@NOG	AAA-4 family			SZUA-1494_29:c(1330..2868)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00070					05RF9@bactNOG,11VFT@NOG				SZUA-1494_30:38..1453	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00071					07AGJ@bactNOG,0D5G2@chloNOG,0Z5X3@NOG				SZUA-1494_30:1517..3244	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00072					06ED3@bactNOG,122R0@NOG				SZUA-1494_30:3379..4971	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00073									SZUA-1494_31:88..1197	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00074									SZUA-1494_31:1294..2007	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00075	K00604	[EC:2.1.2.9]	MTFMT, fmt	methionyl-tRNA formyltransferase	05CAE@bactNOG,0D23X@chloNOG,COG0223@NOG	Modifies the free amino group of the aminoacyl moiety of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by (I) promoting its recognition by IF2 and (II) impairing its binding to EFTu-GTP (By similarity)			SZUA-1494_32:c(392..1348)	Methionyl-tRNA formyltransferase	K00604	K00604	K00604	K00604	K19640
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00076	K06147		ABCB-BAC	ATP-binding cassette, subfamily B, bacterial	05BZ1@bactNOG,0NDFU@firmNOG,0X1SC@negNOG,COG1132@NOG	lipid A export permease ATP-binding protein MsbA			SZUA-1494_33:44..1831	Putative multidrug export ATP-binding/permease protein	K06147	K06147	K06147	K06147	K20485
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00077	K07159		K07159	uncharacterized protein	088VT@bactNOG,0D3C1@chloNOG,0G6RE@dehNOG,COG2047@NOG	PAC2 family			SZUA-1494_33:c(2018..2428)	hypothetical protein	K07159	K07159		K07159	K07159
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00078									SZUA-1494_34:620..1066	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00079	K12132	[EC:2.7.11.1]	prkC, stkP	eukaryotic-like serine/threonine-protein kinase	05CNE@bactNOG,COG0515@NOG,COG1520@NOG	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane (By similarity)			SZUA-1494_34:1147..2505	Serine/threonine-protein kinase AfsK	K12132			K12132	K20853
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00080									SZUA-1494_35:577..1272	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00081	K03411	[EC:3.5.1.44]	cheD	chemotaxis protein CheD	08Z4W@bactNOG,1CGPP@therNOG,COG1871@NOG	Probably deamidates glutamine residues to glutamate on methyl-accepting chemotaxis receptors (MCPs), playing an important role in chemotaxis (By similarity)			SZUA-1494_35:c(1335..1841)	Chemoreceptor glutamine deamidase CheD	K03411	K03411		K03411	K03411
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00082	K03407	[EC:2.7.13.3]	cheA	two-component system, chemotaxis family, sensor kinase CheA	05CBS@bactNOG,0NDVY@firmNOG,0X1Y6@negNOG,COG0643@NOG	Histidine			SZUA-1494_35:c(1846..3363)	Chemotaxis protein CheA	K03407	K03407		K03407	K13490
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00083	K00661	[EC:2.3.1.79]	maa	maltose O-acetyltransferase	08S4C@bactNOG,0D3P4@chloNOG,0D7DP@chlorNOG,COG0110@NOG	Hexapaptide repeat-containing transferase			SZUA-1494_36:40..408	Galactoside O-acetyltransferase	K00661			K00661	K21379
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00084					COG4347@NOG	membrane			SZUA-1494_36:419..1036	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00085									SZUA-1494_36:1033..1431	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00086									SZUA-1494_37:20..232	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00087	K07250	[EC:2.6.1.19][EC:2.6.1.22]	gabT	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase	COG0160@NOG,arCOG00915@arNOG	Aminotransferase			SZUA-1494_37:c(256..1686)	2,2-dialkylglycine decarboxylase	K07250	K07250		K00823	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00088									SZUA-1494_38:51..671	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00089	K20257	[EC:3.1.2.32]	pqsE	2-aminobenzoylacetyl-CoA thioesterase	05C8F@bactNOG,COG0491@NOG	Beta-lactamase domain protein			SZUA-1494_38:c(778..1623)	putative quorum-quenching lactonase YtnP	K20257				K20257
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00090	K22010		pdtaR	two-component system, response regulator PdtaR	05GJG@bactNOG,COG3707@NOG	response regulator			SZUA-1494_39:46..564	putative transcriptional regulatory protein pdtaR	K22010	K22010		K07183	K22010
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00091									SZUA-1494_39:c(710..1354)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00092	K00962	[EC:2.7.7.8]	pnp, PNPT1	polyribonucleotide nucleotidyltransferase	05C62@bactNOG,0D1P3@chloNOG,COG1185@NOG	Involved in mRNA degradation. Hydrolyzes single-stranded polyribonucleotides processively in the 3'- to 5'-direction (By similarity)			SZUA-1494_40:210..2408	Polyribonucleotide nucleotidyltransferase	K00962	K00962	K00962	K00962	K00962
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00093	K03100	[EC:3.4.21.89]	lepB	signal peptidase I	05C3F@bactNOG,0EU6D@cloNOG,0NMG4@firmNOG,COG0681@NOG	signal peptidase i			SZUA-1494_40:2424..3005	Signal peptidase I T	K03100	K03100	K03100	K03100	K03100
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00094	K13444	[EC:1.8.3.7]	SUMF1, FGE	formylglycine-generating enzyme	05E6M@bactNOG,COG1262@NOG	Sulphatase-modifying factor protein			SZUA-1494_41:143..1315	Serine/threonine-protein kinase pkn1	K13444			K13444	K20333
