#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1430|SZUA-1430_00001					08R5T@bactNOG,11FHM@NOG	secreted protein			SZUA-1430_1:4..1179	Putative lipoprotein YerB					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00014									SZUA-1430_5:c(994..1320)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00015	K03574	[EC:3.6.1.55]	mutT, NUDT15, MTH2	8-oxo-dGTP diphosphatase	0901C@bactNOG,0NQYE@firmNOG,COG1051@NOG	mutt nudix family protein			SZUA-1430_5:c(1330..1599)	hypothetical protein	K03574			K03574	K19965
Candidatus_bacterium_SZUA-1430|SZUA-1430_00016									SZUA-1430_5:c(1660..1776)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00017	K00790	[EC:2.5.1.7]	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	00BKZ@actNOG,05CDF@bactNOG,COG0766@NOG	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine (By similarity)			SZUA-1430_5:c(1783..2139)	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	K00790	K00790		K00790	K00790
Candidatus_bacterium_SZUA-1430|SZUA-1430_00018									SZUA-1430_6:c(589..897)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00019					060DJ@bactNOG,0QTK7@gproNOG,0Y056@NOG,1744G@proNOG				SZUA-1430_6:c(901..2175)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00020	K03892		arsR	ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor	07RHN@bactNOG,0EVNG@cloNOG,0NPK2@firmNOG,COG0500@NOG	Methyltransferase			SZUA-1430_6:c(2357..2989)	putative methyltransferase YcgJ	K03892			K03892	K21377
Candidatus_bacterium_SZUA-1430|SZUA-1430_00021	K01937	[EC:6.3.4.2]	pyrG, CTPS	CTP synthase	05C8D@bactNOG,0QF0E@fusoNOG,COG0504@NOG	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen (By similarity)			SZUA-1430_7:c(550..2187)	CTP synthase	K01937	K01937		K01937	K01937
Candidatus_bacterium_SZUA-1430|SZUA-1430_00022	K02939		RP-L9, MRPL9, rplI	large subunit ribosomal protein L9	05K9Q@bactNOG,0EU6U@cloNOG,0NKRK@firmNOG,COG0359@NOG	Binds to the 23S rRNA (By similarity)			SZUA-1430_7:c(2313..2756)	50S ribosomal protein L9	K02939	K02939		K02939	K02939
Candidatus_bacterium_SZUA-1430|SZUA-1430_00023									SZUA-1430_7:c(2803..3129)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00024	K01337	[EC:3.4.21.50]	E3.4.21.50	lysyl endopeptidase	08MHS@bactNOG,1072U@NOG,17IF6@proNOG	endoproteinase Arg-C			SZUA-1430_8:23..934	hypothetical protein	K01337			K01337	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00025									SZUA-1430_8:1213..1413	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00026					1CBM8@thaNOG,COG0704@NOG,arCOG00318@arNOG	phosphate uptake regulator PhoU			SZUA-1430_9:60..956	Phosphate-specific transport system accessory protein PhoU					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00027	K03665		hflX	GTPase	1CB51@thaNOG,COG2262@NOG,arCOG00353@arNOG	GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis (By similarity)			SZUA-1430_9:967..2076	GTPase HflX	K03665	K03665		K03665	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00028	K07254	[EC:2.1.1.206]	atrm56	tRNA (cytidine56-2'-O)-methyltransferase	1CB2U@thaNOG,COG1303@NOG,arCOG01857@arNOG	Specifically catalyzes the AdoMet-dependent 2'-O-ribose methylation of cytidine at position 56 in tRNAs (By similarity)			SZUA-1430_9:2066..2599	hypothetical protein	K07254	K07254		K07254	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00029	K03590		ftsA	cell division protein FtsA	07GTB@bactNOG,0YGRW@NOG	cell division protein FtsA			SZUA-1430_10:c(1543..2532)	Cell division protein FtsA	K03590	K03590			
Candidatus_bacterium_SZUA-1430|SZUA-1430_00030	K03394	[EC:2.1.1.130][EC:2.1.1.151]	cobI-cbiL	precorrin-2/cobalt-factor-2 C20-methyltransferase	1CBQ7@thaNOG,COG2243@NOG,arCOG00648@arNOG	Precorrin-2 C20-methyltransferase			SZUA-1430_11:c(379..1101)	Cobalt-precorrin-2 C(20)-methyltransferase	K03394	K03394		K03394	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00031	K02191	[EC:2.1.1.196]	cbiT	cobalt-precorrin-6B (C15)-methyltransferase	1CBCW@thaNOG,COG2242@NOG,arCOG00977@arNOG	Probably catalyzes the methylation of either C-15 or C-5 in cobalt-precorrin-6Y to form cobalt-precorrin-7W. Methylation of C-15 would probably be followed by a spontaneous decarboxylation of C-12 (By similarity)			SZUA-1430_11:c(1116..1706)	Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating)	K02191	K02191	K02191	K00595	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00032					111I0@NOG,1CBYS@thaNOG,arCOG10415@arNOG				SZUA-1430_11:c(1721..2398)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00033									SZUA-1430_12:c(1025..1141)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00034	K04482		RAD51	DNA repair protein RAD51	1CB6G@thaNOG,COG0468@NOG,arCOG00417@arNOG	RecA RadA recombinase-like protein			SZUA-1430_12:c(1174..1692)	hypothetical protein	K04482	K04482		K04482	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00035	K01875	[EC:6.1.1.11]	SARS, serS	seryl-tRNA synthetase	1CBGI@thaNOG,COG0172@NOG,arCOG00403@arNOG	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec) (By similarity)			SZUA-1430_13:55..618	Serine--tRNA ligase	K01875	K01875		K01875	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00036	K02984		RP-S3Ae, RPS3A	small subunit ribosomal protein S3Ae	1CBPD@thaNOG,COG1890@NOG,arCOG04186@arNOG	30S ribosomal protein S3Ae			SZUA-1430_13:721..1272	hypothetical protein	K02984	K02984		K02984	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00037									SZUA-1430_14:c(658..1263)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00038									SZUA-1430_14:c(1525..2073)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00039	K03545		tig	trigger factor	05DEA@bactNOG,COG0544@NOG	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation			SZUA-1430_15:87..1154	Trigger factor	K03545	K03545		K01802	K03545
Candidatus_bacterium_SZUA-1430|SZUA-1430_00040	K03470	[EC:3.1.26.4]	rnhB	ribonuclease HII	08UH2@bactNOG,0QFFR@fusoNOG,COG0164@NOG	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids (By similarity)			SZUA-1430_16:19..687	Ribonuclease HII	K03470	K03470		K03470	K03470
Candidatus_bacterium_SZUA-1430|SZUA-1430_00041	K03168	[EC:5.99.1.2]	topA	DNA topoisomerase I	05C73@bactNOG,0QIIK@gproNOG,16PJG@proNOG,COG0550@NOG,COG0551@NOG	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone (By similarity)			SZUA-1430_16:c(789..3020)	DNA topoisomerase 1	K03168	K03168		K03168	K12087
Candidatus_bacterium_SZUA-1430|SZUA-1430_00042									SZUA-1430_17:60..485	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00043	K07738		nrdR	transcriptional repressor NrdR	08Z11@bactNOG,1CGHV@therNOG,COG1327@NOG	Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes (By similarity)			SZUA-1430_17:c(1086..1541)	Transcriptional repressor NrdR	K07738	K07738		K07738	K07738
Candidatus_bacterium_SZUA-1430|SZUA-1430_00044	K02003		ABC.CD.A	putative ABC transport system ATP-binding protein	0KRFK@eurNOG,0WK6Q@methaNOG,COG1136@NOG,arCOG00922@arNOG	ABC transporter			SZUA-1430_17:c(2020..2706)	Bacitracin export ATP-binding protein BceA	K02003	K02003		K02003	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00045	K02004		ABC.CD.P	putative ABC transport system permease protein	0KTAP@eurNOG,0WM65@methaNOG,COG0577@NOG,arCOG02315@arNOG	FtsX-like permease family			SZUA-1430_17:c(2732..3220)	hypothetical protein	K02004	K02004		K02004	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00046	K01889	[EC:6.1.1.20]	FARSA, pheS	phenylalanyl-tRNA synthetase alpha chain	05CSS@bactNOG,COG0016@NOG	phenylalanyl-tRNA synthetase (alpha subunit)			SZUA-1430_18:c(675..1709)	Phenylalanine--tRNA ligase alpha subunit	K01889	K01889		K01889	K01889
Candidatus_bacterium_SZUA-1430|SZUA-1430_00047	K02343	[EC:2.7.7.7]	dnaX	DNA polymerase III subunit gamma/tau	05C6E@bactNOG,0EPAV@cloNOG,0NE38@firmNOG,COG2812@NOG	DNA polymerase III, subunits gamma and tau			SZUA-1430_19:37..1320	DNA polymerase III subunit tau	K02343	K02343		K01071	K02343
Candidatus_bacterium_SZUA-1430|SZUA-1430_00049	K03530		hupB	DNA-binding protein HU-beta	05K70@bactNOG,0GH9R@delNOG,0HHIW@dproNOG,17FE7@proNOG,COG0776@NOG	histone family protein DNA-binding			SZUA-1430_20:c(1086..1352)	DNA-binding protein HU-beta	K03530	K03530		K03530	K05788
Candidatus_bacterium_SZUA-1430|SZUA-1430_00050									SZUA-1430_20:1571..1687	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00051	K05366	[EC:2.4.1.129][EC:3.4.16.4]	mrcA	penicillin-binding protein 1A	08JQC@bactNOG,0GT4X@delNOG,0HSHE@dproNOG,173FD@proNOG,COG5009@NOG	penicillin-binding protein 1A			SZUA-1430_21:11..562	Penicillin-binding protein 1A	K05366			K05366	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00052									SZUA-1430_21:609..1211	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00053					0857V@bactNOG,0D30P@chloNOG,0ZY7Q@NOG				SZUA-1430_21:1208..2833	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00054					08QZK@bactNOG,0FKQQ@cyaNOG,12219@NOG	Methyltransferase domain			SZUA-1430_21:2988..4175	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00055	K00859	[EC:2.7.1.24]	coaE	dephospho-CoA kinase	02TBG@arNOG,0M20P@eurNOG,1CFD4@thermNOG,COG0237@NOG	Dephospho-CoA kinase			SZUA-1430_22:51..485	hypothetical protein	K00859			K00859	K00859
Candidatus_bacterium_SZUA-1430|SZUA-1430_00056	K04765	[EC:3.6.1.9]	mazG	nucleoside triphosphate diphosphatase	05XB4@bactNOG,0FQ1U@cyaNOG,COG1694@NOG	MazG family pyrophosphatase			SZUA-1430_22:678..1007	hypothetical protein	K04765				K04765
Candidatus_bacterium_SZUA-1430|SZUA-1430_00057	K01770	[EC:4.6.1.12]	ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	081M5@bactNOG,0CY3H@chlaNOG,COG0245@NOG	Involved in the biosynthesis of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP), two major building blocks of isoprenoid compounds. Catalyzes the conversion of 4- diphosphocytidyl-2-C-methyl-D-erythritol 2-phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP) (By similarity)			SZUA-1430_23:c(365..844)	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	K01770	K01770		K01770	K12506
Candidatus_bacterium_SZUA-1430|SZUA-1430_00058	K00991	[EC:2.7.7.60]	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	04TVH@bacNOG,05CE5@bactNOG,0NH6R@firmNOG,COG1211@NOG	Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP) (By similarity)			SZUA-1430_23:c(904..1596)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	K00991	K00991	K00991	K00991	K21681
Candidatus_bacterium_SZUA-1430|SZUA-1430_00059									SZUA-1430_23:c(1668..2174)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00060									SZUA-1430_24:242..409	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00061									SZUA-1430_24:c(457..1371)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00062	K06168	[EC:2.8.4.3]	miaB	tRNA-2-methylthio-N6-dimethylallyladenosine synthase	05CIW@bactNOG,1CFMJ@therNOG,COG0621@NOG	Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine (By similarity)			SZUA-1430_24:1574..2779	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	K06168	K06168		K06168	K18707
Candidatus_bacterium_SZUA-1430|SZUA-1430_00063	K00560	[EC:2.1.1.45]	thyA, TYMS	thymidylate synthase	05C0V@bactNOG,099I0@bctoNOG,0P7N8@flaNOG,COG0207@NOG	Provides the sole de novo source of dTMP for DNA biosynthesis (By similarity)			SZUA-1430_25:c(383..1207)	Thymidylate synthase	K00560	K00560	K13998	K00560	K00560
Candidatus_bacterium_SZUA-1430|SZUA-1430_00064	K00943	[EC:2.7.4.9]	tmk, DTYMK	dTMP kinase	07UE1@bactNOG,1575Z@plaNOG,COG0125@NOG	Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis (By similarity)			SZUA-1430_25:c(1225..1896)	Thymidylate kinase	K00943	K00943		K00943	K00943
Candidatus_bacterium_SZUA-1430|SZUA-1430_00065	K07002		K07002	uncharacterized protein	052J5@bacNOG,064PR@bactNOG,0NZWB@firmNOG,COG3545@NOG	Pfam:DUF1234			SZUA-1430_25:c(2008..2607)	hypothetical protein	K07002	K07002		K07002	K07002
Candidatus_bacterium_SZUA-1430|SZUA-1430_00066	K01512	[EC:3.6.1.7]	acyP	acylphosphatase	05VSY@bactNOG,0G60W@defNOG,COG1254@NOG	acylphosphatase EC 3.6.1.7			SZUA-1430_25:c(2611..2883)	Acylphosphatase	K01512	K01512		K01512	K01512
Candidatus_bacterium_SZUA-1430|SZUA-1430_00067	K03088		rpoE	RNA polymerase sigma-70 factor, ECF subfamily	05DU6@bactNOG,COG1595@NOG	RNA polymerase			SZUA-1430_26:c(1328..1927)	ECF RNA polymerase sigma factor SigW	K03088	K03088		K03088	K03088
Candidatus_bacterium_SZUA-1430|SZUA-1430_00068					111SI@NOG,1CC4N@thaNOG,arCOG08659@arNOG				SZUA-1430_28:1..189	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00069									SZUA-1430_28:c(889..1350)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00073									SZUA-1430_29:781..1203	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00074	K02654	[EC:3.4.23.43][EC:2.1.1.-]	pilD, pppA	leader peptidase (prepilin peptidase) / N-methyltransferase	04TST@bacNOG,05EHH@bactNOG,0NIGE@firmNOG,COG1989@NOG	peptidase			SZUA-1430_30:c(446..1243)	Type 4 prepilin-like proteins leader peptide-processing enzyme	K02654	K02654		K02236	K10966
Candidatus_bacterium_SZUA-1430|SZUA-1430_00075									SZUA-1430_30:c(2041..2235)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00076					1107F@NOG,1CC5V@thaNOG,arCOG08666@arNOG				SZUA-1430_31:233..397	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00077									SZUA-1430_31:659..913	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00078	K00174	[EC:1.2.7.3][EC:1.2.7.11]	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha	02UA5@arNOG,1CBQI@thaNOG,COG0674@NOG,COG1014@NOG,arCOG01606@arNOG	pyruvate flavodoxin ferredoxin oxidoreductase			SZUA-1430_31:994..2901	2-oxoglutarate oxidoreductase subunit KorA	K00174	K00174	K00174	K00169	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00079	K00175	[EC:1.2.7.3][EC:1.2.7.11]	korB, oorB, oforB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta	1CBDI@thaNOG,COG1013@NOG,arCOG01599@arNOG	Pyruvate ferredoxin flavodoxin oxidoreductase, beta subunit			SZUA-1430_31:2891..3856	2-oxoglutarate oxidoreductase subunit KorB	K00175	K00175		K00175	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00080									SZUA-1430_32:164..1069	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00081	K03086		rpoD	RNA polymerase primary sigma factor	04S3P@bacNOG,05DG1@bactNOG,0NDNZ@firmNOG,COG0568@NOG	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)			SZUA-1430_33:61..924	RNA polymerase sigma factor SigA	K03086	K03086		K03086	K03089
Candidatus_bacterium_SZUA-1430|SZUA-1430_00082									SZUA-1430_33:943..1461	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00083									SZUA-1430_34:35..205	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00084									SZUA-1430_34:415..618	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00085	K03655	[EC:3.6.4.12]	recG	ATP-dependent DNA helicase RecG	05CB5@bactNOG,0FJHU@cyaNOG,COG1200@NOG	ATP-dependent DNA helicase RecG			SZUA-1430_34:c(1144..2148)	ATP-dependent DNA helicase RecG	K03655	K03655		K03655	K03655
Candidatus_bacterium_SZUA-1430|SZUA-1430_00086	K02888		RP-L21, MRPL21, rplU	large subunit ribosomal protein L21	05KK9@bactNOG,0EU4J@cloNOG,0NKSY@firmNOG,COG0261@NOG	This protein binds to 23S rRNA in the presence of protein L20 (By similarity)			SZUA-1430_35:c(444..752)	50S ribosomal protein L21	K02888	K02888		K02888	K02888
Candidatus_bacterium_SZUA-1430|SZUA-1430_00087	K04771	[EC:3.4.21.107]	degP, htrA	serine protease Do	05C0H@bactNOG,0EP64@cloNOG,0NEX0@firmNOG,COG0265@NOG	peptidase S1 and S6, chymotrypsin Hap			SZUA-1430_35:c(896..1489)	Serine protease Do-like HtrB	K04771			K04771	K08372
Candidatus_bacterium_SZUA-1430|SZUA-1430_00088	K01711	[EC:4.2.1.47]	gmd, GMDS	GDPmannose 4,6-dehydratase	05C0K@bactNOG,1AMPI@spiNOG,COG1089@NOG	GDP-mannose 4,6-dehydratase			SZUA-1430_36:c(1172..2209)	GDP-mannose 4,6-dehydratase	K01711	K01711	K01711	K01711	K01711
Candidatus_bacterium_SZUA-1430|SZUA-1430_00089									SZUA-1430_37:159..605	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00090	K02867		RP-L11, MRPL11, rplK	large subunit ribosomal protein L11	08UIK@bactNOG,COG0080@NOG	This protein binds directly to 23S ribosomal RNA (By similarity)			SZUA-1430_37:c(815..1240)	50S ribosomal protein L11	K02867	K02867	K02867	K02867	K02870
Candidatus_bacterium_SZUA-1430|SZUA-1430_00091	K02601		nusG	transcriptional antiterminator NusG	05E5V@bactNOG,0D2B6@chloNOG,0D7D5@chlorNOG,COG0250@NOG	Influences transcription termination and antitermination. Acts as a component of the transcription complex, and interacts with the termination factor rho and RNA polymerase (By similarity)			SZUA-1430_37:c(1303..1848)	Transcription termination/antitermination protein NusG	K02601	K02601	K02601	K02601	K05785
Candidatus_bacterium_SZUA-1430|SZUA-1430_00092	K03073		secE	preprotein translocase subunit SecE					SZUA-1430_37:c(1874..2059)	Protein translocase subunit SecE	K03073	K03073			
Candidatus_bacterium_SZUA-1430|SZUA-1430_00093	K02484	[EC:2.7.13.3]	K02484	two-component system, OmpR family, sensor kinase	05BZU@bactNOG,0XNMH@NOG,1CFRJ@therNOG	Histidine kinase			SZUA-1430_37:c(2177..3523)	Non-motile and phage-resistance protein	K02484			K02484	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00094	K07391		comM	magnesium chelatase family protein	05C0P@bactNOG,0D1NC@chloNOG,0D650@chlorNOG,COG0606@NOG	Mg chelatase subunit ChlI			SZUA-1430_38:184..1704	Competence protein ComM	K07391	K07391		K07391	K07391
Candidatus_bacterium_SZUA-1430|SZUA-1430_00095									SZUA-1430_38:c(1863..2192)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00096									SZUA-1430_38:c(2268..2525)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00097	K04771	[EC:3.4.21.107]	degP, htrA	serine protease Do	05C0H@bactNOG,1CFF9@therNOG,COG0265@NOG	protease, Do			SZUA-1430_39:3..806	Putative serine protease HtrA	K04771			K04771	K08372
Candidatus_bacterium_SZUA-1430|SZUA-1430_00098	K01892	[EC:6.1.1.21]	HARS, hisS	histidyl-tRNA synthetase	05CUT@bactNOG,0EPNU@cloNOG,0NE11@firmNOG,COG0124@NOG	histidyl-tRNA synthetase			SZUA-1430_40:42..395	Histidine--tRNA ligase	K01892	K01892		K01892	K01892
Candidatus_bacterium_SZUA-1430|SZUA-1430_00099	K03624		greA	transcription elongation factor GreA	08UKH@bactNOG,0ESER@cloNOG,0NJC5@firmNOG,COG0782@NOG	Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides (By similarity)			SZUA-1430_40:511..966	Transcription elongation factor GreA	K03624	K03624		K03624	K06140
Candidatus_bacterium_SZUA-1430|SZUA-1430_00100									SZUA-1430_41:780..2531	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00101	K04066	[EC:3.6.4.-]	priA	primosomal protein N' (replication factor Y) (superfamily II helicase)	05C25@bactNOG,0EP0G@cloNOG,0NDW7@firmNOG,COG1198@NOG	Primosomal protein n'			SZUA-1430_42:37..1230	Primosomal protein N'	K04066	K04066		K01990	K04066
Candidatus_bacterium_SZUA-1430|SZUA-1430_00102									SZUA-1430_42:c(1421..1846)	hypothetical protein					
