#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1403|SZUA-1403_00001	K02120		ATPVD, ntpD, atpD	V/A-type H+/Na+-transporting ATPase subunit D	05M56@bactNOG,0EQND@cloNOG,0NFD9@firmNOG,COG1394@NOG	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)			SZUA-1403_1:c(221..877)	V-type sodium ATPase subunit D	K02120	K02120	K02120	K02120	K02149
Candidatus_bacterium_SZUA-1403|SZUA-1403_00041	K03981	[EC:5.3.4.1]	dsbC	thiol:disulfide interchange protein DsbC	07MBZ@bactNOG,0QWG5@gproNOG,174MA@proNOG,COG1651@NOG	Inherit from proNOG: dsbA oxidoreductase			SZUA-1403_5:912..1772	hypothetical protein	K03981				K03981
Candidatus_bacterium_SZUA-1403|SZUA-1403_00042									SZUA-1403_5:1884..2261	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00043	K00765	[EC:2.4.2.17]	hisG	ATP phosphoribosyltransferase	05E21@bactNOG,09AVX@bctoNOG,1AFW2@sphNOG,COG0040@NOG	Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity (By similarity)			SZUA-1403_5:c(2265..3134)	ATP phosphoribosyltransferase	K00765	K00765		K00765	K00765
Candidatus_bacterium_SZUA-1403|SZUA-1403_00044									SZUA-1403_5:c(3217..3849)	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00045									SZUA-1403_5:c(3889..4407)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00046									SZUA-1403_5:c(4427..4879)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00047									SZUA-1403_5:c(4888..7305)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00048									SZUA-1403_5:c(7377..7790)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00049									SZUA-1403_5:c(7802..9862)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00050									SZUA-1403_5:c(9881..10393)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00051									SZUA-1403_5:10538..11701	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00052					0134W@actNOG,07TM1@bactNOG,0XTFV@NOG	Glycosyl transferases group 1			SZUA-1403_6:127..1128	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00053	K02652		pilB	type IV pilus assembly protein PilB	07QHF@bactNOG,0EPFV@cloNOG,0NDWJ@firmNOG,COG2804@NOG	type ii secretion system protein e			SZUA-1403_6:1214..2926	Putative type II secretion system protein E	K02652	K02652		K02243	K12276
Candidatus_bacterium_SZUA-1403|SZUA-1403_00054									SZUA-1403_7:58..417	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00055	K10773	[EC:4.2.99.18]	NTH	endonuclease III	05CSM@bactNOG,0GBM3@delNOG,0HEQA@dproNOG,16PCJ@proNOG,COG0177@NOG	endonuclease III			SZUA-1403_7:466..1128	Endonuclease III	K10773	K10773		K10773	K10773
Candidatus_bacterium_SZUA-1403|SZUA-1403_00056	K06179	[EC:5.4.99.24]	rluC	23S rRNA pseudouridine955/2504/2580 synthase	05EI2@bactNOG,0B9I3@bproNOG,16PU1@proNOG,COG0564@NOG	Pseudouridine synthase			SZUA-1403_7:c(1109..2116)	Ribosomal large subunit pseudouridine synthase C	K06179	K06179		K06179	K15454
Candidatus_bacterium_SZUA-1403|SZUA-1403_00057									SZUA-1403_7:c(2118..2423)	Copper-sensing transcriptional repressor RicR					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00058	K01874	[EC:6.1.1.10]	MARS, metG	methionyl-tRNA synthetase	02F1I@aquNOG,05CKH@bactNOG,COG0073@NOG,COG0143@NOG	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation (By similarity)			SZUA-1403_7:c(2435..4696)	Methionine--tRNA ligase	K01874	K01874		K01874	K01874
Candidatus_bacterium_SZUA-1403|SZUA-1403_00059	K00171	[EC:1.2.7.1]	porD	pyruvate ferredoxin oxidoreductase delta subunit	05WGB@bactNOG,0GEN4@delNOG,0HI6J@dproNOG,17C8B@proNOG,COG1144@NOG	pyruvate ferredoxin flavodoxin oxidoreductase subunit delta			SZUA-1403_7:c(4710..5147)	Pyruvate synthase subunit PorD	K00171	K00171		K00171	K19072
Candidatus_bacterium_SZUA-1403|SZUA-1403_00060	K07056	[EC:2.1.1.198]	rsmI	16S rRNA (cytidine1402-2'-O)-methyltransferase	05CU0@bactNOG,0CZPT@chlNOG,COG0313@NOG	Catalyzes the 2'-O-methylation of the ribose of cytidine 1402 (C1402) in 16S rRNA (By similarity)			SZUA-1403_8:121..789	Ribosomal RNA small subunit methyltransferase I	K07056	K07056	K07056	K07056	K07056
Candidatus_bacterium_SZUA-1403|SZUA-1403_00061									SZUA-1403_8:834..2279	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00062	K01624	[EC:4.1.2.13]	FBA, fbaA	fructose-bisphosphate aldolase, class II	05D2N@bactNOG,09C2I@bctoNOG,1AFZP@sphNOG,COG0191@NOG	fructose-bisphosphate aldolase			SZUA-1403_8:2299..3372	Fructose-bisphosphate aldolase	K01624	K01624		K01624	K08302
Candidatus_bacterium_SZUA-1403|SZUA-1403_00063	K00602	[EC:2.1.2.3][EC:3.5.4.10]	purH	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase	04R8C@bacNOG,05DC1@bactNOG,0NDM0@firmNOG,COG0138@NOG	bifunctional purine biosynthesis protein PurH			SZUA-1403_8:c(3613..5133)	Bifunctional purine biosynthesis protein PurH	K00602	K00602	K00602	K00602	K01492
Candidatus_bacterium_SZUA-1403|SZUA-1403_00064	K01687	[EC:4.2.1.9]	ilvD	dihydroxy-acid dehydratase	05C01@bactNOG,0CZAT@chlNOG,COG0129@NOG	dihydroxy-acid dehydratase (EC 4.2.1.9)			SZUA-1403_8:c(5497..7245)	Dihydroxy-acid dehydratase	K01687	K01687		K01687	K13875
Candidatus_bacterium_SZUA-1403|SZUA-1403_00065									SZUA-1403_8:c(7271..7780)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00066	K06182	[EC:5.4.99.21]	rluF	23S rRNA pseudouridine2604 synthase	04RRN@bacNOG,05FE9@bactNOG,0NFAA@firmNOG,COG1187@NOG	Pseudouridine synthase			SZUA-1403_8:c(7800..8504)	23S rRNA pseudouridine(2604) synthase	K06182	K06182		K06178	K06183
Candidatus_bacterium_SZUA-1403|SZUA-1403_00067	K01937	[EC:6.3.4.2]	pyrG, CTPS	CTP synthase	05C8D@bactNOG,0EP9V@cloNOG,0NDN2@firmNOG,COG0504@NOG	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen (By similarity)			SZUA-1403_8:c(8551..10179)	CTP synthase	K01937	K01937		K01937	K01937
Candidatus_bacterium_SZUA-1403|SZUA-1403_00068	K02338	[EC:2.7.7.7]	dnaN	DNA polymerase III subunit beta	05CZ8@bactNOG,0ENQE@cloNOG,0ND7B@firmNOG,COG0592@NOG	DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity. The beta chain is required for initiation of replication once it is clamped onto DNA, it slides freely (bidirectional and ATP- independent) along duplex DNA (By similarity)			SZUA-1403_8:c(10221..11318)	Beta sliding clamp	K02338	K02338	K02338	K02338	K04802
Candidatus_bacterium_SZUA-1403|SZUA-1403_00069	K00433	[EC:1.11.1.10]	cpo	non-heme chloroperoxidase	07S9D@bactNOG,0EQ5V@cloNOG,0NEKF@firmNOG,COG0596@NOG	Alpha beta hydrolase			SZUA-1403_8:11479..12303	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase	K00433			K00433	K21821
Candidatus_bacterium_SZUA-1403|SZUA-1403_00070	K11749	[EC:3.4.24.-]	rseP	regulator of sigma E protease	05DZP@bactNOG,0ENU2@cloNOG,0NDB5@firmNOG,COG0750@NOG	metalloprotease			SZUA-1403_8:c(12311..13471)	Metalloprotease MmpA	K11749	K11749		K11749	K11749
Candidatus_bacterium_SZUA-1403|SZUA-1403_00071	K01537	[EC:3.6.3.8]	E3.6.3.8	Ca2+-transporting ATPase	05C52@bactNOG,0ENYC@cloNOG,0NDFV@firmNOG,COG0474@NOG	ATPase, P-type (transporting), HAD superfamily, subfamily IC			SZUA-1403_9:c(8..2548)	Calcium-transporting ATPase 1	K01537	K01537		K01537	K14951
Candidatus_bacterium_SZUA-1403|SZUA-1403_00072									SZUA-1403_10:145..975	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00073	K01945	[EC:6.3.4.13]	purD	phosphoribosylamine---glycine ligase	0KS2I@eurNOG,COG0151@NOG,arCOG04415@arNOG	ligase (EC 6.3.4.13)			SZUA-1403_10:1027..2412	Phosphoribosylamine--glycine ligase	K01945	K01945		K01945	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00074	K11250		leuE	leucine efflux protein	08RI1@bactNOG,COG1280@NOG	Lysine exporter protein			SZUA-1403_10:2461..3090	Threonine efflux protein	K11250				K11250
Candidatus_bacterium_SZUA-1403|SZUA-1403_00075	K04066	[EC:3.6.4.-]	priA	primosomal protein N' (replication factor Y) (superfamily II helicase)	05C25@bactNOG,0NDW7@firmNOG,0X1VN@negNOG,COG1198@NOG	primosomal protein N'			SZUA-1403_10:3106..4992	Primosomal protein N'	K04066	K04066		K01990	K04066
Candidatus_bacterium_SZUA-1403|SZUA-1403_00076					0783G@bactNOG,0ZQ81@NOG,17AW1@proNOG				SZUA-1403_10:5230..6702	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00077									SZUA-1403_11:255..1373	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00078									SZUA-1403_11:1402..2835	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00079									SZUA-1403_11:2960..4147	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00080									SZUA-1403_11:4161..4838	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00081									SZUA-1403_11:4869..6080	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00082	K01465	[EC:3.5.2.3]	URA4, pyrC	dihydroorotase	05CD3@bactNOG,0ENN7@cloNOG,0NDCU@firmNOG,COG0044@NOG	dihydroorotase			SZUA-1403_11:6171..7466	Dihydroorotase	K01465	K01465		K01465	K01466
Candidatus_bacterium_SZUA-1403|SZUA-1403_00083					05W82@bactNOG,0XW47@NOG	Secreted protein			SZUA-1403_11:7507..8589	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00084									SZUA-1403_12:c(328..552)	50S ribosomal protein L35					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00085	K02520		infC, MTIF3	translation initiation factor IF-3	08UUX@bactNOG,0NFBM@firmNOG,0X2PH@negNOG,COG0290@NOG	IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins (By similarity)			SZUA-1403_12:c(603..1151)	Translation initiation factor IF-3	K02520	K02520		K02520	K02520
Candidatus_bacterium_SZUA-1403|SZUA-1403_00086	K03977		engA, der	GTPase	05DKZ@bactNOG,0EP10@cloNOG,0ND50@firmNOG,COG1160@NOG	GTPase that plays an essential role in the late steps of ribosome biogenesis (By similarity)			SZUA-1403_12:c(1236..2657)	GTPase Der	K03977	K03977		K00058	K03977
Candidatus_bacterium_SZUA-1403|SZUA-1403_00087	K07282		capA, pgsA	gamma-polyglutamate biosynthesis protein CapA	05PNM@bactNOG,0NFQW@firmNOG,COG2843@NOG	synthesis protein			SZUA-1403_12:2787..4670	Capsule biosynthesis protein CapA	K07282		K07282	K07282	K07282
Candidatus_bacterium_SZUA-1403|SZUA-1403_00088	K00831	[EC:2.6.1.52]	serC, PSAT1	phosphoserine aminotransferase	07VQ9@bactNOG,09S4A@bctoNOG,0FV4X@cytNOG,COG1932@NOG	Aminotransferase class-V			SZUA-1403_12:c(4687..5004)	hypothetical protein	K00831			K00831	K00831
Candidatus_bacterium_SZUA-1403|SZUA-1403_00089	K02982		RP-S3, rpsC	small subunit ribosomal protein S3	05CKE@bactNOG,0ENVZ@cloNOG,0NDQG@firmNOG,COG0092@NOG	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation (By similarity)			SZUA-1403_13:c(299..958)	30S ribosomal protein S3	K02982	K02982		K02982	K02985
Candidatus_bacterium_SZUA-1403|SZUA-1403_00090	K02890		RP-L22, MRPL22, rplV	large subunit ribosomal protein L22	05KAP@bactNOG,0BD8D@bproNOG,17C3B@proNOG,COG0091@NOG	The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome (By similarity)			SZUA-1403_13:c(995..1315)	50S ribosomal protein L22	K02890	K02890		K02890	K02890
Candidatus_bacterium_SZUA-1403|SZUA-1403_00091	K02965		RP-S19, rpsS	small subunit ribosomal protein S19	05K7S@bactNOG,COG0185@NOG	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA (By similarity)			SZUA-1403_13:c(1350..1616)	30S ribosomal protein S19	K02965	K02965		K02965	K02965
Candidatus_bacterium_SZUA-1403|SZUA-1403_00092	K02886		RP-L2, MRPL2, rplB	large subunit ribosomal protein L2	05CFD@bactNOG,0EP03@cloNOG,0NDSP@firmNOG,COG0090@NOG	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity			SZUA-1403_13:c(1653..2486)	50S ribosomal protein L2	K02886	K02886		K02886	K02938
Candidatus_bacterium_SZUA-1403|SZUA-1403_00093	K02892		RP-L23, MRPL23, rplW	large subunit ribosomal protein L23	00MWC@actNOG,05KZR@bactNOG,COG0089@NOG	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome (By similarity)			SZUA-1403_13:c(2502..2795)	50S ribosomal protein L23	K02892	K02892		K02892	K02893
Candidatus_bacterium_SZUA-1403|SZUA-1403_00094	K02926		RP-L4, MRPL4, rplD	large subunit ribosomal protein L4	04SIG@bacNOG,06U5A@bactNOG,0NEBN@firmNOG,COG0088@NOG	One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome (By similarity)			SZUA-1403_13:c(2808..3434)	50S ribosomal protein L4	K02926	K02926		K02926	K02930
Candidatus_bacterium_SZUA-1403|SZUA-1403_00095	K02906		RP-L3, MRPL3, rplC	large subunit ribosomal protein L3	05EEE@bactNOG,0NDJY@firmNOG,COG0087@NOG	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit (By similarity)			SZUA-1403_13:c(3434..4015)	50S ribosomal protein L3	K02906	K02906		K02906	K02925
Candidatus_bacterium_SZUA-1403|SZUA-1403_00096									SZUA-1403_13:c(4205..5815)	hypothetical protein					
