#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00001	K11600		RRP41, EXOSC4, SKI6	exosome complex component RRP41	02H1C@arcNOG,0KR95@eurNOG,COG0689@NOG,arCOG01575@arNOG	Probably involved in the 3'- 5' degradation of a variety of RNA species			SZUA-1439_1:88..492	Exosome complex component Rrp41	K11600	K11600		K11600	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00012	K02867		RP-L11, MRPL11, rplK	large subunit ribosomal protein L11	0KSTA@eurNOG,COG0080@NOG,arCOG04372@arNOG	This protein binds directly to 23S ribosomal RNA (By similarity)			SZUA-1439_6:473..949	50S ribosomal protein L11	K02867	K02867	K02867	K02867	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00014					0FFAY@creNOG,COG4741@NOG,arCOG05252@arNOG	Endonuclease related to archaeal Holliday junction resolvase			SZUA-1439_7:76..339	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00015					02HDG@arcNOG,0KRBG@eurNOG,COG0037@NOG,arCOG00042@arNOG	tRNA methyl transferase			SZUA-1439_7:c(470..1435)	tRNA-5-methyluridine(54) 2-sulfurtransferase					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00016	K02869		RP-L12, rpl12	large subunit ribosomal protein L12	02I6R@arcNOG,0KUDB@eurNOG,COG2058@NOG,arCOG04287@arNOG	Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors (By similarity)			SZUA-1439_8:77..403	50S ribosomal protein L12	K02869	K02869	K02869	K02869	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00017	K03056	[EC:2.7.7.6]	rpoL	DNA-directed RNA polymerase subunit L	02I1R@arcNOG,0KV9U@eurNOG,COG1761@NOG,arCOG04111@arNOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1439_8:839..1102	DNA-directed RNA polymerase subunit L	K03056		K03056	K03056	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00018	K10773	[EC:4.2.99.18]	NTH	endonuclease III	02HKI@arcNOG,0KSS9@eurNOG,COG0177@NOG,arCOG00459@arNOG	DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18)			SZUA-1439_8:1075..1734	G/T mismatches repair enzyme	K10773	K10773	K10773	K10773	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00019									SZUA-1439_8:c(1954..2562)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00020									SZUA-1439_8:c(2559..2777)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00021	K12960	[EC:3.5.4.31][EC:3.5.4.28]	mtaD	5-methylthioadenosine/S-adenosylhomocysteine deaminase	02HD4@arcNOG,0KRC1@eurNOG,COG0402@NOG,arCOG00695@arNOG	Catalyzes the deamination of 5-methylthioadenosine and S-adenosyl-L-homocysteine into 5-methylthioinosine and S-inosyl-L- homocysteine, respectively. Is also able to deaminate adenosine (By similarity)			SZUA-1439_8:c(3424..4695)	5'-deoxyadenosine deaminase	K12960	K12960	K12960	K12960	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00022					0KT5I@eurNOG,COG1986@NOG,arCOG01221@arNOG	Phosphatase that hydrolyzes non-canonical purine nucleotides such as XTP and ITP to their respective diphosphate derivatives. Probably excludes non-canonical purines from DNA precursor pool, thus preventing their incorporation into DNA and avoiding chromosomal lesions			SZUA-1439_8:5137..5658	Non-canonical purine NTP phosphatase					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00023					0KSTY@eurNOG,COG1533@NOG,arCOG01290@arNOG	radical sam domain protein			SZUA-1439_8:5816..6649	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00024	K06957	[EC:2.3.1.193]	tmcA	tRNA(Met) cytidine acetyltransferase	0KS6Z@eurNOG,COG1444@NOG,arCOG01951@arNOG	Catalyzes the formation of N(4)-acetylcytidine (ac(4)C) at the wobble position of tRNA(Met), by using acetyl-CoA as an acetyl donor and ATP (or GTP) (By similarity)			SZUA-1439_9:55..1005	tRNA(Met) cytidine acetyltransferase TmcA	K06957	K06957		K06957	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00025					02I15@arcNOG,0KV58@eurNOG,COG2411@NOG,arCOG00398@arNOG	ASCH			SZUA-1439_9:992..1321	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00026	K09746		K09746	uncharacterized protein	02HMM@arcNOG,0KT4A@eurNOG,COG3390@NOG,arCOG02257@arNOG	Inherit from COG: nucleic acid binding OB-fold tRNA helicase-type			SZUA-1439_9:c(1442..2149)	hypothetical protein	K09746	K09746	K09746	K09746	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00027	K07466		RFA1, RPA1, rpa	replication factor A1	02H0Q@arcNOG,0KS3N@eurNOG,COG1599@NOG,arCOG01510@arNOG	nucleic acid binding OB-fold tRNA helicase-type			SZUA-1439_9:c(2146..3078)	Single-stranded DNA binding protein Ssb	K07466	K07466	K07466	K07466	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00028	K05521	[EC:3.2.2.24]	draG	ADP-ribosyl-[dinitrogen reductase] hydrolase	02HA4@arcNOG,0KTH2@eurNOG,COG1397@NOG,arCOG04448@arNOG	ADP-ribosylglycohydrolase			SZUA-1439_9:c(3386..4294)	hypothetical protein	K05521			K05521	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00029	K00800	[EC:2.5.1.19]	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	02GZV@arcNOG,0KS6V@eurNOG,COG0128@NOG,arCOG04134@arNOG	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)			SZUA-1439_9:4345..5607	3-phosphoshikimate 1-carboxyvinyltransferase	K00800	K00800	K00800	K00800	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00030	K07301		yrbG	cation:H+ antiporter	0KSUJ@eurNOG,COG0530@NOG,arCOG02881@arNOG	Sodium calcium			SZUA-1439_9:c(5860..6843)	putative membrane protein	K07301	K07301		K07301	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00031	K03636		moaD, cysO	sulfur-carrier protein	0KUDT@eurNOG,COG1977@NOG,arCOG00536@arNOG	molybdopterin converting factor			SZUA-1439_9:7600..7857	Small archaeal modifier protein 3	K03636	K03636	K03636	K03636	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00032					02GZZ@arcNOG,0KYKX@eurNOG,103BN@NOG,arCOG03906@arNOG,arCOG07571@arNOG	Inherit from NOG: LVIVD repeat protein			SZUA-1439_10:260..1213	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00033	K03626		EGD2, NACA	nascent polypeptide-associated complex subunit alpha	02HYE@arcNOG,0KUG8@eurNOG,COG1308@NOG,arCOG04061@arNOG	Contacts the emerging nascent chain on the ribosome (By similarity)			SZUA-1439_10:1480..1812	Nascent polypeptide-associated complex protein	K03626	K03626	K03626	K03626	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00034	K07442	[EC:2.1.1.219][EC:2.1.1.220]	TRM61, GCD14	tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit	02H0B@arcNOG,0KRJ8@eurNOG,COG2519@NOG,arCOG00978@arNOG	tRNA methyltransferase complex GCD14 subunit			SZUA-1439_10:1809..2552	tRNA (adenine(57)-N(1)/adenine(58)-N(1))-methyltransferase TrmI	K07442	K07442	K07442	K07442	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00035					0KUQ0@eurNOG,COG1433@NOG,arCOG02734@arNOG	dinitrogenase iron-molybdenum cofactor biosynthesis			SZUA-1439_11:272..655	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00036									SZUA-1439_11:c(1134..1484)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00037									SZUA-1439_12:21..347	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00038									SZUA-1439_12:352..720	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00039	K09002		csm3	CRISPR-associated protein Csm3	08W8W@bactNOG,0ESFE@cloNOG,0NHIF@firmNOG,COG1337@NOG	CRISPR-associated RAMP protein, Csm3 family			SZUA-1439_12:724..1488	CRISPR type III-associated RAMP protein Csm3	K09002	K09002	K09002	K09002	K09002
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00041									SZUA-1439_14:429..581	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00042	K06988	[EC:1.5.1.40]	fno	8-hydroxy-5-deazaflavin:NADPH oxidoreductase	02HKB@arcNOG,0KTEJ@eurNOG,COG2085@NOG,arCOG00457@arNOG	NADP oxidoreductase coenzyme F420-dependent			SZUA-1439_14:c(1002..1643)	F420-dependent NADP reductase	K06988	K06988	K06988	K06988	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00043					05MNB@bactNOG,0GG37@delNOG,0HGFN@dproNOG,11VJJ@NOG,17GJR@proNOG				SZUA-1439_14:c(1907..2404)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00044					02HY6@arcNOG,0KUYT@eurNOG,COG3270@NOG,arCOG02285@arNOG	Inherit from COG: Specifically methylates the cytosine at position 1407 (m5C1407) of 16S rRNA (By similarity)			SZUA-1439_14:3325..3774	Ribosomal RNA small subunit methyltransferase F					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00045									SZUA-1439_15:68..478	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00046	K00789	[EC:2.5.1.6]	metK	S-adenosylmethionine synthetase	0KRT5@eurNOG,COG1812@NOG,arCOG01678@arNOG	Catalyzes the formation of S-adenosylmethionine from methionine and ATP (By similarity)			SZUA-1439_15:c(839..1720)	S-adenosylmethionine synthase	K00789	K00789		K00150	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00047	K07767	[EC:3.6.4.3]	KATNA1	katanin p60 ATPase-containing subunit A1	0KVYM@eurNOG,COG0464@NOG,arCOG01307@arNOG	AAA ATPase, central domain protein			SZUA-1439_16:5..103	hypothetical protein	K07767	K07767		K13525	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00048									SZUA-1439_16:565..672	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00049	K12132	[EC:2.7.11.1]	prkC, stkP	eukaryotic-like serine/threonine-protein kinase	0FBTI@creNOG,COG0515@NOG,COG2319@NOG,arCOG02491@arNOG,arCOG03270@arNOG,arCOG03682@arNOG	Serine threonine protein kinase			SZUA-1439_16:773..2191	Outer membrane protein assembly factor BamB	K12132			K12132	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00050	K06940		K06940	uncharacterized protein	02HV0@arcNOG,0KYMC@eurNOG,COG0727@NOG,arCOG02579@arNOG	Pfam:UPF0153			SZUA-1439_17:c(556..996)	hypothetical protein	K06940		K06940	K06940	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00051	K08999		K08999	uncharacterized protein	02HQV@arcNOG,0KU0X@eurNOG,COG1259@NOG,arCOG01759@arNOG	Pfam:DUF151			SZUA-1439_17:c(1123..1569)	hypothetical protein	K08999	K08999	K08999	K08999	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00052	K01883	[EC:6.1.1.16]	CARS, cysS	cysteinyl-tRNA synthetase	02HF2@arcNOG,0KRT6@eurNOG,COG0215@NOG,arCOG00486@arNOG	cysteinyl-tRNA synthetase (EC 6.1.1.16)			SZUA-1439_18:4..1248	Cysteine--tRNA ligase	K01883	K01883		K01883	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00053	K10026	[EC:4.3.99.3]	queE	7-carboxy-7-deazaguanine synthase	02HEH@arcNOG,0KSX9@eurNOG,COG0602@NOG,arCOG02173@arNOG	Catalyzes the conversion of 6-carboxy-5,6,7,8- tetrahydropterin (CPH4) to 7-carboxy-7-deazaguanine (CDG) (By similarity)			SZUA-1439_18:1230..1934	7-carboxy-7-deazaguanine synthase	K10026	K10026	K10026	K04071	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00054	K09133		K09133	uncharacterized protein	0KWG0@eurNOG,COG1906@NOG,arCOG04354@arNOG	Protein of unknown function (DUF401)			SZUA-1439_19:c(172..1371)	hypothetical protein	K09133	K09133		K09133	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00055									SZUA-1439_20:c(152..319)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00056	K11784	[EC:1.21.98.1]	mqnC	cyclic dehypoxanthinyl futalosine synthase	02HFZ@arcNOG,0KRH1@eurNOG,COG1060@NOG,arCOG00656@arNOG	Elp3			SZUA-1439_21:34..795	FO synthase subunit 2	K11784	K11784		K11781	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00057	K03057		tfs	transcription termination factor TFS	02HWJ@arcNOG,0KV02@eurNOG,COG1594@NOG,arCOG00579@arNOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1439_21:939..1250	Transcription factor S	K03057	K03057	K03057	K03057	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00058	K00721	[EC:2.4.1.83]	DPM1	dolichol-phosphate mannosyltransferase	02HF9@arcNOG,0KRES@eurNOG,COG0463@NOG,arCOG00894@arNOG	glycosyl transferase family 2			SZUA-1439_22:c(121..1056)	Glycosyltransferase AglJ	K00721	K00721		K00721	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00059	K00762	[EC:2.4.2.10]	pyrE	orotate phosphoribosyltransferase	0KTQX@eurNOG,COG0856@NOG,arCOG00028@arNOG	pyrE-like protein			SZUA-1439_22:c(1139..1732)	Orotate phosphoribosyltransferase	K00762	K00762	K00762	K00762	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00060	K07060	[EC:3.1.-.-]	nob1	endoribonuclease Nob1	02HYM@arcNOG,0KUF9@eurNOG,COG1439@NOG,arCOG00721@arNOG	Inherit from eurNOG: nucleotide binding protein, PINc			SZUA-1439_22:c(1710..2201)	Endoribonuclease Nob1	K07060	K07060	K07060	K07060	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00061	K15778	[EC:5.4.2.8][EC:5.4.2.2]	pmm-pgm	phosphomannomutase / phosphoglucomutase	0KR9U@eurNOG,COG1109@NOG,arCOG00767@arNOG	Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)			SZUA-1439_22:c(2655..3065)	Phosphoglucomutase/phosphomannomutase	K15778	K15778		K15778	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00062	K01933	[EC:6.3.3.1]	purM	phosphoribosylformylglycinamidine cyclo-ligase	02HCA@arcNOG,0KRSK@eurNOG,COG0150@NOG,arCOG00639@arNOG	phosphoribosylaminoimidazole synthetase			SZUA-1439_23:111..251	hypothetical protein	K01933			K01933	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00063	K00620	[EC:2.3.1.35][EC:2.3.1.1]	argJ	glutamate N-acetyltransferase / amino-acid N-acetyltransferase	02HCD@arcNOG,0KRPW@eurNOG,COG1364@NOG,arCOG04413@arNOG	Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis the synthesis of N- acetylglutamate from glutamate and acetyl-CoA as the acetyl donor, and of ornithine by transacetylation between N(2)-acetylornithine and glutamate (By similarity)			SZUA-1439_23:c(472..1635)	Glutamate N-acetyltransferase	K00620	K00620	K00620	K00620	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00064					02H7Z@arcNOG,0KRRD@eurNOG,COG0123@NOG,arCOG00324@arNOG	Histone deacetylase domain			SZUA-1439_24:881..1954	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00065	K07176		K07176	putative serine/threonine protein kinase	COG2112@NOG,arCOG01182@arNOG	serine threonine protein kinase			SZUA-1439_25:c(1019..1561)	hypothetical protein	K07176		K07176	K07176	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00066	K02986		RP-S4, rpsD	small subunit ribosomal protein S4	02GZC@arcNOG,0KTIK@eurNOG,COG0522@NOG,arCOG04239@arNOG	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit (By similarity)			SZUA-1439_26:20..538	30S ribosomal protein S4	K02986	K02986	K02997	K02986	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00067	K02948		RP-S11, MRPS11, rpsK	small subunit ribosomal protein S11	02HNC@arcNOG,0KTDV@eurNOG,COG0100@NOG,arCOG04240@arNOG	Located on the platform of the 30S subunit (By similarity)			SZUA-1439_26:800..1198	30S ribosomal protein S11	K02948	K02948	K02948	K02948	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00068	K03047	[EC:2.7.7.6]	rpoD	DNA-directed RNA polymerase subunit D	02HB5@arcNOG,0KRXF@eurNOG,COG0202@NOG,arCOG04241@arNOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1439_26:1486..2274	DNA-directed RNA polymerase subunit D	K03047	K03047	K03047	K03047	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00069	K02823		pyrDII	dihydroorotate dehydrogenase electron transfer subunit	02H68@arcNOG,0KRS4@eurNOG,COG0543@NOG,arCOG02199@arNOG	Oxidoreductase NAD-binding domain			SZUA-1439_26:c(2386..3096)	Sulfhydrogenase 2 subunit gamma	K02823	K02823		K00528	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00070	K03709		troR	DtxR family transcriptional regulator, Mn-dependent transcriptional regulator	0KTSX@eurNOG,COG1321@NOG,arCOG02100@arNOG	iron (metal) dependent repressor, dtxr family			SZUA-1439_26:c(3106..3573)	Transcriptional regulator MntR	K03709		K03709	K03709	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00071	K04758		feoA	ferrous iron transport protein A	0KV49@eurNOG,COG1918@NOG,arCOG02102@arNOG	FeoA family			SZUA-1439_26:c(3563..3799)	hypothetical protein	K04758	K04758	K04758	K04758	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00072	K06920	[EC:6.3.4.20]	queC	7-cyano-7-deazaguanine synthase	02HFF@arcNOG,0KS4Q@eurNOG,COG0603@NOG,arCOG00039@arNOG	Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0)) (By similarity)			SZUA-1439_26:3898..4704	7-cyano-7-deazaguanine synthase	K06920	K06920	K06920	K06920	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00073					02HVZ@arcNOG,0KYQ4@eurNOG,10ZVI@NOG,arCOG10225@arNOG				SZUA-1439_26:c(4771..5088)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00074	K00113	[EC:1.1.5.3]	glpC	glycerol-3-phosphate dehydrogenase subunit C	02HS5@arcNOG,0KYKW@eurNOG,COG0247@NOG,arCOG00333@arNOG	Inherit from arCOG: reductase			SZUA-1439_27:c(228..1838)	Hdr-like menaquinol oxidoreductase iron-sulfur subunit 2	K00113			K00113	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00075					COG2181@NOG,arCOG02196@arNOG	nitrate reductase, gamma subunit			SZUA-1439_27:c(4342..5253)	Hdr-like menaquinol oxidoreductase cytochrome b-like subunit					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00076	K14126	[EC:1.12.99.-][EC:1.8.98.5]	mvhA, vhuA, vhcA	F420-non-reducing hydrogenase large subunit	0KRFV@eurNOG,COG3259@NOG,arCOG01549@arNOG	hydrogenase			SZUA-1439_28:32..853	F420-non-reducing hydrogenase iron-sulfur subunit A	K14126	K14126		K00436	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00077					0KTNK@eurNOG,COG1814@NOG,arCOG01091@arNOG	VIT family			SZUA-1439_29:c(553..1086)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00078					02HJU@arcNOG,0KUDH@eurNOG,COG1853@NOG,arCOG02017@arNOG	Flavin reductase domain protein FMN-binding protein			SZUA-1439_30:309..827	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00079	K01778	[EC:5.1.1.7]	dapF	diaminopimelate epimerase	0KRKT@eurNOG,COG0253@NOG,arCOG02255@arNOG	Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine (By similarity)			SZUA-1439_30:c(807..1637)	Diaminopimelate epimerase	K01778	K01778	K01778	K01778	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00080	K02227	[EC:6.3.1.10]	cbiB, cobD	adenosylcobinamide-phosphate synthase	02HN8@arcNOG,0KRSX@eurNOG,COG1270@NOG,arCOG04274@arNOG	Cobalamin biosynthesis protein CobD			SZUA-1439_30:c(1811..2149)	Cobalamin biosynthesis protein CbiB	K02227	K02227		K02227	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00081	K12234	[EC:6.3.2.31][EC:6.3.2.34]	cofE, fbiB	coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase	0KSS3@eurNOG,COG1478@NOG,arCOG02714@arNOG	Catalyzes the GTP-dependent successive addition of two or more gamma-linked L-glutamates to the L-lactyl phosphodiester of 7,8-didemethyl-8-hydroxy-5-deazariboflavin (F420-0) to form coenzyme F420-0-glutamyl-glutamate (F420-2) or polyglutamated F420 derivatives (By similarity)			SZUA-1439_31:400..1167	Coenzyme F420:L-glutamate ligase	K12234	K12234	K12234	K12234	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00082	K03500	[EC:2.1.1.176]	rsmB, sun	16S rRNA (cytosine967-C5)-methyltransferase	0KSWW@eurNOG,COG0144@NOG,arCOG00974@arNOG	tRNA rRNA cytosine-C5-methylase			SZUA-1439_31:c(1675..2208)	tRNA (cytosine(49)-C(5))-methyltransferase	K03500	K03500		K03500	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00083	K22223	[EC:3.1.3.18]	pgp	phosphoglycolate phosphatase	02H6G@arcNOG,0KSUA@eurNOG,COG0561@NOG,arCOG01213@arNOG	Catalyzes the dephosphorylation of 2-phosphoglycolate (By similarity)			SZUA-1439_32:c(214..579)	Phosphoglycolate phosphatase	K22223	K22223		K07024	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00084	K22223	[EC:3.1.3.18]	pgp	phosphoglycolate phosphatase	0KSUA@eurNOG,COG0561@NOG,arCOG01213@arNOG	Catalyzes the dephosphorylation of 2-phosphoglycolate (By similarity)			SZUA-1439_32:c(582..872)	Phosphoglycolate phosphatase	K22223	K22223		K07024	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00085	K01496	[EC:3.5.4.19]	hisI	phosphoribosyl-AMP cyclohydrolase	0KTFI@eurNOG,COG0139@NOG,arCOG02676@arNOG	phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)			SZUA-1439_32:c(1436..1759)	Phosphoribosyl-AMP cyclohydrolase	K01496		K01496	K01496	
